cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
66498,2021,4077908,4566573,0,1829626,2736947,0,17254,0,0,8627227,3365074,0,1944583,2104377,1793712,310665,0,290098,0,2
70774,2021,0,322088,0,304628,17460,0,2958,0,0,319130,205,0,227106,227108,126757,100351,0,98070,0,2
199001,2021,247819,12641329,1484,11981401,658444,8279,3541785,107470,312691,8935481,4000000,0,2767874,48839369,32363490,16475879,0,16192875,0,11
199010,2021,18068600,1318266,0,475112,843154,10139,395683,0,259752,18741570,4474100,0,3381214,3410897,1910448,1500449,0,1465576,0,8
199028,2021,117597731,124319691,65723476,53445527,5150688,160009,66418301,1625698,6534478,167498954,35234236,0,171643470,178612354,175037895,3574459,0,2248995,0,439
199044,2021,272414415,34283768,22545,8611140,25650083,99373,161050783,2716786,83126,142946861,26391783,0,55786185,75876836,35408837,40467999,0,33509527,0,12
199052,2021,744128,419259,0,342854,76405,38,80127,0,0,1083298,370332,0,131783,130799,164399,0,33600,0,36872,1
199109,2021,86556282,11352086,1768238,2699037,6884811,400994,54131005,0,0,44178357,3408789,0,23786654,25686247,18829831,6856416,0,5694308,0,31
199133,2021,6125850,6056623,1960808,4027020,68795,0,3729450,0,0,8453023,1327073,0,12740929,12786053,12408473,377580,0,327458,0,53
199141,2021,35196875,32577264,9373820,20093634,3109810,651838,38078691,3130161,0,27217125,525000,0,87376093,106368693,100697889,5670804,0,4994482,0,216
199150,2021,80889668,107350899,47199697,49175117,10967913,1281584,52595920,108257,189731,136628243,6246485,0,284600857,296789836,283057628,13732208,0,11682142,0,731
199176,2021,29579502,9312832,4419905,3834916,1058011,7173,7621616,2064905,80100,29132886,25786343,0,24302995,28073011,30062213,0,1989202,0,1989202,168
199184,2021,490122,210894,0,59635,151259,0,120352,0,0,580664,697558,0,393042,516427,399195,117232,0,107357,0,2
199192,2021,44636967,4388297,0,2665662,1722635,0,4975387,0,0,44049877,5696433,0,4371470,4371477,1551961,2819516,0,2779937,0,1
199214,2021,4624669,1526588,0,305594,1220994,0,1716344,0,0,4434913,121681,0,338082,377043,233799,143244,0,131925,0,0
199222,2021,29054863,60279904,31416614,18406385,10456905,207195,23963435,92060,0,65486467,3149503,0,54342986,57021393,40990844,16030549,0,14006648,0,107
199230,2021,44331133,9044327,12299,1317277,7714751,7987,4058314,1077062,0,48248071,712720,0,6427505,7415687,4204780,3210907,0,2727810,0,15
199249,2021,3207479,3158997,856617,960083,1342297,10543,617074,0,0,5759945,280088,0,3196359,3248176,2792088,456088,0,429779,0,20
199508,2021,0,4923,7255,-2352,20,0,140114,0,0,-135191,1800,0,0,0,18824,0,18824,0,18824,0
199532,2021,921400,181110,88322,59952,32836,0,54698,0,0,1047812,10070,0,380585,380667,278828,101839,0,97396,0,2
199605,2021,13575677,23749139,9636067,9217672,4895400,87797,5648797,47943,0,31715873,10080,0,81982497,82739221,79384954,3354267,0,2811248,0,189
199648,2021,3538123,744644,26874,623874,93896,0,3169295,0,0,1113472,344400,0,2385967,2459443,2854591,0,395148,0,419742,33
199699,2021,315109,15272,0,4480,10792,0,175741,0,0,154640,100000,0,121742,168712,60509,108203,0,106550,0,1
199729,2021,671437,596970,0,349,596621,50687,74546,0,0,1244548,166675,0,528310,543001,424091,118910,0,113871,0,4
199745,2021,57438729,47605781,23964474,22830314,810993,182862,44716032,7239239,513242,52758859,16209340,0,183475056,191172073,188901298,2270775,0,2270775,0,610
199770,2021,1225538,363165,32341,222550,108274,0,1652357,0,0,-63654,370,0,1336505,1364599,1284160,80439,0,66992,0,9
199800,2021,5832539,4348210,259179,3950515,138516,8056,109765723,865079,1594789,-102036786,26465508,0,0,0,80266,0,80266,0,80266,0
199907,2021,1067024,52586,9781,40619,2186,2665,119,0,0,1122156,1000,0,1681,201681,99645,102036,0,101986,0,0
