cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
775961,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776070,2017,0,24697,21400,307,2990,0,17823,0,0,6874,200,0,37000,37000,35739,1261,0,891,0,0
776207,2017,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0
776312,2017,4122,228447,126382,749,101316,11236,64873,0,0,178932,45650,0,1622980,1624254,1525860,98394,0,82569,0,3
776584,2017,0,746,0,0,746,0,516,0,0,230,200,0,0,0,45,0,45,0,45,0
776606,2017,0,1683,1683,0,0,0,3986,0,0,-2303,200,0,0,0,0,0,0,0,0,0
776827,2017,0,300286,110725,96110,93451,0,400670,0,0,-100384,200,0,397761,582255,569394,12861,0,4769,0,3
776908,2017,914970,721963,551093,168698,2172,33206,2230451,0,0,-560312,100000,0,796740,796740,794558,2182,0,1052,0,8
777229,2017,294226,774592,338449,49062,387081,0,523205,0,0,545613,200210,0,3884608,3887609,3754826,132783,0,112007,0,14
777288,2017,20831,1284984,1130848,150412,3724,169122,1397807,0,0,77130,12512,0,2525618,2624198,2582292,41906,0,34798,0,10
777369,2017,256888,673686,0,508622,165064,0,311281,0,0,619293,50000,0,1376485,1376498,856203,520295,0,506530,0,1
777580,2017,169889,30527,10626,13011,6890,2652,190791,0,0,12277,402435,0,54488,54488,72412,0,17924,0,17924,0
777857,2017,0,9244,0,0,9244,0,48569,0,0,-39325,823,0,80544,80544,83470,0,2926,0,3731,0
777997,2017,0,0,0,0,0,0,3591685,0,0,-3591685,732600,0,0,0,0,0,0,0,0,0
778003,2017,484938,955324,104464,842034,8826,0,863159,0,0,577103,200,0,17632,21609,103712,0,82103,0,82683,0
778011,2017,18729,1598279,0,1596644,1635,0,1719765,0,0,-102757,950,0,3239294,4813816,5025657,0,211841,0,251747,35
778062,2017,0,3683,428,2886,0,0,33357,0,0,-29674,500,0,0,0,0,0,0,0,0,0
778100,2017,1719,43132,0,0,43132,0,82299,0,0,-37448,200,0,108861,108862,77453,31409,0,30320,0,1
778127,2017,292384,154280,19056,106221,29003,0,1257345,0,0,-810681,217,0,856630,859102,994594,0,135492,0,143595,1
778607,2017,86095,266921,112476,89370,65075,1056,293592,0,0,60480,200,0,427263,427264,405616,21648,0,17375,0,6
778941,2017,491112,1004750,855214,19612,129924,47004,847163,0,0,695703,200210,0,8648161,8832795,8576562,256233,0,213024,0,28
779351,2017,12967,14558,9902,0,4656,0,29784,0,0,-2259,200,0,84999,84999,77510,7489,0,6637,0,0
779602,2017,133058,574126,87542,340342,146242,0,234527,0,0,472657,144213,0,1150090,1186548,1179708,6840,0,5746,0,8
779947,2017,18158,142939,122017,20882,40,0,296314,0,0,-135217,200,0,713321,714524,704034,10490,0,4764,0,4
780003,2017,1591612,1403013,41829,1265925,95259,27051,1883115,0,0,1138561,11110,0,5359080,5591827,5510208,81619,0,61183,0,0
780046,2017,1024988,38213,0,38101,112,33,469357,0,0,593877,88750,0,0,33442,363809,0,330367,0,330367,0
780100,2017,0,32172,1596,26,30550,0,5770,0,0,26402,200,0,173824,173824,146109,27715,0,25976,0,1
780160,2017,113921,113095,0,3686,109409,0,103681,0,0,123335,369,0,140902,175059,96030,79029,0,75465,0,2
780224,2017,252205,26421,0,26342,79,0,375944,0,0,-97318,2010,0,42872,50201,44480,5721,0,5009,0,1
780313,2017,96844,418892,31025,319939,67928,847,566263,0,0,-49680,22970,0,1009805,1009805,951230,58575,0,48467,0,4
780410,2017,1196411,1354301,110521,990181,253599,0,759812,519430,0,1271470,50000,0,2076965,2294654,2202456,92198,0,77260,0,19
780585,2017,49349,582927,216692,235890,130345,3913,499273,0,0,136916,200,0,1668582,1730293,1488736,241557,0,222856,0,3
780860,2017,294,0,0,0,0,0,182,0,0,112,3010,0,0,0,0,0,0,0,0,0
780925,2017,208753,228320,189889,696,37735,144371,353248,0,0,228196,100000,0,2346802,2349212,2348637,575,0,380,0,15
781068,2017,315,26266,20901,2093,3272,0,59671,0,0,-33090,700,0,213474,213474,237246,0,23772,0,25907,4
781807,2017,16009,4407,0,3799,608,0,65755,0,0,-45339,200,0,29681,33314,54740,0,21426,0,22317,0
782055,2017,180206,169739,31802,21914,116023,0,329605,0,0,20340,210,0,441473,452044,406649,45395,0,40835,0,3
782268,2017,129938,413183,87146,223318,102719,0,388009,0,0,155112,30000,0,886057,896210,877873,18337,0,6349,0,0
782314,2017,3629,2233,0,1132,0,0,4500,0,0,1362,200,0,0,0,0,0,0,0,0,0
782349,2017,131921,997835,865410,74561,57864,0,939927,0,0,189829,200,0,5690385,5692133,5676226,15907,0,8456,0,21
782500,2017,5849702,3472808,1163221,2243583,66004,88764,4732769,0,0,4678505,99690,0,14105879,13770111,13308587,461524,0,399428,0,66
782667,2017,-175,83,64,0,19,0,61856,0,0,-61948,200,0,0,0,0,0,0,0,0,0
