HOFMANN SPEDITION SRL,204701,Alba
VSA AGENTIE SERVICII VIDEO SRL,231463,Alba
GERRO UTILAJE SRL,1105838,Alba
URGENTA SRL,1332113,Alba
BOGDAN SRL,1750833,Alba
FARMACIA DIANA FARM SRL,1750949,Alba
SATURN SA,1750957,Alba
BIHARIA SRL,1751006,Alba
STAR TEX SRL,1751014,Alba
BALCAN SRL,1751022,Alba
ALIMPE SRL,1751065,Alba
TITI SRL,1751081,Alba
POPA-SILVER SRL,1751200,Alba
FILIP A SRL,1751227,Alba
LEDY SRL,1751235,Alba
INDUSTRIE MICĂ ŞI SERVICII SRL,1751316,Alba
FAST GALLERY SRL,1751588,Alba
ANA COMP SRL,1751600,Alba
GALENICA MURY SRL,1751634,Alba
MATI SRL,1751766,Alba
BOCAN-PALERMO SRL,1751804,Alba
EMI SRL,1751928,Alba
CILNICEAN SRL,1751944,Alba
LA RASCRUCE SRL,1752052,Alba
BOIAN TRANS SERVICE SRL,1752095,Alba
ROGILL & COMPANY SRL,1752214,Alba
GURA VAII SRL,1752265,Alba
COMTURS SUHO SRL,1752311,Alba
AGROMEC UNIREA SA,1752320,Alba
UMBRA VAII SRL,1752370,Alba
MICA ROMA SRL,1752443,Alba
MELODY POSA SNC,1752508,Alba
AGROMEC CUNTA SA,1752656,Alba
CALIPSOS BAR SRL,1752761,Alba
COMPIL MOTUL SRL,1752800,Alba
BIRT POIANA SRL,1752869,Alba
GRUP CORINT SRL,1753139,Alba
CONF LUX SRL,1753210,Alba
TRANSEURO SRL,1753287,Alba
ORFEU SRL,1753376,Alba
ARIESUL MIC VIDRA SRL,1753384,Alba
MONTANA BIS SRL,1753651,Alba
A.P.S. SRL,1753775,Alba
MARIANY SRL,1753830,Alba
UNIFAST SRL,1753872,Alba
JINAR I. SRL,1753902,Alba
EUROMAN TIMISOARA SRL FILIALA ARIESENI,1753988,Alba
JOHNNY COMPANY EUROPA SRL,1754002,Alba
GLOBUS SRL,1754070,Alba
PANIM SRL,1754126,Alba
VIK VASIU SRL,1754312,Alba
INTERNATIONAL INTERN-SERVICE SRL,1754452,Alba
SINTRONIC SRL,1754584,Alba
AUTO-MOTOR SRL,1754657,Alba
GANDY HATEGAN SNC,1754690,Alba
ELECTRO-BVL SRL,1754703,Alba
SHARON SRL,1754711,Alba
IGNAT ASISTENT ÎN BROKERAJ SRL,1754754,Alba
COMAT-ALBA SA,1754770,Alba
SATEX SRL,1754800,Alba
LUCY-MURESAN & CO SRL,1754835,Alba
OLMY-SELESAN SRL,1754843,Alba
SPECTRA SRL,1754851,Alba
STEJARUL CIULEA ET CO. CIULEA SNC,1754916,Alba
ALCOM SRL,1754940,Alba
TRANS - ADRIAN SRL,1754959,Alba
URANIA SRL,1755024,Alba
GERRO-SIBIU SRL FILIALA ALBA IULIA,1755032,Alba
FAVORIT SRL,1755059,Alba
ATLANTIC PLUS SRL,1755083,Alba
GABI SRL,1755113,Alba
REMAT ALBA SA,1755172,Alba
INSTALATORUL SA,1755202,Alba
ANGROSISTUL C.T.P. SRL,1755237,Alba
PIUS SRL,1755288,Alba
ANTEL SRL,1755296,Alba
ABSOLUT MEDIA SRL,1755334,Alba
ALBALACT SA,1755369,Alba
AGAT SRL,1755415,Alba
TIMPLARIE-PASCU SRL,1755431,Alba
BIT SRL,1755440,Alba
APA-CTTA SA,1755482,Alba
VIOLETA L.T. SRL,1755504,Alba
A.B.C. SRL,1755547,Alba
OANCEA SRL,1755571,Alba
ADI-COM SRL,1755598,Alba
ROMANA SA,1755628,Alba
APOLLON-TRADE-COMPANY SRL,1755652,Alba
MATIN-MAIER SRL,1755776,Alba
COMSUT SRL,1755806,Alba
BAN CELEC SRL,1755830,Alba
AZUR COM IMPEX SRL,1755857,Alba
DOR ART SRL,1755865,Alba
DORIS SRL,1755890,Alba
MARIADI SZATMARI SRL,1755938,Alba
RODAX SRL,1755954,Alba
BILUS SRL,1755970,Alba
VALI COM SRL,1755989,Alba
3 ELECTRONIC SRL,1755997,Alba
IPEC COVACIU SRL,1756020,Alba
LIBRIS ALBA SA,1756054,Alba
KIWI SRL,1756143,Alba
DIAFAN SRL,1756208,Alba
PARADIS SRL,1756216,Alba
PERLA MEX SRL,1756232,Alba
FAICOM SRL,1756283,Alba
ALBENA SRL,1756437,Alba
DOMUS SRL,1756470,Alba
GENESIS OIL SRL,1756500,Alba
CETATEA BALGRAD SA,1756534,Alba
LARI SRL,1756550,Alba
HIL-CLUB SRL,1756607,Alba
BIROUL DE PROIECTARE STRAJAN SRL,1756640,Alba
UNIREA PRES SRL,1756666,Alba
CRISTALSOFT SRL,1756674,Alba
LUXOR L.T.D. SRL,1756690,Alba
A.L.T. SRL,1756712,Alba
COMPACT CONSTRUCT SRL,1756720,Alba
API CAPITALS SRL,1756780,Alba
IPRODCOOP SRL,1756801,Alba
CERACT SRL,1756925,Alba
INTERCOM SRL,1756941,Alba
PANCOM SRL,1757041,Alba
SETINSTAL SRL,1757076,Alba
TUDOR SRL,1757114,Alba
