FARMASAL PLUS SRL,93280,Argeș
SELCA SA,128299,Argeș
CONARG SA,128302,Argeș
BEMO SRL,128361,Argeș
ARGIF SA,128388,Argeș
ARGESUL LIBER SA,128400,Argeș
SOCIETATEA DE SERVICII IN INFORMATICA SSI PITESTI SA,128418,Argeș
INSTAG SA,128426,Argeș
SERVO-FRIG SA,128442,Argeș
TURISM MUNTENIA SA,128485,Argeș
COMAT-ARGES SA,128566,Argeș
Bancpost SA BUCURESTI SUCURSALA ARGES,128574,Argeș
VINALCOOL ARGES SA,128620,Argeș
ASTRA SA,128655,Argeș
PRODIVERS SA,128698,Argeș
SUBANSAMBLE AUTO SA,128701,Argeș
INCOSTAR SA,128752,Argeș
REMAT ARGES SA,128760,Argeș
GROSMETCHIM SA,128779,Argeș
BETARM SRL,128841,Argeș
NEPTUN SA,128884,Argeș
SOMECO SA,128930,Argeș
ROTAN SA,128949,Argeș
TRIVALE SRL,129006,Argeș
FARMACEUTICA ARGESFARM SA,129022,Argeș
INDCARF SA,129030,Argeș
COREMI SA,129049,Argeș
BANCA COMERCIALA ROMANA SA SUCURSALA ARGES,129057,Argeș
LACTAG SA,129103,Argeș
ROLAST SA,129154,Argeș
APARTAMENTUL SA,129170,Argeș
TARA SA,129200,Argeș
FORTUNA SA,129219,Argeș
ALPROM SA,129227,Argeș
COMALIMENT SA,129235,Argeș
TIPARG SA,129243,Argeș
ARGINTEX SA,129294,Argeș
COMARGROS SA,129308,Argeș
BRD - GROUPE SOCIÉTÉ GÉNÉRALE SA BUCUREŞTI SUCURSALA PITEŞTI,129340,Argeș
PITSER SRL,129367,Argeș
ASIA FLAVOUR COMPANY SRL,129448,Argeș
GIMERO SRL,129600,Argeș
IMPALA SRL,129669,Argeș
IMPEX APOLLO 20 R.I. SRL,129685,Argeș
MAVEXIM SRL,129723,Argeș
CALITAS-COM SRL,129839,Argeș
SALVEXPERT CO SRL,129871,Argeș
VISECOM SRL,129880,Argeș
TEHNOPROD SRL,129936,Argeș
ROMARTA-LUX SRL,129960,Argeș
TV SATAG SRL,129979,Argeș
POLICLINICA STOMATOLOGICA DOCTOR COMAN MARGARETA SRL,130000,Argeș
NATIONAL SRL,130035,Argeș
ANDER SRL,130108,Argeș
AMICII SRL,130140,Argeș
FARMACIA ANCA SRL,130205,Argeș
TITAN SRL,130280,Argeș
TRIO-DENTA SRL,130310,Argeș
SANTINA SRL,130337,Argeș
MISS ARTE SRL,130345,Argeș
IVANCO SRL,130418,Argeș
AXA-PROSPECT SRL,130426,Argeș
MEVIDEX SRL,130469,Argeș
GOBLEN SET SRL,130540,Argeș
IMPERAGENT SRL,130590,Argeș
RELY COM SRL,130639,Argeș
COLUMB SRL,130701,Argeș
AXEL SOFT SRL,130710,Argeș
STEMAR SRL,130736,Argeș
CLEMANS SRL,130744,Argeș
STOMATOLOGIE DR.ALECSANDRESCU SRL,130841,Argeș
CORONA SRL,130850,Argeș
MALICO SRL,130868,Argeș
ARALEX SRL,131103,Argeș
EXAS SRL,131278,Argeș
ACTUAL SRL,131391,Argeș
DENIX IMPEX SRL,131456,Argeș
XENIA SRL,131472,Argeș
MODERN IMPEX SRL,131529,Argeș
MONTORUL SRL,131588,Argeș
VIPLAST SRL,131596,Argeș
METROPOL SRL,131618,Argeș
SELCO SRL,131634,Argeș
GECO SRL,131693,Argeș
VULTURUL ALBASTRU SRL,131723,Argeș
N.V.-IMPEX SRL,131731,Argeș
EDEF SRL,131758,Argeș
APORT SRL,131790,Argeș
RADIO-TAXI SRL,131880,Argeș
MICRO-STAR SRL,131995,Argeș
SOREL SRL,132060,Argeș
SIROCO SRL,132095,Argeș
MONOLIT SRL,132192,Argeș
GOLIAT SRL,132222,Argeș
EXPERIMENT 90 SRL,132290,Argeș
ALL SRL,132320,Argeș
COMPACT SRL,132362,Argeș
TESCONFAL M SRL,132443,Argeș
PROCOMA SRL,132460,Argeș
GIM-TIN SRL,132478,Argeș
PITMARK SRL,132494,Argeș
MARCOMTRANS SRL,132532,Argeș
I. C. UNIREA SRL,132583,Argeș
RARES SRL,132591,Argeș
CARPATI-COM SRL,132702,Argeș
TAPI-MOB SRL,132788,Argeș
ATO IMPEX SRL,132796,Argeș
EXCELEXIM SRL,132850,Argeș
MACRO SRL,132869,Argeș
FEBOS SRL,133031,Argeș
ANTONIO SRL,133112,Argeș
ROCIP INSTAL SRL,133171,Argeș
LUROX SRL,133180,Argeș
NARCOM IMPEX SRL,133201,Argeș
COMEXIM SRL,133341,Argeș
MOGA SRL,133546,Argeș
BIOMALT ARG SRL,133562,Argeș
CANGURO SRL,133635,Argeș
SCHEPSIS SRL,133678,Argeș
MARATON SRL,133716,Argeș
INTERNATIONAL TIVY SRL,133724,Argeș
LUKY SRL,133759,Argeș
STABIL SRL,133783,Argeș
TEZEU SRL,133791,Argeș
MAICHELBEK SRL,133821,Argeș
QUAD SRL,133864,Argeș
QUATRO IMPORT-EXPORT SRL,133872,Argeș
ROFEXIM SRL,133945,Argeș
CALYPSO SRL,133988,Argeș
SIDORIA SRL,133996,Argeș
RADIAL SRL,134010,Argeș
A - 90 SRL,134096,Argeș
ALUNIS SRL,134126,Argeș
MILIAN SRL,134185,Argeș
PRAXIS SRL,134231,Argeș
AGROALIMENT GD SRL,134290,Argeș
ALEPSIR SRL,134312,Argeș
IZOCON SRL,134401,Argeș
HARISS SRL,134410,Argeș
ANGLO-ROM SRL,134584,Argeș
PAUL TRANSCOM VIP SRL,134614,Argeș
ALPETA SRL,134630,Argeș
POINTIMEX SRL,134673,Argeș
REGENT SRL,134711,Argeș
GEMPA SRL,134770,Argeș
CENTRAL SRL,134843,Argeș
H SRL,134851,Argeș
KARINA SRL,134967,Argeș
CON'S DESIGN SRL,134975,Argeș
ELITE-COM SRL,135083,Argeș
ANISOARA SRL,135121,Argeș
PASAM SRL,135130,Argeș
SILVER TRADING SRL,135164,Argeș
MEREDITH-RO SRL,135210,Argeș
COMOB SRL,135229,Argeș
UNIVERSAL-SERVICE-VILCU SRL,135300,Argeș
FRATELO IMPEX SRL,135342,Argeș
MARCOM SRL,135377,Argeș
NANA SRL,135393,Argeș
FAST COM SRL,135539,Argeș
STOMATOLOGIE DR.TANASE JEAN SRL,135547,Argeș
1001 SRL,135580,Argeș
VICONELI SRL,135598,Argeș
JAJA SRL,135687,Argeș
OLDATI SRL,135717,Argeș
CONDIMPEX SRL,135725,Argeș
ROXANA - ELENA SRL,135881,Argeș
PRODINF SRL,135962,Argeș
SOPO SRL,136003,Argeș
