GENERAL CONDOR CONFEX SRL,347132,Bacău
ROSETTI SRL,943330,Bacău
OCUMED SRL,943348,Bacău
AS-RO SRL,943364,Bacău
PRESTIGE SRL,943372,Bacău
GELBACOS SRL,943437,Bacău
TONORA SRL,943569,Bacău
NESTIAN & CO SRL,943615,Bacău
DENTA SRL,943674,Bacău
CONBAC SA,943755,Bacău
AUTOSTAR SRL,943860,Bacău
GENO SRL,943941,Bacău
SEILAND SRL,944092,Bacău
ROTBAC SRL,944149,Bacău
MEROPS SRL,944289,Bacău
SOCIETATEA DE SERVICII INFORMATICE-CTCE-BACAU SRL,944297,Bacău
FOR YOU SRL,944424,Bacău
VALENTINO SRL,944637,Bacău
VIORELA SRL,944807,Bacău
SPOT SRL,944904,Bacău
QUINTIN SRL,944920,Bacău
EMIFARM SRL,944955,Bacău
AICBAC SA,945055,Bacău
ALINDOR SRL,945110,Bacău
ROMIMPEX SRL,945187,Bacău
EDELWEISS SA,945195,Bacău
TAMARA SRL,945225,Bacău
IRENE SRL,945250,Bacău
SALIA SERV SRL,945330,Bacău
PSIDENT SRL,945381,Bacău
CIBAR SRL,945411,Bacău
INTIM-CONFORT SRL,945608,Bacău
AGROPREST SRL,945632,Bacău
SICONI SRL,945667,Bacău
C.V.C. SRL,945691,Bacău
COMAT BACAU SA,945705,Bacău
DANCEANU & CO SNC,945748,Bacău
TISECO SRL,945845,Bacău
ROMSERVICE UNIVERS SRL,945900,Bacău
CAT-ION SRL,946000,Bacău
DOLEN SRL,946026,Bacău
CRIZANTEMA SRL,946042,Bacău
ADONIS SRL,946085,Bacău
LAURA SRL,946107,Bacău
BAC INTEX SA,946131,Bacău
ELECTRICE SRL,946140,Bacău
SFERA SRL,946247,Bacău
ANDILEX SRL,946352,Bacău
I.L.S. SA,946379,Bacău
TEVIRCO SRL,946433,Bacău
ELECTRO-SERVICE SRL,946441,Bacău
CIP & LORI SRL,946549,Bacău
CONTACT SRL,946719,Bacău
MAXBUN SRL,946794,Bacău
IVORY SRL,946840,Bacău
O.V.P.-IMPEX SRL,946905,Bacău
ILBA GRUP SA,946948,Bacău
OLARU SI NECHITA SNC,946972,Bacău
MEDISON SRL,947030,Bacău
GENNIS SRL,947080,Bacău
TELECONSTRUCTIA SA BUCURESTI SUCURSALA BACAU,947137,Bacău
TOTAL SERVPETROL SRL,947170,Bacău
CRINAS SRL,947269,Bacău
PERPETUU-SERVICE SRL,947285,Bacău
PARGARU SRL,947307,Bacău
KINGS SRL,947358,Bacău
ROMTEXIM SRL,947382,Bacău
VINALCOOL SA,947439,Bacău
NATIONAL SRL,947536,Bacău
HELIOS SRL,947722,Bacău
CONEXTRUST SA,947730,Bacău
INTERCOP SRL,947749,Bacău
ALEXA VASILE SRL,947773,Bacău
PASAJ SRL,947870,Bacău
ANDEMI SRL,947986,Bacău
RUSU PRO PROGRESSO SNC,948000,Bacău
ROMCONI SRL,948159,Bacău
DOMA S.R. SRL,948183,Bacău
TEHNO PLAST SRL,948388,Bacău
RUBINUL-SERV-COM SRL,948418,Bacău
CONIMPULS SA,948426,Bacău
GELICONF SRL,948574,Bacău
ROMAGORA MV SRL,948833,Bacău
NOROCEL SRL,948914,Bacău
ANDYMAT CLUB SRL,948922,Bacău
BEST SRL,948949,Bacău
FELIX-GIS SRL,948990,Bacău
PARF SRL,949090,Bacău
MARLUX SRL,949138,Bacău
FLORIDA SRL,949200,Bacău
TRIMER SRL,949251,Bacău
RESCON MOLDOVEANU SRL,949316,Bacău
ROMHART SA,949375,Bacău
COMALRID SA,949383,Bacău
LUPTRANS SRL,949421,Bacău
M.C.D. SRL,949529,Bacău
BONANZA SRL,949669,Bacău
RESOMA SRL,949766,Bacău
ELDINI SRL,949774,Bacău
ATLAS SA,949812,Bacău
FILOPTIC SRL,949910,Bacău
RAVCONF SRL BUCURESTI FILIALA BACAU,949960,Bacău
PAMBAC SA,950264,Bacău
SEVEN UP SRL,950280,Bacău
EXCELENT SRL,950400,Bacău
TONINO SRL,950477,Bacău
AEROSTAR SA,950531,Bacău
TRANSPORT AUTO SI SERVICII SA,950612,Bacău
VINOGRAD-BAC SRL,950620,Bacău
OBA SRL,950809,Bacău
FAIR PLAY SRL,950930,Bacău
GARNUF SRL,951014,Bacău
AMAROM SRL,951022,Bacău
ELCO-M SRL,951030,Bacău
ALIMCOP SRL,951103,Bacău
AGROINDUSTRIALA SA,951138,Bacău
ROWAY SRL,951308,Bacău
SILVA SRL,951405,Bacău
G.S. ALIMPEX INTERNATIONAL SRL,951421,Bacău
ACELINA SRL,951537,Bacău
VAMAR DENT SRL,951545,Bacău
MICON SRL,951634,Bacău
CAREX SRL,951642,Bacău
ROMAN LAROM SNC,951650,Bacău
MISIG SRL,951758,Bacău
ORIENTEX 04 SRL,951774,Bacău
SORGENT SRL,951820,Bacău
CRISTAL SRL,951839,Bacău
BRIZA-ALEXA SRL,951847,Bacău
EL FEDAS IMPEX SRL,951880,Bacău
IMPACT SRL,952010,Bacău
DRAGASTAN SNC,952060,Bacău
STADION SRL,952273,Bacău
A.B.C.-COMIMPEX SRL,952320,Bacău
MESSINA DISTRIBUTIE SRL,952460,Bacău
PLAESU SRL,952478,Bacău
DAOMI SRL,952486,Bacău
JECONI SRL,952540,Bacău
ADINA SRL,952591,Bacău
FIFIRIG SRL,952605,Bacău
AMA IMPORT-EXPORT SRL,952630,Bacău
LUCEAFARUL SA,952656,Bacău
GHEPARD SRL,952702,Bacău
ROMCONSTRUCTOR SA,952761,Bacău
ALTAMIRA SRL,952770,Bacău
SALOFARM SRL,952877,Bacău
STEF-BIANCA SRL,953007,Bacău
ECOSAT SRL,953015,Bacău
BANCA COMERCIALA ROMANA SA SUCURSALA JUDETEANA BACAU,953139,Bacău
ROJUVEX SRL,953155,Bacău
DENTO-SAN-BUSTUC SRL,953163,Bacău
BAR'S LINE SRL,953260,Bacău
MORARU-ANCA SRL,953279,Bacău
COMINFORTRANS SA,953295,Bacău
PHILA SRL,953414,Bacău
BLOC BAC SRL,953422,Bacău
META-CHIM SRL,953449,Bacău
SARA SRL,953473,Bacău
SIDERAL SRL,953511,Bacău
