PRO-ARH SRL,46458,Bihor
PANSELUTA SRL,46466,Bihor
I.T.M. EXIM SRL,46520,Bihor
NOVA - PROIECT SRL,46563,Bihor
MINERVA PLUS CONSULT SRL,46610,Bihor
PROD IMPEX B.I.G. SRL,46644,Bihor
MAGISTER COMTUR SRL,46741,Bihor
URBAN STRUCT SRL,46750,Bihor
CONSUELA - IMPEX SRL,46768,Bihor
PROD ALZA SRL,46830,Bihor
AMAZON IMPEX SRL,46857,Bihor
NICANDIAS GRUP SRL,46954,Bihor
MARTEX SRL,47097,Bihor
COMANDOR SRL,47119,Bihor
FARMACIA ELIXIR SRL,47151,Bihor
COMFRUCT SA,47208,Bihor
PRODCONSERV FLORION SRL,47313,Bihor
SOCIETATEA DE PRODUCTIE SI COMERT MARA SRL,47321,Bihor
SIGNA SRL,47356,Bihor
CARMEN-COM SRL,47399,Bihor
EPY SRL,47429,Bihor
BRIGITTE PRODCOM SRL,47445,Bihor
DANIELA COM SRL,47453,Bihor
CASNICA SRL,47461,Bihor
ADONIA SRL,47496,Bihor
DELIA-FARM-IMPEX SRL,47500,Bihor
ATICHUS TRANS SRL,47550,Bihor
METALIM NUFARUL SRL,47569,Bihor
NUFARUL COMIMPEX SRL,47615,Bihor
ATIZ & STYL SRL,47631,Bihor
NUFARUL - FARM SRL,47640,Bihor
GENERAL INDCOM SRL,47674,Bihor
NANDITO SRL,47720,Bihor
PADIS SRL,47763,Bihor
HERIS COM. SRL,47780,Bihor
STRELITIA COM SRL,47810,Bihor
IMPEX CARMEN SRL,47887,Bihor
DOMARO COM SRL,47968,Bihor
PREXIM STYLE SRL,47976,Bihor
GEOFOR SRL,47984,Bihor
OCCIDENT COM. SRL,47992,Bihor
LEGUMEX SRL,48017,Bihor
TEHNOCHIM SRL,48025,Bihor
SPELEMAT SRL,48033,Bihor
PUSTA IMEX SRL,48050,Bihor
TONYMPEX SRL,48084,Bihor
CORADA IMPEX SRL,48491,Bihor
PAMORA SA,48505,Bihor
SESAM SERV SRL,48548,Bihor
JONY PRODCOMSERVIMPEX SRL,48572,Bihor
SERVICE KAISER SRL,48599,Bihor
STEP SRL,48610,Bihor
DIOMOTORS SRL,48629,Bihor
CAB.MED.SIRCA SRL,48696,Bihor
ONIX SRL,48726,Bihor
HERMA SERV.COM. SRL,48734,Bihor
GENERAL F.I.F.CONSTRUCTII SRL,48785,Bihor
IFOR SA,48823,Bihor
CRINUL SRL,48858,Bihor
ART-MESSAGE SRL,48866,Bihor
ROMCUCIULA SRL,48882,Bihor
METROL MIXT SRL,48890,Bihor
AMIR IMPEX SRL,48971,Bihor
KRIZOLITUS IMPEX SRL,49004,Bihor
BANCA COMERCIALA ROMANA SA BUCURESTI SUCURSALA BIHOR,49039,Bihor
FARMACIA VERDE SRL,51080,Bihor
METALICA SA,51179,Bihor
EXOTIC UNIVERSAL SERV SRL,51195,Bihor
FERONA MD PRODIMPEX SRL,51217,Bihor
EDILCONS SRL,51241,Bihor
MEDIFARM SPERANTA SRL,51268,Bihor
PYRO-STOP SRL,51322,Bihor
ALEXIS SRL,51357,Bihor
MENTA SRL,51373,Bihor
MIORITA SA,51390,Bihor
MADOC SPORT SRL,51446,Bihor
MYGAL SRL,51454,Bihor
FARMA-FONTANA IMPEX SRL,52182,Bihor
LIMAR PREST SRL,52263,Bihor
FATCOM-IMPEX SRL,52298,Bihor
PRODCHIM SRL,52387,Bihor
MARCU - IMPEX SRL,52409,Bihor
MAN IMPEX SRL,52484,Bihor
SKYLAB IMPEX SRL,52557,Bihor
SUPER-IMPEX SRL,53064,Bihor
ALEXANDRA COMIMPEX SRL,53110,Bihor
TABACU UNIVERSAL SERVICE SRL,53188,Bihor
RAPID COM SRL,53218,Bihor
COMIMPEX FIDONNA SRL,53226,Bihor
DALIA COM-IMPEX SRL,53307,Bihor
FARMACIA BONITAS SRL,53374,Bihor
DODO-SERVICE SRL,53382,Bihor
BEIER SRL,53404,Bihor
COMPLEX O.M.V. COM SRL,53447,Bihor
MEDUZA NICOL SRL,53480,Bihor
ROBUST-IMPEX SRL,53501,Bihor
BRUTARIE SUTODE NAGY SRL,53510,Bihor
PANIFICATIA FELIX SRL,53528,Bihor
B.M.&H.S. IMPEX SRL,53536,Bihor
TOP - TECH SRL,53544,Bihor
AB CARGO SRL,53579,Bihor
CORATIM SRL,53676,Bihor
RISC IMPEX SRL,53730,Bihor
TRIDATE SRL,53811,Bihor
MOBILTIP SRL,53897,Bihor
TOPAZ SERV.COM. SRL,53935,Bihor
MACOM SRL,53960,Bihor
POLIMEDICAL & DENT SRL,54183,Bihor
PERPETUUM MOBILE SRL,54191,Bihor
KRONOR IMPEX SRL,54264,Bihor
SICOOP SA,54477,Bihor
CRISANA SA,54507,Bihor
