PROWINE AGRO SRL,244790,Bistrița-Năsăud
VISINUL SRL,562262,Bistrița-Năsăud
SOOL SRL,562432,Bistrița-Năsăud
RECORD SRL,562467,Bistrița-Năsăud
AUTOMATIC SRL,562483,Bistrița-Năsăud
DIDEL SRL,562521,Bistrița-Năsăud
DENTIM SRL,562530,Bistrița-Năsăud
BREMER-AUTO SRL,562688,Bistrița-Năsăud
VINATORUL SRL,562696,Bistrița-Năsăud
ALFA SRL,562750,Bistrița-Năsăud
SANDY-COLA SRL,562866,Bistrița-Năsăud
VIV SRL,562890,Bistrița-Năsăud
PERLA SRL,562947,Bistrița-Năsăud
BISTRITA SA,563004,Bistrița-Năsăud
REGINA SRL,563160,Bistrița-Năsăud
CORAX PLAST SRL,563225,Bistrița-Năsăud
VAIDA COM SRL,563284,Bistrița-Năsăud
MOPELL SRL,563330,Bistrița-Năsăud
PRODIND SRL,563390,Bistrița-Năsăud
CALITAS M.C. SRL,563438,Bistrița-Năsăud
LOR-AND TRADING SRL,563497,Bistrița-Năsăud
CRIS-COM SRL,563624,Bistrița-Năsăud
GOLDPLAST SA,563632,Bistrița-Năsăud
RAPID SA,563640,Bistrița-Năsăud
IZVORUL-RECE SRL,563888,Bistrița-Năsăud
URBANA SA,563934,Bistrița-Năsăud
CASSANDRA-IMPEX SRL,564042,Bistrița-Năsăud
BULEVARD SRL,564069,Bistrița-Năsăud
TEROMAT SRL,564093,Bistrița-Năsăud
SET-MAR SRL,564115,Bistrița-Năsăud
SEMTIS SRL,564140,Bistrița-Năsăud
OXIGENUL SA,564182,Bistrița-Năsăud
PALAS SRL,564247,Bistrița-Năsăud
CONFPEL SA,564280,Bistrița-Năsăud
PROJECT MANAGER SRL,564298,Bistrița-Năsăud
COMBIS SA,564360,Bistrița-Năsăud
GENTIANA DOINA SRL,564425,Bistrița-Năsăud
FAPA SRL,564476,Bistrița-Năsăud
EL-CAR SRL,564549,Bistrița-Năsăud
CERBUL SRL,564573,Bistrița-Năsăud
ILROM SRL,564581,Bistrița-Năsăud
TEXPLAST RANG SRL,564611,Bistrița-Năsăud
ROMBAT SA,564638,Bistrița-Năsăud
MATCON SA,564662,Bistrița-Năsăud
SERVMOTOR SRL,564794,Bistrița-Năsăud
MELES-COMMERCIAL SRL,564816,Bistrița-Năsăud
CASA DE PRESA SI EDITURA RASUNETUL SRL,564875,Bistrița-Năsăud
SANY SRL,565056,Bistrița-Năsăud
CITTA' DELLA SETA SRL,565129,Bistrița-Năsăud
AUTOMOBILE SERVICE SRL,565188,Bistrița-Năsăud
COMAUTOSPORT SRL,565218,Bistrița-Năsăud
GRIGA SRL,565234,Bistrița-Năsăud
BOMBEX SRL,565250,Bistrița-Năsăud
CONDOR SRL,565285,Bistrița-Năsăud
LIDECOMF SRL,565315,Bistrița-Năsăud
STANCUTA SRL,565366,Bistrița-Năsăud
CIRCUIT SRL,565404,Bistrița-Năsăud
CAPITOL SRL,565447,Bistrița-Năsăud
SAND-SPORT SRL,565463,Bistrița-Năsăud
ZINVELIU-STAR SRL,565510,Bistrița-Năsăud
DACIA SRL,565536,Bistrița-Năsăud
RODOB SRL,565587,Bistrița-Năsăud
PROSOFT SRL,565757,Bistrița-Năsăud
AMFORA SRL,565765,Bistrița-Năsăud
MACON SRL,565838,Bistrița-Năsăud
PALTINUL-BUDURLENI SRL,565854,Bistrița-Năsăud
STIL PROIECT SA,565862,Bistrița-Năsăud
GOMAS SRL,565870,Bistrița-Năsăud
EUROPASERVICE SA,565900,Bistrița-Năsăud
MIRO SA,565943,Bistrița-Năsăud
HERMES SA,565951,Bistrița-Năsăud
SERBIS SRL,565986,Bistrița-Năsăud
CARPATI SRL,566000,Bistrița-Năsăud
CUPTORUL DE AUR SRL,566027,Bistrița-Năsăud
CORA SRL,566035,Bistrița-Năsăud
PROINSTAL 302 G SRL,566043,Bistrița-Năsăud
SIGMA IMPEX SRL,566060,Bistrița-Năsăud
NORDICA SRL,566124,Bistrița-Năsăud
INST-NISTOR SRL,566132,Bistrița-Năsăud
VICTORITA M SRL,566140,Bistrița-Năsăud
CAFE-BAR SELECT SRL,566183,Bistrița-Năsăud
INA SRL,566264,Bistrița-Năsăud
ATLANTA 1 SRL,566272,Bistrița-Năsăud
TRANSLUNG SRL,566337,Bistrița-Năsăud
DAMARIS SRL,566361,Bistrița-Năsăud
RCZ SRL,566396,Bistrița-Năsăud
PROMT SRL,566434,Bistrița-Năsăud
RADICAL SRL,566442,Bistrița-Năsăud
CIPRIAN SRL,566469,Bistrița-Năsăud
DISI SRL,566477,Bistrița-Năsăud
ONIX SRL,566566,Bistrița-Năsăud
VICTORITA SRL,566574,Bistrița-Năsăud
I.F.N. COMSIG LEASING SA,566604,Bistrița-Năsăud
HELROM-IMPORT-EXPORT SRL,566701,Bistrița-Năsăud
PUNCTUAL COM IMPEX SRL,566710,Bistrița-Năsăud
DATABIN SRL,566760,Bistrița-Năsăud
AQUABIS SA,566787,Bistrița-Năsăud
ALO SRL,566817,Bistrița-Năsăud
CARMEN SRL,566868,Bistrița-Năsăud
RAFAELA SRL,566922,Bistrița-Năsăud
IPROEB SA,566930,Bistrița-Năsăud
O.G. VASILUT SRL,567030,Bistrița-Năsăud
ACETICA-COMPANY SRL,567111,Bistrița-Năsăud
TUDOR SRL,567251,Bistrița-Năsăud
MERIDIAN SRL,567294,Bistrița-Năsăud
FARMACIA-HYGIEIA SRL,567324,Bistrița-Năsăud
COMPLEX LAZ 91 SRL,567340,Bistrița-Năsăud
CON MAR SRL,567375,Bistrița-Năsăud
ELCOM SRL,567391,Bistrița-Năsăud
OZANA SRL,567421,Bistrița-Năsăud
PROMPT TRADING SRL,567472,Bistrița-Năsăud
CRISTIRO SA,567480,Bistrița-Năsăud
IMPRES SRL,567529,Bistrița-Năsăud
COROANA TOURISM COMPANY SRL,567561,Bistrița-Năsăud
CASTELL SRL,567588,Bistrița-Năsăud
BRD - GROUPE SOCIETE GENERALE SA BUCURESTI - SUCURSALA BISTRITA-NASAUD,567707,Bistrița-Năsăud
ELECTROMOTOR SERVICE LENGHEL SI COMPANIA SRL,567731,Bistrița-Năsăud
FARMACIA REMEDIA SRL,567758,Bistrița-Năsăud
AGROSERVICE SRL,567766,Bistrița-Năsăud
CABINET STOMATOLOGIC BOL SRL,567774,Bistrița-Năsăud
FITOPLANT COM SRL,567782,Bistrița-Năsăud
GLOBUS SRL,567804,Bistrița-Năsăud
