DERTINEX SRL,603281,Botoșani
COMAR SRL,603770,Botoșani
BIP BOTEZ-ILCU-PASCAL SNC,603800,Botoșani
ARTPLAST DESIGN SRL,604910,Botoșani
PRODIMPEX-M SRL,605169,Botoșani
MESAGER SERVICE SRL,605193,Botoșani
PEVECO SRL,605339,Botoșani
RESTAURANT SELECT SRL,605371,Botoșani
COMPATI SRL,605380,Botoșani
VELMA SRL,605410,Botoșani
COFETARIA BULEVARD SRL,605703,Botoșani
DELICIA OJOG SNC,605894,Botoșani
BROD STAR SRL,605932,Botoșani
GEVI SRL,606024,Botoșani
NICOM SRL,606032,Botoșani
ALIMENTEXP SA,606652,Botoșani
LITERA SRL,606750,Botoșani
FORTUNA SRL,606768,Botoșani
INTREPRINDEREA DE MICA INDUSTRIE AGRICOLA SA,606830,Botoșani
PEVECO-COSTIN SNC,606881,Botoșani
MIORITA SRL,606903,Botoșani
DACIA SRL,606938,Botoșani
AUTOCOMP SRL,606946,Botoșani
AS TIBCO SRL,606962,Botoșani
RAPSODIA CONF SA,607020,Botoșani
MEDING SRL,607038,Botoșani
ISTAMBUL MEFA SRL,607100,Botoșani
PROMT SERV DUMBRAVEANU & SIRGHIE SNC,607151,Botoșani
M.V. CONSULTING SRL,607186,Botoșani
MEDICAL PARTNER'S DR.PLANTOS & CO SRL,607224,Botoșani
CASA CHIRIAC SRL,607259,Botoșani
LEOLA-COM SRL,607267,Botoșani
GRUPUL INDUSTRIAL ELECTROCONTACT SA,607321,Botoșani
UNIREA TRICOLOR ALEXA SNC,607682,Botoșani
MI-CHI SRL,607739,Botoșani
ANA-COM SRL,607771,Botoșani
ASCO SRL,607801,Botoșani
COMIR SRL,608114,Botoșani
COFETARIA PARC SRL,608238,Botoșani
CERES SA,608300,Botoșani
MARA COMTUR SRL,608327,Botoșani
GOLDANA SRL,608394,Botoșani
COMPLEX APRODES SRL,608459,Botoșani
PESCARUL SRL,608742,Botoșani
CONDACIA SA,608955,Botoșani
RADCOM SRL,609110,Botoșani
BRINDUSA COM SRL,609128,Botoșani
ARMONIA 2 SRL,609187,Botoșani
JATEX SA,609225,Botoșani
BERARIA TISMANA SRL,609403,Botoșani
CODIN SA,609438,Botoșani
ALCOR SA,609446,Botoșani
ELEGANT COM SRL,609543,Botoșani
MAGIC SRL,609616,Botoșani
GHEORGHIU INTERNATIONAL SRL,609730,Botoșani
LEMONCOF SRL,609829,Botoșani
SILVAURA-COM SRL,609985,Botoșani
EMMAR PANZAR SNC,610157,Botoșani
ICOPLANT SRL,610238,Botoșani
ELIA-COM SRL,610467,Botoșani
COMPRODIV SRL,610483,Botoșani
UNIVERS DRAM SRL,610734,Botoșani
COMER-BOTOSAN SRL,610890,Botoșani
GIVA ELECTRON SRL,610904,Botoșani
MOLDOTRONIC SRL,610939,Botoșani
TRANSPORT CALATORI SA,611233,Botoșani
ALIMENTATIE PUBLICA SI COMERT S.A.P.C. DOINA SRL,611314,Botoșani
FARMACIA HUSAC SRL,611381,Botoșani
CORA SA,611705,Botoșani
BOMATEX SA,611764,Botoșani
FARM ALIMENT SRL,611780,Botoșani
EMANUEL ONOFREI SNC,611802,Botoșani
C.IGNATESCU SRL,611837,Botoșani
CONVEXIM SRL,611845,Botoșani
VIZITEU SRL,611900,Botoșani
FORMA SA,611977,Botoșani
OBTAR SRL,612140,Botoșani
MOROM CHELARIU IZVORUL RECE SNC,612344,Botoșani
IGA-PREST-SERVICE SRL,612450,Botoșani
BANCA COMERCIALA ROMANA BUCURESTI SA SUCURSALA BOTOSANI,612476,Botoșani
TUTTI COM SRL,612484,Botoșani
COFETARIA AMANDINA SRL,612514,Botoșani
LIVAL IMPORT-EXPORT SRL,612530,Botoșani
FARMABIOMED SRL,612549,Botoșani
ALCAROM MIXT IMPORT EXPORT SRL,612603,Botoșani
PISCICOLA SA,612727,Botoșani
NORD-TOUR SRL,612824,Botoșani
UNIVERS COM SRL,612891,Botoșani
IMPEX GICA SRL,612905,Botoșani
C.D.A.-2 IMPORT EXPORT SRL,612999,Botoșani
BACANIE 45 ELECTROCONTACT SRL,613137,Botoșani
CRISTAL SRL,613161,Botoșani
LUNGU & CONSTRUCTII SERVICII COMERT SRL,613510,Botoșani
NORD PROIECT SA,613536,Botoșani
CĂRĂMIDA M.C.V. SRL,613633,Botoșani
UNIVERSUM SRL,613757,Botoșani
MECANEX SA,613803,Botoșani
IFIMAX SRL,613820,Botoșani
CORAL SRL,613838,Botoșani
Bancpost SA BUCURESTI SUCURSALA BOTOSANI,614035,Botoșani
GENERCOM SRL,614167,Botoșani
FENIX COM SRL,614183,Botoșani
NEDEIE SRL,614353,Botoșani
GAMA SRL,615200,Botoșani
CYTY TAXI SRL,615251,Botoșani
COMPRODUS MIHALACHE SRL,615294,Botoșani
RALU IMPEX SRL,615693,Botoșani
AURORA SA,615707,Botoșani
ARSCOM SRL,615715,Botoșani
GAMA SERVICE SRL,616273,Botoșani
FLOT IMPORT EXPORT SRL,616338,Botoșani
PALCOM SRL,616397,Botoșani
UNION A-4 FETCU SRL,616508,Botoșani
SCORPION SRL,616800,Botoșani
CASTOR IMPEX SRL,616915,Botoșani
