ROVICOM IMPEX SRL,343181,Brăila
MATADOR 04 SRL,480669,Brăila
FOR COMIXT SRL,1155097,Brăila
COZA COM SRL,2152528,Brăila
ORIENT COMPANY SRL,2238239,Brăila
Z. FARM SRL,2238336,Brăila
CONFORT 2000 SRL,2238409,Brăila
COM TRIMEX SRL,2238425,Brăila
TARAVERDE SA,2238522,Brăila
STRUCTURI METALICE SRL,2238581,Brăila
ACVILA-TRANS SRL,2238590,Brăila
ADIS COM SRL,2238670,Brăila
ANTIGON IMPEX SRL,2238735,Brăila
MERIDIAN COM SRL,2238840,Brăila
DANBO IMPEX SRL,2238875,Brăila
PRODOMUS SA,2239080,Brăila
ELECTRO-CSI SRL,2239340,Brăila
COM-ARTEMIS SRL,2239382,Brăila
RA TI COM SRL,2239390,Brăila
OCTAVIAN NEGULESCU BRAILA SRL,2239668,Brăila
VICTORIA SRL,2239803,Brăila
MASIM SRL,2239820,Brăila
CROMATIC SRL,2239854,Brăila
START SA,2239935,Brăila
COMNIC SRL,2240336,Brăila
ZAREA SRL,2240620,Brăila
TUNICOM SRL,2240638,Brăila
VALCOM SRL,2240808,Brăila
MINEX SRL,2240859,Brăila
ANTINA - COM SRL,2240891,Brăila
COFETARIA NARCISA SRL,2241099,Brăila
SERVICE AUTOMOBILE BRAILA SA,2241102,Brăila
COMOTRANS SRL,2241170,Brăila
RADIOTON SRL,2241439,Brăila
ANDRADA-COM SRL,2241854,Brăila
BANCA COMERCIALA ROMANA SA BUCURESTI SUCURSALA BRAILA,2241951,Brăila
TOPOCOM SRL,2242027,Brăila
ENDAGRO INVEST SRL,2242124,Brăila
SAMI-COM SRL,2242140,Brăila
COM TICU SRL,2242167,Brăila
CAMARO CROP SRL,2242310,Brăila
OANCEA COM SRL,2242353,Brăila
A.G. IMPEX SRL,2242396,Brăila
MACONST SRL,2242493,Brăila
COM-ETA SRL,2242825,Brăila
MANANA IMPEX SRL,2242965,Brăila
MIRELA COM SRL,2243022,Brăila
FARMACIA DOROBANTI SRL,2243090,Brăila
MARIGI COM SRL,2243162,Brăila
DONPET CONS SRL,2243383,Brăila
PRACTIC SERV SRL,2243588,Brăila
PRODEXPED SRL,2243642,Brăila
DACTILO SERV SRL,2243820,Brăila
TRADING V.V. SRL,2243928,Brăila
CHRONOS M SRL,2244052,Brăila
SUAV-EXIM SRL,2244699,Brăila
PROCONS SRL,2244770,Brăila
MONA SRL,2245503,Brăila
CEPROREX SA,2245856,Brăila
SECO IMPEX SRL,2246371,Brăila
BOMEX SRL,2246738,Brăila
GOMAN IMPEX SRL,2246878,Brăila
LUIZA COM SRL,2246886,Brăila
MONSICOM SRL,2247407,Brăila
NEVADA COM SRL,2247555,Brăila
STEROM IMEX SRL,2248003,Brăila
SC MOARA GHIONEA SRL,2248194,Brăila
KELES SRL,2248968,Brăila
AMP TORNEA SRL,2248984,Brăila
CARMIXT SRL,2249238,Brăila
SEPROCOM SRL,2249670,Brăila
DURETT IMPEX SRL,2250208,Brăila
DENTAL G SRL,2250216,Brăila
ELENY SRL,2250429,Brăila
CORNUL DE AUR SRL,2250810,Brăila
COMERCIAL ASTOR SRL,2250836,Brăila
OMNIA IMPEX SRL,2250976,Brăila
ROMNAV SA,2251084,Brăila
PRODUCT COM SRL,2251254,Brăila
AVIMAR SRL,2251602,Brăila
NAVIMPEX SRL,2251688,Brăila
COLONADE COM IMPEX SRL,2251815,Brăila
FARM DALIA SRL,2252551,Brăila
CONCIVIA SA,2252764,Brăila
CONDOR SRL,2253050,Brăila
DINAMOMETRU IMPEX SRL,2253190,Brăila
LEOZAN SRL,2253670,Brăila
SCARCOM SRL,2254242,Brăila
COMROS SRL,2254315,Brăila
BIRO-PREST SRL,2254323,Brăila
MARION IMPEX SRL,2254927,Brăila
PREM ART MULTIMEDIA SRL,2254994,Brăila
J MOD-TEXTIL-COM SRL,2255051,Brăila
ASTRA SA,2255337,Brăila
ELISABET COM SRL,2255817,Brăila
M.T.B.-METRONOM SRL,2255876,Brăila
IRIS SRL,2256006,Brăila
PAULPETCOM SRL,2256316,Brăila
LEONARDO PREST SRL,2256391,Brăila
ODAIANCA IMPEX SRL,2257389,Brăila
CUZMIN TRANSEXIM SRL,2257559,Brăila
BIODENT SRL,2257753,Brăila
NES NIK IMPEX SRL,2257940,Brăila
GORDENA IMPEX SRL,2258015,Brăila
ELAN COM SRL,2258066,Brăila
ARIZONA IMPEX SRL,2258104,Brăila
SITAS SA,2258210,Brăila
TEN COMPROD SRL,2258406,Brăila
APAN SRL,2258503,Brăila
FRIMEX SRL,2258589,Brăila
DIMONDO IMPORT-EXPORT SRL,2258600,Brăila
DORILEX COM SRL,2258660,Brăila
ELFI COM SRL,2258775,Brăila
VIANDI COM SRL,2258945,Brăila
CROSETA COM SRL,2259029,Brăila
ABRAHAM PROD SRL,2259088,Brăila
CONBAC-IMPEX SRL,2259312,Brăila
EDA IMPEX COM SRL,2259444,Brăila
COM ANANAS SRL,2259886,Brăila
ALIMENTARA PLANTELOR SRL,2259975,Brăila
TRANSCOM VICTORIA SRL,2260406,Brăila
HIT TRADING  SRL,2260660,Brăila
STAVIO COM SRL,2260694,Brăila
DIVA SRL,2260732,Brăila
LORACOM SRL,2260830,Brăila
ROMSTERN SERVICE SRL,2260899,Brăila
SERV TRANS IMPEX VEGA SRL,2261266,Brăila
ESRA COMPANY SRL,2261630,Brăila
UTIL SRL,2261711,Brăila
NOEL COMP SRL,2261886,Brăila
40 COM SRL,2261924,Brăila
R.A.C.O. RADU & SONS SRL,2262032,Brăila
AL CRIS IMEX SRL,2262121,Brăila
COFETARIA VENUS SRL,2262148,Brăila
TEHNO-LUX SRL,2262202,Brăila
MYRIAM IMPEX SRL,2262237,Brăila
COM LARIE TRANS SRL,2262318,Brăila
UNIVERS SRL,2262490,Brăila
COM MEDICA FARM SRL,2262709,Brăila
ASCLEPIOS FARM SRL,2262733,Brăila
TEXTILEX SRL,2262741,Brăila
BAMAR-IMPEX SRL,2263038,Brăila
SCORPION COM SRL,2263160,Brăila
TRANSANITA SRL,2263194,Brăila
BRATARA DE AUR SRL,2263224,Brăila
GIGA PROD SRL,2263305,Brăila
SOCIETATEA DE SERVICII INFORMATICE SRL,2263313,Brăila
ORIGINAL SERV SRL,2263348,Brăila
APIS VIZIREANU SRL,2263682,Brăila
COMEXIM BULEVARD SRL,2263798,Brăila
COSTAB - PREST SRL,2263879,Brăila
MISTRAL TRADING SRL,2263895,Brăila
FLORISTABAC SRL,2263909,Brăila
MANOLO IMPEX SRL,2264076,Brăila
MIRCOM SRL,2264505,Brăila
MAR COM SRL,2264521,Brăila
MIN TRANS SERVICE SRL,2264793,Brăila
ZOTA SNC,2264823,Brăila
DANI SRL,2264882,Brăila
MONOLIT SRL,2264920,Brăila
TRANSTAX SRL,2264963,Brăila
IMPARATUL TRAIAN SA,2264998,Brăila
IMPEX ADIROX SRL,2265039,Brăila
CATANA COM IMPEX SRL,2265098,Brăila
ELLA-PHARM SRL,2265128,Brăila
PAL SA,2265136,Brăila
FIRST IMPEX SRL,2265233,Brăila
CATY-TRANS-IMPEX SRL,2265250,Brăila
HERCULES SA,2265292,Brăila
STELA IMPEX SRL,2265381,Brăila
TRANS EXPRES SRL,2265500,Brăila
IMPEX ANICOM SRL,2265608,Brăila
COMOROFCA SRL,2265640,Brăila
PROMEX SA,2265683,Brăila
ROXANA IMPEX SRL,2265748,Brăila
ATLAS SA,2266018,Brăila
TEXTIL MOD COMPANY SRL,2266450,Brăila
RELDO SRL,2266603,Brăila
ELADA SRL,2266794,Brăila
VANILCOM SRL,2266875,Brăila
LAMINORUL SA,2266948,Brăila
CETO-COM SRL,2266956,Brăila
VIOLETA IMPORT EXPORT SRL,2267030,Brăila
MAX NICKOLAS COM TRANS SRL,2267056,Brăila
CONIF SA,2267080,Brăila
OANCEA SNC,2267161,Brăila
VILONA IMPEX SRL,2267200,Brăila
VOBIS MARKETING DESIGN SRL,2267218,Brăila
CORALLUS SRL,2267390,Brăila
IRALOD COM SRL,2267480,Brăila
ELIXIR FARM SRL,2267501,Brăila
FAREX SA,2267790,Brăila
MIORITA COM SRL,2267862,Brăila
STEMY COM SRL,2267870,Brăila
FALTIS SRL,2267897,Brăila
IRMEX SA,2267978,Brăila
LOTCA IMPEX SRL,2268094,Brăila
COM ARGO SRL,2268213,Brăila
CAMELIA SRL,2268280,Brăila
ALVIGAB COM SRL,2268302,Brăila
COMPPIL SRL,2268655,Brăila
ALTEVIS IMPEX SRL,2268680,Brăila
GRIUSORUL SRL,2268736,Brăila
FARMACIA FELICE SRL,2268795,Brăila
ISTRU SA,2268833,Brăila
TRANS DACO SRL,2268914,Brăila
TEHNONAV - SANTIER NAVAL DE CONSTRUCTII SI REPARATII NAVE SA,2268922,Brăila
CADIS SRL,2268981,Brăila
FANIMPEX SRL,2269030,Brăila
TRADING ERVIEN SRL,2269103,Brăila
PANAIT ISTRATI SA,2269243,Brăila
CEPROHART SA,2269251,Brăila
SCAD SA,2269367,Brăila
COMALIMENT MICROHALA SRL,2269499,Brăila
COMASO LUX SRL,2269707,Brăila
OTELEA SNC,2269774,Brăila
FILOTEX SRL,2270132,Brăila
SAVANA COM SRL,2270167,Brăila
CULTURAL-COM SRL,2270442,Brăila
COM CENTRAL SRL,2270655,Brăila
MIRDU TRADING SRL,2270760,Brăila
LEGUME - FRUCTE SA FAUREI,2270868,Brăila
PRECIZIA COM SRL,2271561,Brăila
CHIBRIT COM SRL,2271570,Brăila
ENERGOCONSTRUCTIA SA BUCURESTI SUCURSALA BRAILA,2271782,Brăila
ORIENT SRL,2271910,Brăila
COMLEMN SRL,2272249,Brăila
AGROMEC ROMANU SA,2272559,Brăila
DUALCOM SRL,2272788,Brăila
CARMEN IMPEX SRL,2273252,Brăila
MARIAN COM SRL,2273279,Brăila
VASCOM SRL,2274010,Brăila
A.E.C.C.D.-SERV SRL,2274746,Brăila
