ALPRECO SRL,133708,Buzău
ANTOLUPS IMPORT EXPORT SRL,352449,Buzău
MARTELLI EUROPE SRL,363588,Buzău
ALCONS MADELINE SRL,969801,Buzău
REPAS SRL,1097581,Buzău
A E K  LTD SRL FILIALA BUZAU,1143874,Buzău
TRANSMAR SA,1144136,Buzău
VOLSERVICE  SRL,1144160,Buzău
ROM A EL SRL,1144268,Buzău
ELA ELECTRONIC SRL,1144357,Buzău
MUSATINII SRL,1144365,Buzău
CARLUCIS SRL,1144381,Buzău
SIMPRES SRL,1144390,Buzău
ARSENE ADORA SNC,1144519,Buzău
APOSTU MIRAJ SOFT SRL,1144578,Buzău
IORDACHE CEZAR SNC,1144918,Buzău
GIOCONDA SRL,1144969,Buzău
ION VICTORIA SRL,1145158,Buzău
COMPANI SRL,1145387,Buzău
CONTACTOARE SA,1145395,Buzău
BORTOI SNC,1145425,Buzău
COMTIMEX SRL,1145433,Buzău
FARM EC SRL,1145581,Buzău
NITA BUCUR SNC,1145662,Buzău
LA TOPORAS SRL,1145719,Buzău
ELIDA SRL,1145751,Buzău
SANIMEX SRL,1145816,Buzău
HD IMPEX SRL,1145859,Buzău
JIPA EXCOM SRL,1145980,Buzău
REBAMA SRL,1146005,Buzău
LICIU CON SRL,1146013,Buzău
BOEMA RESTAURANT SRL,1146242,Buzău
EDUARD IMPEX SRL,1146250,Buzău
MARY PROD 95 SRL,1146285,Buzău
VOICU PATISERIA TRANDAFIRUL SNC,1146307,Buzău
NECULA SNC,1146455,Buzău
VERITAS SRL,1146463,Buzău
MUSTANG SRL,1146498,Buzău
EUROPA SRL,1146510,Buzău
CONEXIM SRL,1146536,Buzău
TIN CRIS PROD SRL,1146544,Buzău
ROMSERV SRL,1146668,Buzău
MORDAN COM SRL,1146684,Buzău
VIO COMP SRL,1146749,Buzău
GEORODIMEX SRL,1146935,Buzău
PENTEX PROD SRL,1146943,Buzău
STEFALEX 2004 SRL,1146994,Buzău
SUNET SI LUMINI  NEGOITA SNC,1147000,Buzău
DINAPLAST SRL,1147124,Buzău
GAGIU C SNC,1147159,Buzău
TANASESCU N L SNC,1147191,Buzău
MADVEM SRL,1147310,Buzău
GIAD PROD SRL,1147329,Buzău
PAPUC NICOLAE ŞI ELENA SRL,1147337,Buzău
ANICOM A T SRL,1147370,Buzău
CAMI IMPEX SRL,1147426,Buzău
DINAMIC SRL,1147442,Buzău
BITA ID BIS SNC,1147450,Buzău
NORVEX SRL,1147523,Buzău
MAT BAR SRL,1147787,Buzău
SOMET SRL,1147795,Buzău
NEDELCU N SNC,1147809,Buzău
BRĂTILĂ SRL,1147949,Buzău
A S C F  SRL,1147957,Buzău
LUSCAN COM SRL,1148138,Buzău
ALLEGRO DUNĂREANU SRL,1148316,Buzău
ELAG SRL,1148545,Buzău
NAPOLEON SNC,1148596,Buzău
SAVASTITA SCS,1148618,Buzău
IRIMIA PETRACHE SNC,1148707,Buzău
NICOL SPAYD SRL,1148766,Buzău
SIMION SIMI SRL,1148774,Buzău
MIHAIL O CONSULT SRL,1148910,Buzău
PLASTIC PROD SRL,1148928,Buzău
