AUTOSERVICE RAPID SRL,1042560,Caraș-Severin
AIZIS SRL,1042870,Caraș-Severin
CARASANA SRL,1043301,Caraș-Severin
SPICUL SRL,1043433,Caraș-Severin
NADINA SRL,1043719,Caraș-Severin
MINI BAR PALY SRL,1043816,Caraș-Severin
ASCOM BAUTAREANA SRL,1043913,Caraș-Severin
AGROMEC ZAGUJENI SA,1044285,Caraș-Severin
SOCOM BARSANA SRL,1044366,Caraș-Severin
ASCOM LA MOARA CU NOROC SRL,1045094,Caraș-Severin
ALINA CRISTINA SRL,1045493,Caraș-Severin
TIC TAC SRL,1046472,Caraș-Severin
GEORGIA SRL,1046480,Caraș-Severin
PRIVATNA RADNJA COD OMERA SRL,1047966,Caraș-Severin
KAMENITA SRL,1048724,Caraș-Severin
COSTEL SI NICOLETA SRL,1048953,Caraș-Severin
GRADISTE MAGAZIN MIXT SRL,1049223,Caraș-Severin
IVAN SRL,1049568,Caraș-Severin
UCINCOM SRL,1050376,Caraș-Severin
BIGAR SRL,1050759,Caraș-Severin
VERSAY SRL,1050813,Caraș-Severin
TERRA 92 SRL,1051240,Caraș-Severin
BIJAN SRL,1051290,Caraș-Severin
MOTEL-CAMPING SILVIA SRL,1052628,Caraș-Severin
GE-MON SRL,1052636,Caraș-Severin
MIORITA C.I.SRL,1052709,Caraș-Severin
SERVAGROMEC DOMASNEA SA,1052768,Caraș-Severin
CETATE SRL,1052806,Caraș-Severin
INOCENTI SRL,1052849,Caraș-Severin
PRODSERVTUR - ARMONIA SRL,1052946,Caraș-Severin
AGROMEC BOZOVICI SA,1053240,Caraș-Severin
MINIS SA,1053550,Caraș-Severin
PAM SA SRL,1054122,Caraș-Severin
BIDIVIU SRL,1054254,Caraș-Severin
MARY SRL,1054785,Caraș-Severin
FANIMEX SRL,1055659,Caraș-Severin
RA DENT SRL,1055667,Caraș-Severin
DENS IN DENTE SRL,1056204,Caraș-Severin
ADRIANA-CRISTINA SRL,1056255,Caraș-Severin
OLIMPIA COM SRL,1056263,Caraș-Severin
RETA SRL,1056310,Caraș-Severin
COL-METAL SRL,1056328,Caraș-Severin
COMALIND SRL,1056360,Caraș-Severin
CONFECTII RESITA SA,1056581,Caraș-Severin
OVIDIU SRL,1056646,Caraș-Severin
AUTO PROD SERVICE SRL,1056727,Caraș-Severin
COMALEX SRL,1056735,Caraș-Severin
COMALIMENT RESITA SA,1056760,Caraș-Severin
SELCO SRL,1057072,Caraș-Severin
CALATRANS SRL,1057080,Caraș-Severin
MIG SRL,1057218,Caraș-Severin
EVA SRL,1057404,Caraș-Severin
AGRICOM SRL,1057463,Caraș-Severin
VIRAJ SRL,1057498,Caraș-Severin
MARO SRL,1057625,Caraș-Severin
SANTIAGO TRADE SRL,1057668,Caraș-Severin
ELECTROECHIPAMENT SRL,1057757,Caraș-Severin
CONEA SRL,1057803,Caraș-Severin
ABC LIBRIS SA,1057986,Caraș-Severin
ABRAXAS SRL,1058086,Caraș-Severin
ROYAL SRL,1058108,Caraș-Severin
G.M.C PARADIS SRL,1058124,Caraș-Severin
IRIS COM SRL,1058159,Caraș-Severin
CRICOS SRL,1058167,Caraș-Severin
ALTES SRL,1058183,Caraș-Severin
CARMETCHIM SA,1058515,Caraș-Severin
CARAS SA,1058779,Caraș-Severin
PANTERA SRL,1058795,Caraș-Severin
UNICAT SRL,1058841,Caraș-Severin
M.P.M. SRL,1058892,Caraș-Severin
TURIST SEMENIC SA,1058906,Caraș-Severin
I.S.E.G.CONFORT SRL,1058930,Caraș-Severin
UNIVERSAL SRL,1059014,Caraș-Severin
3 X 3 SRL,1059030,Caraș-Severin
ALCONS SRL,1059146,Caraș-Severin
DAVE SRL,1059324,Caraș-Severin
AS COMPUTER RMS TIMISOARA SRL SUCURSALA RESITA,1059332,Caraș-Severin
ANDREAS SRL,1059367,Caraș-Severin
CASE SOCIETATE DE CONSTRUCTII ARHITECTURA SISTEMATIZARE EDILITARE SA,1059375,Caraș-Severin
HANIRA SRL,1059600,Caraș-Severin
BANCA COMERCIALA ROMANA SA BUCURESTI SUCURSALA JUDETEANA CARAS SEVERIN,1059650,Caraș-Severin
BANAT COM SA,1059766,Caraș-Severin
ALEXIM SRL,1059901,Caraș-Severin
SCORPION SRL,1059910,Caraș-Severin
ANTARES SRL,1060183,Caraș-Severin
TOTAL SRL,1060370,Caraș-Severin
MECOM SRL,1060485,Caraș-Severin
ROANA SRL,1060515,Caraș-Severin
COMAT CARAS SEVERIN SA,1060620,Caraș-Severin
SARAY SRL,1060833,Caraș-Severin
P.L. SERVCOM SRL,1060949,Caraș-Severin
