CLASICOR SA,66498,Cluj
SANTE COMMUNICATIONS SRL,70774,Cluj
ARMATURA SA,199001,Cluj
RUTTRANS SA,199010,Cluj
SANEX SA,199028,Cluj
TRANSILVANIA CONSTRUCTII SA,199044,Cluj
ASTAR SA,199052,Cluj
FELINVEST SA,199109,Cluj
FIMARO SA,199133,Cluj
TCI CONTRACTOR GENERAL SA,199141,Cluj
FARMEC SA,199150,Cluj
NAPOMAR SA,199176,Cluj
STICLA LUCSIL SA,199184,Cluj
ALIMENTARA SA,199192,Cluj
CLUJANA SA,199206,Cluj
DALTON SERVICII SRL,199214,Cluj
PRODVINALCO SA,199222,Cluj
CENTRAL SA,199230,Cluj
NAPOCOM SA,199249,Cluj
BIOSCUT ACCENSORII MEDICALE SRL,199281,Cluj
COSNAROVICI ROXANA VICTORIA SNC,199427,Cluj
UNIVERS IMPORT EXPORT SRL,199508,Cluj
CRIS IMPORT EXPORT SRL,199532,Cluj
ROLICOM IMPORT EXPORT SRL,199605,Cluj
TURISM ARIESUL SA,199648,Cluj
AGT AUTO SRL,199699,Cluj
ORIZONT SA,199729,Cluj
SORTILEMN SA,199745,Cluj
SOMESANA SNACK BAR SRL,199753,Cluj
CANDIA RESTAURANT SRL,199761,Cluj
TEHNOMEDICA SRL,199770,Cluj
SOMES SA,199800,Cluj
SERV PROD MIN SRL,199907,Cluj
TEXTILA ROMAT SA,199923,Cluj
NAPOCHIM SA,199931,Cluj
UNIREA SA,199940,Cluj
ACSA SA,199958,Cluj
R R MONTAJ SRL,200076,Cluj
GEORGIANA IMPEX SRL,200084,Cluj
MARIUTA PRODUSE ALIMENTARE SRL,200181,Cluj
ROYAL RESTAURANT SRL,200203,Cluj
ORIENTAL BAR SRL,200220,Cluj
CONSTRUCTII SRL,200289,Cluj
MISONIX APARATURA MEDICALA SI INDUSTRIALA SRL,200300,Cluj
TINIVAR EDITURA SRL,200360,Cluj
ARFAM ACTIVITATE SI RECREERE PENTRU FAMILIE SRL,200378,Cluj
FAIRLY PRODUCTIE ALIMENTARA SRL,200394,Cluj
ACI CLUJ SA,200513,Cluj
COPANDEAN SRL,200580,Cluj
TRANSCRISAN LOGISTIC SRL,200653,Cluj
TRANSPORTURI GRELE SI AGABARITICE SA,200700,Cluj
HOREA TURDA SRL,200726,Cluj
TRIMPEX GLORIA SRL,200777,Cluj
SIFONEX ROM SRL,200807,Cluj
AUTO B SRL,200882,Cluj
GRANDEMAR SA,200947,Cluj
DARIAN DRS SA,201020,Cluj
MIORITA SRL,201098,Cluj
PORCELAIN MANUFACTURES SRL,201128,Cluj
PLANTEXTRAKT SRL,201136,Cluj
COMPANIA DE APA SOMES SA,201217,Cluj
DOMENIUL PUBLIC TURDA SA,201250,Cluj
TRANSURB SA,201357,Cluj
REMARUL 16 FEBRUARIE SA,201373,Cluj
ALCOM SA,201403,Cluj
ALFA INSTRUIRE A CONDUCATORILOR AUTO AMATORI SA,201411,Cluj
ARGOS SA,201454,Cluj
AVICOLA SA,201470,Cluj
COMPANIA DE INFORMATICA APLICATA SA,201527,Cluj
CARBOCHIM SA,201535,Cluj
FIN CONSTRUCT SA,201578,Cluj
ELECTROCERAMICA SA,201586,Cluj
ELM ELECTROMONTAJ CLUJ SA,201594,Cluj
ELECTROSIGMA SRL,201608,Cluj
FLACARA SA,201659,Cluj
ICPIAF SA,201691,Cluj
SCIFCAR SA,201705,Cluj
CARPIMEZ SA,201713,Cluj
NANA EDITURA SRL,201721,Cluj
REMAT CLUJ SA,201730,Cluj
AGROMEC CLUJ SA,201764,Cluj
NUTREX SA,201772,Cluj
CAVAL SA,201829,Cluj
M I P S SRL,201861,Cluj
MUCART SA,201870,Cluj
NAPOCA SA,201888,Cluj
NORD CONFOREST SA,201900,Cluj
URBANA SA,201918,Cluj
PRELUCRARE GEAMURI SI OGLINZI SA,201926,Cluj
NAPOSEM SRL,201934,Cluj
PEROM SA,201942,Cluj
PISCICOLA CLUJ SA,201950,Cluj
INSTITUT PROIECT SA,202026,Cluj
S A D A SRL,202093,Cluj
SINTEROM SA,202123,Cluj
SOMEG GHERLA SA,202131,Cluj
TRICOTAJE SOMESUL SA,202140,Cluj
TERMOROM SA,202220,Cluj
TRANSCOM SA,202247,Cluj
SERVAGROMEC CLUJ SA,202271,Cluj
TURDEANA SA,202280,Cluj
TRANSIM SA,202344,Cluj
MECANICA MARIUS SA,202352,Cluj
GLORIA CASA DE EDITURA SI TIPOGRAFIE SRL,202379,Cluj
GHILA SRL,202468,Cluj
PICU BAR SRL,202549,Cluj
BIOSERVICE SRL,202689,Cluj
CONSUL MODE IMPEX SRL,202786,Cluj
VIOREL & DAN AUTO IMPORT EXPORT SERVICE SRL,202794,Cluj
START CIF SRL,202816,Cluj
POP ELENA FIRUTA ET CO CONSTRUCTII SI SERVICII SNC,202824,Cluj
DENIS IMPORT EXPORT BOUTIQUE SRL,202875,Cluj
GOTTNER COM SERVICE SRL,202930,Cluj
FORTPRES CUG SA,202956,Cluj
TCM SA,202980,Cluj
UNIMET CUG SA,203005,Cluj
SPUT SA,203021,Cluj
SARES SA,203030,Cluj
SOMES BALASTIERE SA,203048,Cluj
FABRICA DE MOBILA SALAJANA SRL,203099,Cluj
SOPTEREAN PRODUSE ALIMENTARE SRL,203110,Cluj
METAC SRL,203161,Cluj
GALIA SRL,203269,Cluj
MARTA COFETARIE SRL,203293,Cluj
DORIANA COMPLEX COMERCIAL SRL,203307,Cluj
MICROINFORMATICA SRL,203358,Cluj
A-Z ELECTRONICS P DATA SRL,203501,Cluj
GARBO METALOTEHNICA SRL,203536,Cluj
HUMANITAS FARMACIA SRL,203927,Cluj
AGROPAN PRODCOM SRL,203960,Cluj
TERRA FAN SRL,204000,Cluj
ELECTRODOZAREA SRL,204086,Cluj
D V DIVERTIS SRL,204159,Cluj
APIS IMPORT EXPORT SRL,204191,Cluj
ADMINISTRAREA PIETELOR SI OBOARELOR SA,204213,Cluj
CITY CONSTRUCTII INSTALATII SRL,204256,Cluj
NIC&DIC COFETARIE SRL,204272,Cluj
ALBU ET COMP SNC,204299,Cluj
MOLDOVAN SNC,204329,Cluj
SET MOBILIS SRL,204396,Cluj
I P PURA IMPORT EXPORT SRL,204400,Cluj
NIC STAR COMPANY SRL,204426,Cluj
AMPLAST MATERIALE PLASTICE SRL,204450,Cluj
CASA DE EDITURA NAPOCA SRL,204469,Cluj
MEDY COMPLEX AGROALIMENTAR SRL,204620,Cluj
