"PRODUCTIE ""BENKO"" SRL",537013,Covasna
"TRANSPORT PRODUCTIE SI COMERT ""LILIOM"" SRL",537064,Covasna
PANCOMEX-BVV PRODUCTIE SI COMERT SRL,537315,Covasna
"PANIFICATIE ""CUPTORUL DE AUR - ARANY KEMENCE"" SRL",537404,Covasna
FARMACIA FLOAREA DE COLT SRL,537510,Covasna
CALIBRA FOREST SRL,537854,Covasna
DEAK HAMOR SRL,537870,Covasna
TINICHIGIUL DIN BRADUT SRL,537889,Covasna
"TRANSPORT ""KOLUMBAN"" SRL",537900,Covasna
DELNEY EXPORT IMPORT SRL,537935,Covasna
"COMERT ""CHICCO"" SRL",538280,Covasna
TORO IMPEX SRL,538310,Covasna
PROD-COM-B-IKA LA FUZI SRL,538655,Covasna
ALTERMED TERAPY SRL,539065,Covasna
"IMPORT-EXPORT ""ENIXE"" SRL",539863,Covasna
"PRODUCTIE PRESTARI COMERT ""TIP-TOP"" SRL",539871,Covasna
ALIMENT-COM IM-PEX GASPAR SRL,539898,Covasna
DOMBI SRL,539995,Covasna
"COMERT PRODUCTIE SERVICII ""HELIKON"" SRL",540000,Covasna
CERAMICA VINCZI SRL,540027,Covasna
COM-PROD-TRANS ZIMBRU N.A. SRL,541030,Covasna
INSTALATII BOMF SRL,541065,Covasna
SPIRT SI AMIDON OZUN SA,541111,Covasna
AUTO MOTO ZS K SRL,541120,Covasna
COMPLEX AGROSEM SA SUCURSALA COVASNA,541421,Covasna
"PRESTARI SERVICII ""HERTA"" SRL",541448,Covasna
VIPERA SRL,541715,Covasna
"ALIMENTATIE PUBLICA ""CSUTAKOS"" SRL",541901,Covasna
MORARIT SI PANIFICATIE LUKACS COMPANY SRL,542036,Covasna
AVICENNA IMPORT EXPORT SRL,542141,Covasna
"PRODUCTIE COMERT ""KALIT"" SRL",542168,Covasna
PRODUCTIE DARAGUS SRL,542249,Covasna
PRODUCTIE BORBANDY SRL,542257,Covasna
PRODCOM ROMMIXT SRL,542630,Covasna
"IMPORT EXPORT ""ROBY-COM"" SRL",542737,Covasna
DE PRODUCTIE SERVICII SI COMERT MOISE SRL,542834,Covasna
