PROD COM WMN SRL,26531,Călărași
COMERCIAL NEGROIU SRL,326504,Călărași
CONALLCON BUSINESS SRL,356270,Călărași
CATEX SA,1910608,Călărași
OPTIM SA,1910675,Călărași
5 CALARASI SRL,1911034,Călărași
AVICOLA CALARASI SA,1911093,Călărași
BADEN SRL,1911271,Călărași
PIND TRADING AND TOURISM SRL,1911344,Călărași
AUTOTRANS SA,1911387,Călărași
ENE SRL,1911573,Călărași
SUPER COM STOIAN SNC,1911638,Călărași
EGRETA IMPEX COM SRL,1911883,Călărași
TICONDA SRL,1911948,Călărași
COSTA COLA SRL,1912080,Călărași
ZEFIR - EXPRESS SRL,1912099,Călărași
SATURN SRL,1912161,Călărași
STANDARD SRL,1912170,Călărași
MARCEL IMPEX SRL,1912404,Călărași
STAR JACOM SRL,1912536,Călărași
DRAVIS IMPEX SRL,1912579,Călărași
SAVA SRL,1912650,Călărași
MAGAZIN MIXT CONSTANTIN SNC,1912676,Călărași
A.R.O.S.I.G. SRL,1912692,Călărași
IMOLTA SA,1912730,Călărași
AURELIAN SRL,1912765,Călărași
ELECTRO PIESE SCHIMB RV SRL,1912811,Călărași
ELECTRO CHIMICE IMPORT EXPORT SA,1912820,Călărași
SIM-PRES SRL,1912838,Călărași
MAGICOM SRL,1912870,Călărași
CONS EXPRES SRL,1912900,Călărași
MANU STAR SRL,1912919,Călărași
COSLO-ZINCA SRL,1912935,Călărași
AGROTRANSPORT CALARASI SA,1913051,Călărași
FELICIA SRL,1913469,Călărași
MICAR COM SRL,1913477,Călărași
LA BOLTA RECE SRL,1913590,Călărași
CHICIU SRL,1913779,Călărași
LACTO BAR AGNEZA SRL,1913787,Călărași
MOBIL SRL,1913850,Călărași
TROPICANA SRL,1914006,Călărași
SARMIS SRL,1914170,Călărași
NARCISA SRL,1914189,Călărași
MARINELA SRL,1914197,Călărași
CONT COM SRL,1914448,Călărași
CONEX SRL,1914510,Călărași
COLT SA,1914596,Călărași
ASTERIX SRL,1914600,Călărași
LUXOR SRL,1914707,Călărași
CLEMY SRL,1914723,Călărași
NORY SRL,1914766,Călărași
AGRALCOM SRL,1915052,Călărași
COMTOT SRL,1915354,Călărași
NOVAFARM SRL,1915559,Călărași
TANIANA SRL,1915656,Călărași
ADOLESCENTUL SRL,1915885,Călărași
GHECHICON SRL,1916007,Călărași
SIDERCA SA,1916090,Călărași
CRISTI COM SRL,1916112,Călărași
SIMION SI FIUL SRL,1916139,Călărași
BORCEA VENETIA SRL,1916201,Călărași
SEINU SRL,1916317,Călărași
CRISTI SRL,1916350,Călărași
ZAFA SRL,1916457,Călărași
TELESTAR SRL,1916511,Călărași
TRIVALE SRL,1916554,Călărași
AGROMEC BUDESTI SA,1916651,Călărași
ANDRA SRL,1916694,Călărași
NERA'91 SRL,1916732,Călărași
CALIF SA,1916767,Călărași
ANGIMEX PROCOM BUCURESTI SRL SUCURSALA DILGA,1916929,Călărași
LINA SRL,1917207,Călărași
PAN ALEX SRL,1917240,Călărași
FREZIA SRL,1917568,Călărași
GEDACON SRL,1917622,Călărași
ROMANOR SRL,1917665,Călărași
AMY SRL,1917703,Călărași
POPASUL DIN PLOPI SRL,1918016,Călărași
TRANS ROM DAVID SRL,1918369,Călărași
AGER TRANS SRL,1918377,Călărași
INCOM IMPEX SRL,1918598,Călărași
MERIDIAN SRL,1918679,Călărași
TURN SRL,1918873,Călărași
PRIMAVARA SA,1918903,Călărași
LEONARDO COMPRODIMPEX SRL,1918920,Călărași
ALBINA SRL,1918946,Călărași
AGROSUD DUNĂREA SRL,1918954,Călărași
COCONUT MAGAZIN MIXT SRL,1919127,Călărași
