NAZAR-TRANS SRL,1109112,Galați
MICROMEGA SRL,1328333,Galați
PIROBORIDAVA SRL,1438522,Galați
SEKHMET SRL,1624983,Galați
VIO-VASI SRL,1625024,Galați
DORIN-V SNC,1625105,Galați
ONASIS SNC,1625172,Galați
ORION SERVICE SRL,1625199,Galați
REMBRAND SRL,1625288,Galați
BAETU CELOMI SRL,1625334,Galați
PASSION-A SRL,1625407,Galați
ULYSSES SRL,1625466,Galați
FABRICA DE ACCESORII METALICE FAM SA,1625555,Galați
VILCEANA  SRL,1625598,Galați
MARIN SRL,1625652,Galați
A.G.S. SRL,1625695,Galați
UNIVERS SRL,1625814,Galați
LACRIS SRL,1625911,Galați
NISS-B SRL,1625920,Galați
NINETA SRL,1625970,Galați
ELENA SRL,1625989,Galați
IZOPLAST SRL,1626054,Galați
SEMA SRL,1626070,Galați
COSTI SRL,1626143,Galați
BOSTON SRL,1626208,Galați
DOMNICA SRL,1626232,Galați
DANY M.G. SRL,1626283,Galați
SERAFIN SRL,1626291,Galați
GALENUS SRL,1626321,Galați
ELECTROLUX SRL,1626380,Galați
ZATUN SA,1626399,Galați
ELIZA SRL,1626402,Galați
CODRESCU SRL,1626461,Galați
ALGAR SRL,1626488,Galați
ANDRADA SRL,1626542,Galați
ISTINA & C SRL,1626550,Galați
PNEU - SERVICE SA,1626623,Galați
COMALIMENT SRL,1626631,Galați
VALCOR SRL,1626690,Galați
COLIBRI SRL,1626810,Galați
ELION SRL,1626844,Galați
DIAMAR IMPEX SRL,1626879,Galați
SANDIN SRL,1627190,Galați
EDEN SRL,1627297,Galați
PARACELSUS SRL,1627343,Galați
CIMAS SRL,1627408,Galați
DORU & MIRCEA SRL,1627424,Galați
CAMI-DOR SRL,1627467,Galați
LIBERTATEA SRL,1627548,Galați
STEL SRL,1627580,Galați
LUCEAFARUL T & T SRL,1627696,Galați
VERITAS N.P. SRL,1627769,Galați
AGROGAL SA,1627815,Galați
DANUBIUS KART SRL,1627831,Galați
EXPERTIZE-PROIECTARE-CONSULTING-M! IIII ' SRL,1627840,Galați
DEDAL BAHAMAT SRL,1627858,Galați
COMRED SRL,1627912,Galați
DRAGONUL SRL,1627963,Galați
COSTIN SRL,1628080,Galați
VALMAR SRL,1628101,Galați
CRISTEA SNC,1628136,Galați
DEFI DESIGN SRL,1628152,Galați
BRUDERSAFT SRL,1628160,Galați
ELENA & CO SRL,1628187,Galați
RENO SRL,1628217,Galați
GALGROS SA,1628241,Galați
VITAN M SRL,1628306,Galați
APOLODOR SRL,1628390,Galați
DAMARO SRL,1628489,Galați
SASCO SRL,1628543,Galați
ADMET SA,1628551,Galați
AGORA SRL,1628560,Galați
NAVEXIM SA,1628640,Galați
ALINDOR SRL,1628667,Galați
DIAMANT MAXELL SRL,1628705,Galați
ELEGANT SRL,1628713,Galați
MODERN-LUX SRL,1628721,Galați
DOINA SRL,1628730,Galați
STOMINTERN SRL,1628748,Galați
DELTA MIXT SRL,1628764,Galați
DUNAREA T. SRL,1628772,Galați
MOLDCOM SERV SRL,1628802,Galați
CINDREL SRL,1628845,Galați
CLUB 91 SRL,1628926,Galați
CENTRUM SRL,1628934,Galați
K & F SRL,1628942,Galați
C.C.I. VERITAS SRL,1629018,Galați
DOCURI SA,1629077,Galați
ADRIA SRL,1629280,Galați
CONSTRUCTOR SRL,1629328,Galați
OVERALL TRADING SRL,1629417,Galați
ICAREL SRL,1629514,Galați
CANNABIS SRL,1629646,Galați
VEGAS 3 SRL,1629751,Galați
DENTAL SRL,1629778,Galați
APCO SRL,1629808,Galați
SANGIOLI SRL,1629832,Galați
ADA KALEH SRL,1629840,Galați
GEMAL INTERNATIONAL IMPORT - EXPORT COMPANY SRL,1629859,Galați
NEGRU-TIVOX SNC,1629875,Galați
NEROL SRL,1629883,Galați
INNOVO PROD SRL,1629905,Galați
FLORAD SRL,1629999,Galați
SCATEC SRL,1630012,Galați
TILI-TRANS SRL,1630063,Galați
HELIOS SRL,1630128,Galați
PRESIDENT SRL,1630403,Galați
REMAT SA,1630420,Galați
ICAS SRL,1630470,Galați
DANA SRL,1630519,Galați
DELIA SRL,1630551,Galați
TENIS CLUB SRL,1630594,Galați
SOLINVEST SRL,1630667,Galați
UNIVERSITAR ALIMENT IMPORT EXPORT SRL,1630721,Galați
HIPOCRAT SRL,1630780,Galați
PARTENER SRL,1630837,Galați
GUSY SRL,1630845,Galați
GALATEX SA,1630918,Galați
REMEDIUM SRL,1631042,Galați
SELVIS MV SRL,1631050,Galați
DANUBIUS PIM SRL,1631123,Galați
ZORILEX SRL,1631166,Galați
EURO T.D.C. SRL,1631174,Galați
LEMMAR SRL,1631255,Galați
S.I.R.E.G. SA,1631263,Galați
ANEMONA SRL,1631336,Galați
TERMAEXIM SA,1631352,Galați
GHEICOM-S SRL,1631476,Galați
TOPAZ SRL,1631514,Galați
VENUS SI RAY SRL,1631590,Galați
TRANDAFIRUL SRL,1631654,Galați
PUTNA SRL,1631700,Galați
STENMAR SRL,1631719,Galați
RO-LI SRL,1631778,Galați
CONFORT SA,1631816,Galați
Tc.Inf SA,1632005,Galați
TOTAL SERVICE SRL,1632030,Galați
DORDEA TOUR SRL,1632080,Galați
CRISTOFOR COLUMB SRL,1632102,Galați
P.M. SRL,1632145,Galați
SCIT SRL,1632161,Galați
S.F.TEX SA,1632170,Galați
UZINSIDER ENGINEERING SA,1632285,Galați
PLASE PESCARESTI SA,1632293,Galați
HANUL ANCUTEI SRL,1632463,Galați
ALCOM SA,1632501,Galați
NEPTUN 2 SRL,1632617,Galați
COMET SRL,1632692,Galați
ELIXIR SRL,1632757,Galați
CONSTRUCTII AVRAM IANCU SRL,1632790,Galați
PRUTUL SA,1632862,Galați
A & M SRL,1632927,Galați
TRANSTEC SA,1632935,Galați
GALY SRL,1632986,Galați
MYOSOTIS SRL,1633019,Galați
AGRICULTORUL SRL,1633027,Galați
MIIA-TOUR SRL,1633051,Galați
TRICOM SRL,1633094,Galați
ROTRAN SRL,1633116,Galați
DAMITA SRL,1633124,Galați
RODIANA SRL,1633159,Galați
ABC SRL,1633191,Galați
HUMANITAS M.A. SRL,1633205,Galați
AGROMEC COROD SA,1633280,Galați
MECOMPROD SRL,1633299,Galați
PRUCAM 3 SRL,1633329,Galați
DIPLOMAT-INTERNATIONAL IMPORT EXPORT COMPANY SRL,1633361,Galați
BOBY MARA SRL,1633426,Galați
SELENA NONSTOP SRL,1633493,Galați
GALMOPAN SA,1633507,Galați
HEPITES SA,1633566,Galați
ICMRS SA,1633620,Galați
GALCUJ SRL,1633647,Galați
GALFINBAND SA,1633663,Galați
GEALIN SRL,1633809,Galați
FOR YOU SRL,1633825,Galați
COMAT GALATI SA,1633876,Galați
BEATRICES -S.I. SRL,1634146,Galați
B.R.CLASIC SRL,1634197,Galați
MISS LAURA SRL,1634308,Galați
NIDEC SRL,1634316,Galați
VIDEO-STAR F.C. SRL,1634367,Galați
VIDEOTON SNC,1634405,Galați
RUSTIC SNC,1634448,Galați
CORAL SNC,1634456,Galați
ZOOMEC SRL,1634537,Galați
MARFADIV SRL,1634553,Galați
CITADINA 98 SA,1634561,Galați
MANEX SRL,1634707,Galați
SANITAS SRL,1634740,Galați
P.C. IND.R.D.V. SRL,1634804,Galați
ADDA SRL,1634820,Galați
ROLLAND SRL,1634855,Galați
CONEX SRL,1635028,Galați
ELITE SRL,1635125,Galați
C.P.ORIZONT SRL,1635133,Galați
ZENIT SRL,1635141,Galați
PATISERIA BUBU SRL,1635206,Galați
DUNAREA SA,1635346,Galați
STEAUA DUNARII SRL,1635354,Galați
AGROMEC BERESTI SA,1635478,Galați
BACANIA CRISTIANO SRL,1635524,Galați
GALBUZ VIENA SRL,1635834,Galați
GAVIMAR SRL,1635877,Galați
DONATELLA SRL,1635931,Galați
VERHOLEAC R.C. SRL,1635966,Galați
FINAGRI SRL,1636112,Galați
PASTEL COM-IMPEX SRL,1636139,Galați
VITIMAS SA,1636171,Galați
EUROPOLIS SHIPPING AND TRADING (E.S.T.) SRL,1636210,Galați
COMIS SRL,1636236,Galați
AGROTRANSPORT SA,1636295,Galați
PERLA SNC,1636414,Galați
NEVA SRL,1636422,Galați
IVAN SURVEY & CO SRL,1636430,Galați
NICORA - STAR SRL,1636490,Galați
ECO-TERRA SRL,1636686,Galați
SIPTA SRL,1636813,Galați
T.O. PIETRICICA SRL,1636821,Galați
HULEA & CO SNC,1636929,Galați
ELISDENT SRL,1636961,Galați
VALTEC SRL,1637029,Galați
FAIT POPA SRL,1637070,Galați
BUDIRIS SRL,1637126,Galați
DANA L.M. SRL,1637169,Galați
TEHNOUTIL SRL,1637266,Galați
AUTODUNAREA SRL,1637274,Galați
ELECTRO-SERVICE T.C. SRL,1637320,Galați
GOSPODARUL UNIVERSAL SRL,1637398,Galați
PRODENT SNC,1637444,Galați
SPLENDID SRL,1637479,Galați
OCEANIA SRL,1637568,Galați
PENTAGON SRL,1637770,Galați
ZEFIRUL SRL,1637800,Galați
UNIVERS TAN SRL,1637916,Galați
GISANDO SRL,1637967,Galați
DOLY 5 SRL,1637975,Galați
ECOARCH SRL,1637991,Galați
STECO SRL,1638040,Galați
LUCIANO SRL,1638059,Galați
CORNELIUS SRL,1638067,Galați
NOVIO EXPRESS SRL,1638091,Galați
LOCONFORT SA,1638113,Galați
VEROMAR SRL,1638202,Galați
RAHAF SRL,1638261,Galați
AL AHMAD SRL,1638270,Galați
HRISTAN SRL,1638296,Galați
FLOREX M SRL,1638369,Galați
ROMTECO SRL,1638415,Galați
MAZEPA SRL,1638431,Galați
JANNETE SRL,1638512,Galați
UNICOM OIL TERMINAL SRL,1638660,Galați
APROMINA SRL,1638709,Galați
MOLDOVAN & FIII SNC,1638792,Galați
FEMY SRL,1638989,Galați
SPERANTA IMPEX SRL,1639054,Galați
CHIMANO IMPEX SRL,1639062,Galați
PRINTESA MARGARETA SRL,1639089,Galați
COMPANIA DE NAVIGATIE FLUVIALA ROMANA NAVROM SA,1639097,Galați
INTIM-90 SRL,1639119,Galați
ENI A SRL,1639240,Galați
GORO SRL,1639321,Galați
ASCLEPIOS SRL,1639372,Galați
SILVANO SRL,1639410,Galați
CALIPSO SRL,1639437,Galați
TINA-M SRL,1639445,Galați
MAXIMILIANO SNC,1639461,Galați
RODAC-CONSULTING & TRADING SRL,1639496,Galați
MOBILUX SRL,1639666,Galați
D.NICU SRL,1639674,Galați
SERVICE FRIG-COMEX SRL,1639747,Galați
INTERECHO SRL,1639763,Galați
INTER SRL,1639771,Galați
GALTOUR SRL,1639780,Galați
GALTOUR INVEST SRL,1639798,Galați
OCAUA LUI CUZA SRL,1639836,Galați
WEST-PORT SRL,1639844,Galați
BAZAR SRL,1639976,Galați
VOIAJORUL SRL,1640148,Galați
CUZA SRL,1640156,Galați
VOGUE T SRL,1640229,Galați
ALFA-OMEGA SRL,1640270,Galați
KISS SRL,1640350,Galați
COMINEX TC. SRL,1640466,Galați
G.P. SRL,1640504,Galați
OTRAR SRL,1640547,Galați
ELCO SRL,1640644,Galați
MEDIMPEX SRL,1640717,Galați
QUALITY SNC,1640806,Galați
RAL-ROX SRL,1640962,Galați
UNIVERSAL-AURORA SRL,1640989,Galați
ROXANA IMPEX SRL,1641062,Galați
UNIVERSAL M.R. SRL,1641089,Galați
ALIMENT FAMI SRL,1641151,Galați
SILF RO-MAD SNC,1641160,Galați
PIRINEY SRL,1641186,Galați
ELYAS SRL,1641194,Galați
DEEA SRL,1641208,Galați
LORIN SRL,1641402,Galați
RAIRA SRL,1641410,Galați
FLORINA SNC,1641429,Galați
VASILACHE SNC,1641488,Galați
RELUX SRL,1641534,Galați
PROMPT C.H.P. SRL,1641542,Galați
DID SRL,1641550,Galați
ROMUNIVERS SRL,1641607,Galați
CONVEX SRL,1641658,Galați
NICOST SRL,1641682,Galați
ENIGMA SRL,1641712,Galați
AUTOLUX-Tc SRL,1641780,Galați
MODLEMN SRL,1641798,Galați
VIPEM SRL,1641801,Galați
CRISTINA SERV COM SRL,1641879,Galați
FINANCIAL CONSULTING & INVESTMENTS SRL,1641909,Galați
ARFIRE SRL,1641925,Galați
CONSTRUCTII FEROVIARE GALATI SA,1641933,Galați
PATILEA SNC,1641941,Galați
FOTACHE SRL,1641950,Galați
OVINEX SA,1642009,Galați
AGROMEC SUCEVENI SA,1642017,Galați
