TAKA IMPEX SRL,326644,Giurgiu
HIPEREXIM SRL,346803,Giurgiu
COMPANIA IMPERATOR COMIMPEX SRL,350308,Giurgiu
CRISVAL COM IMPEX SRL,355160,Giurgiu
VEGA PROD LOGISTICS SRL,362027,Giurgiu
DAFAREL PRODIMPEX SRL,381649,Giurgiu
ME & A SPECTRAL IMPEX SRL,411979,Giurgiu
TRICOTEX AG IMPEX SRL,432734,Giurgiu
DETMAR COMIMPEX SRL,467090,Giurgiu
SANDRU SRL,1282481,Giurgiu
MIORITA SRL,1282538,Giurgiu
NIRO  SRL,1282546,Giurgiu
DOR MARUNT  SRL,1282570,Giurgiu
DUNARIS SRL,1282694,Giurgiu
OPTOVIPA  SRL,1282740,Giurgiu
METASERV SRL,1282791,Giurgiu
COMEC SRL,1282848,Giurgiu
NIRA  SRL,1282880,Giurgiu
ELECTRONIC 5 STAR SRL,1282937,Giurgiu
PROD COM BOLINTIN SRL,1282961,Giurgiu
MOBIL CONSTRUCT SRL,1282970,Giurgiu
FARCOTEM  SRL,1282996,Giurgiu
LERY SRL,1283010,Giurgiu
ALPAN SRL,1283045,Giurgiu
ROXANA OC SRL,1283096,Giurgiu
ALEXANDRA SRL,1283100,Giurgiu
UNIVERSUL   SRL,1283118,Giurgiu
MOARA SRL,1283126,Giurgiu
PRODAS SRL,1283169,Giurgiu
PADO SRL,1283185,Giurgiu
MONDO VIZION SRL,1283215,Giurgiu
SILVANA SRL,1283266,Giurgiu
SODRA SRL,1283290,Giurgiu
ARDEN SRL,1283304,Giurgiu
FERO NIK  SRL,1283401,Giurgiu
THE ORIENT COMPANY SRL,1283592,Giurgiu
INTREPRINDEREA DE REPARATII SI CONSTRUCTII VLASCA SRL,1283800,Giurgiu
TOMPARC  SRL,1283819,Giurgiu
MARVAL SRL,1283932,Giurgiu
TIBO SRL,1284016,Giurgiu
FRANZDO  SRL,1284067,Giurgiu
PLAZBI  SRL,1284075,Giurgiu
ARMONIA RUTIERĂ SRL,1284083,Giurgiu
ELVA SRL,1284113,Giurgiu
SELECTRON  SRL,1284121,Giurgiu
