ELG MOTORS SRL,234702,Harghita
ROMAQUA GROUP SA,402911,Harghita
KIRALY LEMN SRL,488360,Harghita
FARMACIA DAVID SRL,488379,Harghita
AGROTUR SRL,488409,Harghita
BRADCOM SRL,489153,Harghita
MINERAL SRL,489161,Harghita
PRODAGROLEMN BORVIZ SRL,489226,Harghita
AGROMIX-BRADUL SRL,489552,Harghita
MELACOPIX-VILI SRL,489560,Harghita
PEGAZUS SRL,489579,Harghita
CEKENDCOM SRL,489595,Harghita
ILREST SATU MARE SRL,489609,Harghita
FAGMIC SRL,489625,Harghita
MATIMPEX SRL,489633,Harghita
PETOC SRL,489650,Harghita
AUR VERDE SRL,489935,Harghita
KEREK TO K.L. SRL,490719,Harghita
POLI-MED-ANNA SRL,490735,Harghita
APICOM SRL,490743,Harghita
PROGRES K SRL,490760,Harghita
STEFFI-COM SRL,490840,Harghita
LEMACOM SRL,490891,Harghita
PRODCOM ESZTER SRL,490948,Harghita
MURES-PROD SRL,490956,Harghita
HAR-BRAD SRL,490964,Harghita
KARDEM SRL,491587,Harghita
PRELIN-CIRTA SRL,491650,Harghita
TOPACO SRL,492019,Harghita
PRODMET SRL,492078,Harghita
WESTRA SA,492086,Harghita
FARMACIA SARKADI SRL,492094,Harghita
VEDA-COM SRL,492124,Harghita
HARDANCOM SRL,492132,Harghita
DANCOM SRL,492183,Harghita
COM-AKAC SRL,492205,Harghita
IN-COM-EURO SRL,492221,Harghita
CONSTR-GAL SRL,492272,Harghita
BODO-LEMN SRL,492515,Harghita
FOREST-ARPAD SRL,492540,Harghita
CERBUL SRL,492574,Harghita
BUFET-BETERO SRL,493405,Harghita
AGROMEC DITRAU SA,493421,Harghita
FARMACIA PRIMULA SRL,493430,Harghita
MIXT AGRO SRL,493502,Harghita
DICOMEX SRL,493510,Harghita
MINI MIXT SRL,493561,Harghita
PELMA SRL,493600,Harghita
PROD-LEMN MUJNA SRL,493804,Harghita
PROD-COM-IMPEX SRL,494168,Harghita
PRODAGR INTERNATIONAL SRL,494184,Harghita
ALCOM ODORHEIU SECUIESC SRL,494222,Harghita
MINI-GATER SRL,494664,Harghita
TRANS-IMPEX-COMA SRL,494680,Harghita
S.I.C. SRL,494710,Harghita
HARLIN SRL,495490,Harghita
SILMAG SRL,495503,Harghita
MAROLUX SRL,495520,Harghita
PATISPAL SRL,495538,Harghita
ZOLA SRL,495554,Harghita
LEVICOM SRL,495562,Harghita
MICRO-PRODCOM SRL,495597,Harghita
CONT-CONSULT SRL,495600,Harghita
ALTIMEX SRL,495627,Harghita
CALITAS SRL,495716,Harghita
MULTICOM SRL,495724,Harghita
MARKOMTRANS SRL,496258,Harghita
FARMACIA IRIS SRL,496274,Harghita
AGROMEC LAZAREA SA,496312,Harghita
CSERKOV SRL,496363,Harghita
AGROPRODCOM LAZAREA SA,496401,Harghita
KOMTRANS SRL,496410,Harghita
RESTAURANT-LAZAR-VENDEGLO SRL,496657,Harghita
UNIVERS SRL,496800,Harghita
COM-CAMELIA SRL,496827,Harghita
COM. ABRAHAM SRL,496932,Harghita
INDCOM SRL,497008,Harghita
GILES SRL,497105,Harghita
BAR FLOARE DE COLT SRL,497202,Harghita
COMBI SRL,497229,Harghita
PRODSERVICE SRL,497261,Harghita
MAROPLAST SRL,497296,Harghita
IZVORUL SRL,497318,Harghita
DELTA-HR SRL,498003,Harghita
UNIO LUNCA SRL,498011,Harghita
MAAB IMPEX SRL,498070,Harghita
EXPORT-IMPORT DARIUS SRL,498097,Harghita
METALURGICA SA,498143,Harghita
CONSIGNATIA AGI SRL,498194,Harghita
GATER SRL,498208,Harghita
PATISERIA ANDY SRL,498232,Harghita
PRO-COM SRL,498879,Harghita
LEMNARUL-LUPENI SRL,498895,Harghita
SEMACOM FARES SRL,498917,Harghita
ELECTRON SRL,498941,Harghita
STEJAR-LUPENI SRL,498968,Harghita
ARIN SRL,498976,Harghita
COMLINEX-NYIKO SRL,498984,Harghita
MALIMPEX SRL,499033,Harghita
NYIKO-BAR SRL,499068,Harghita
COPRAL SRL,499106,Harghita
TEHNOLEMN SRL,499173,Harghita
HALUPEX SRL,499190,Harghita
AGROMEC LUPENI SA,499270,Harghita
TRANSP-TUR.INTERNATIONAL SRL,499289,Harghita
MARTON KAT SRL,499319,Harghita
LEMNCO-TAMAS SRL,499335,Harghita
NAGO MEUBLE SRL,499645,Harghita
SZOCS GATER SRL,499955,Harghita
CONFOR SRL,500243,Harghita
EMER-COM SRL,500596,Harghita
PALEVI SRL,501494,Harghita
TRANS-TUR SRL,501559,Harghita
RESTAURANT BUJDOSO SZEKELY SRL,502414,Harghita
PACETRON SRL,502481,Harghita
VULTURUL CARPATIN SRL,502511,Harghita
LENPRODCOM F.T. SRL,502546,Harghita
ALMEX SRL,502597,Harghita
PROD MINDREANCA SRL,503363,Harghita
LEMN MIXT SRL,503380,Harghita
METAL LEMN-CONSTRUCTII SRL,503410,Harghita
COM-CSARDA SRL,504245,Harghita
BARTACOM SRL,504903,Harghita
AGROCOM-NAPSUGAR SRL,504920,Harghita
FARMACIE SRL,505593,Harghita
PERLA HARGHITEI SA,505623,Harghita
AGROMEC SINCRAIENI SA,505690,Harghita
AGRO-HA-ROM SRL,505704,Harghita
TRANSHAR-FOREX SRL,505755,Harghita
BIFARM SRL,506300,Harghita
INCOMIXT SRL,506319,Harghita
FER-COM-SERV SRL,506343,Harghita
BIARTEX SRL,506440,Harghita
ALBERT-AGENT DE ASIGURARE SRL,506467,Harghita
MARTINCOM SRL,506866,Harghita
CENTRUM-COMPLEX SRL,506874,Harghita
AGROMEC SINMARTIN SA,506912,Harghita
IMPEX INCZE SRL,507160,Harghita
COMAREN SRL,507187,Harghita
DANICO SRL,507209,Harghita
FLIK SRL,507268,Harghita
SUGO-PAN SRL,507314,Harghita
LIBAN IMPORT-EXPORT SRL,507349,Harghita
MOLID SRL,507365,Harghita
SILSZABI SRL,507373,Harghita
KATORZSA SRL,507500,Harghita
LEMPROCIRC SRL,507551,Harghita
UNIVERSAL TIK-TAK SRL,508220,Harghita
SZALON SRL,508255,Harghita
SIGNAL PROD-COM SRL,508298,Harghita
CRISPAL BOROS SRL,508336,Harghita
CONFPRACTIC SRL,508859,Harghita
AGRIN SRL,508921,Harghita
COMSERIND SRL,508964,Harghita
TRANSMARFLEMN TULGHES SRL,508980,Harghita
TELECOM SRL,509005,Harghita
PROD-COM-ELA SRL,509234,Harghita
PROD TIRNAVA-VARSAG SRL,509471,Harghita
TOURINCOM VEVERITA SRL,509501,Harghita
FILIOMOB SRL,510182,Harghita
ARIMPEX SRL,510204,Harghita
FARAGO SRL,510220,Harghita
LEMNZET SRL,510239,Harghita
CONFECTIA MIERCUREA-CIUC SA,510301,Harghita
COMSZAT SRL,511013,Harghita
SFINTA ANA SRL,511056,Harghita
TRICOHAR-MC SA,511064,Harghita
SATELIT SRL,511099,Harghita
GOS-TOP SRL,512019,Harghita
CONINS SRL,512027,Harghita
HARMOPAN SA,512620,Harghita
COM-TUR SRL,512680,Harghita
MINI MANO SRL,512698,Harghita
PONT SRL,512728,Harghita
TEXICO SRL,512752,Harghita
HORTCOP SRL,512779,Harghita
MODUL SRL,512795,Harghita
HARPLAST SRL,512825,Harghita
CARBONAPETIT SRL,512884,Harghita
MADACO SRL,512906,Harghita
HORVATH TRANS-COM SRL,512922,Harghita
INSTEL SRL,513014,Harghita
DENTAL 6 SRL,513065,Harghita
FOTO-DAR SRL,513073,Harghita
PHOENIX COMPANY SA,513111,Harghita
PRODIMPEX CONTACT SRL,513138,Harghita
START-DUO SRL,513308,Harghita
AXOT SRL,513324,Harghita
GASTRO-CENTER SRL,513367,Harghita
LUX-ED SRL,513413,Harghita
DUO-TRANS-COOP SRL,513472,Harghita
ELECTRO B.B.SZ. SRL,513480,Harghita
IMPEX-HAJDU SRL,514028,Harghita
GEOLEX SRL,514060,Harghita
MICRO-TRANS SRL,514079,Harghita
MARIEN PRESSZO SRL,514125,Harghita
PROIECT-HARGHITA SA,514168,Harghita
COMAT HARGHITA SRL,514192,Harghita
UVILLCOOP SRL,514222,Harghita
KEDD-PC SRL,514249,Harghita
MARTINI SRL,514265,Harghita
KORAX SRL,514273,Harghita
IMPEX XANTUS SRL,514281,Harghita
BIBLIOFIL SRL,514613,Harghita
METAGALAX SRL,514630,Harghita
MOBILEX SRL,514648,Harghita
FLEXUM SRL,514664,Harghita
MOLDOCAR SRL,514672,Harghita
CONTRAST SRL,514680,Harghita
OPEN-WORLD SRL,514796,Harghita
BO-TRANS SRL,514826,Harghita
COMCOLOR SRL,514923,Harghita
AUTOSPORT SRL,514931,Harghita
MOVELS MIXT SRL,514940,Harghita
ELIZA TRIC SRL,514958,Harghita
COM-STIK-PLAST SRL,514966,Harghita
IMPEX-FORUM HARGHITA SRL,514982,Harghita
MINIPRESSO SRL,515066,Harghita
VOLAN IMPEX SRL,515082,Harghita
PROD-PRIMEX SRL,515112,Harghita
PSYCHE SRL,515163,Harghita
HAR-WISH SRL,515180,Harghita
ALZO SRL,515198,Harghita
Z & Z PIRO SRL,515252,Harghita
TECTUM IMPEX SRL,515287,Harghita
SZEKI SRL,515309,Harghita
C-SOFT SRL,515317,Harghita
ALUTUS SA,515384,Harghita
IRUCOM SA,515406,Harghita
KFT IMPORT-EXPORT ROM-WALD SRL,515430,Harghita
ANDRE-LIGAT SRL,515503,Harghita
SERVAGROMEC MIERCUREA-CIUC SA,515520,Harghita
ELKO SRL,515570,Harghita
TERM SRL,515589,Harghita
PRECIZIA SRL,515597,Harghita
IN TIME IMPEX SRL,515600,Harghita
IMPORT-EXPORT-PRIMA SRL,515694,Harghita
TERMINUS SRL,515740,Harghita
FORNAX SRL,515767,Harghita
ZENIT SA,515783,Harghita
DINOS CO LTD SRL,515902,Harghita
COM SKALA COMP. SRL,515929,Harghita
M. COMEX SRL,516100,Harghita
ERKOM SRL,516134,Harghita
ROFAROM SRL,516231,Harghita
EX-KO CONSULTING AGENT DE ASIGURARE SRL,516576,Harghita
TRANSSY CO SRL,516630,Harghita
ARC STUDIO SRL,516649,Harghita
ATLAS SRL,516681,Harghita
TIPO PRESS ORIZONT SRL,516711,Harghita
POLITOP SRL,516720,Harghita
MODIMPEX SRL,516762,Harghita
SYRINX SRL,516860,Harghita
ARIEX SRL,516878,Harghita
IMPEX AURORA SRL,516940,Harghita
IMPREST SRL,516959,Harghita
TID SRL,517822,Harghita
ITAS SA,517890,Harghita
STEVE SRL,517920,Harghita
CERAMICA-VITOS-KERAMIA SRL,517989,Harghita
AUTOPLASTCOM SRL,518003,Harghita
MIGO-COM SRL,518011,Harghita
ECOS CLUB SRL,518097,Harghita
POLIACT SRL,518186,Harghita
B & P CONINT SRL,518208,Harghita
WEST-COMP SA,518240,Harghita
HOLLO-ZOO SRL,518461,Harghita
AGROIND HARGHITA SRL,518690,Harghita
SOCIETATE DE PRODUCTIE SI COMERT HERA SRL,518704,Harghita
HANDICAP SRL,518801,Harghita
LAYOUT SRL,519114,Harghita
PAJ-HARGHITA SA,519220,Harghita
AGITEX SRL,519351,Harghita
MATRICARIA SRL,519483,Harghita
PENTACOM SRL,519491,Harghita
BRADUL-EZUSTFENYO SRL,519521,Harghita
BANCA COMERCIALA ROMANA BUCURESTI SA SUCURSALA JUDETEANA HARGHITA,519610,Harghita
LUX MOBEL SRL,519670,Harghita
PROTERCO SRL,519718,Harghita
AGROPRODCOM MIERCUREA-CIUC SA,519793,Harghita
HALEY SRL,519840,Harghita
EUROPRINT SRL,519980,Harghita
PNEUMAT SRL,520038,Harghita
MONTANA IMPEX SRL,520062,Harghita
COMTINI SRL,520070,Harghita
COM-JA SRL,520097,Harghita
HERBA-MILLEFOLIUM SRL,520178,Harghita
CONFORM-IMPEX SRL,520437,Harghita
PINGUIN SERVICE SRL,520577,Harghita
PLUTO SRL,520607,Harghita
RADIX SRL,520640,Harghita
INVENT SRL,520666,Harghita
BENO COM SERVICE SRL,520682,Harghita
REMAT HARGHITA SA,520690,Harghita
SOCIETATEA COMERCIALA DE INDUSTRIALIZAREA LAPTELUI HARGHITA SA,520763,Harghita
ARBOT SRL,520917,Harghita
ATLANTIC-MIXT SRL,521173,Harghita
PANORAMA SRL,521190,Harghita
TAXICOM SRL,521203,Harghita
ROZMARING SRL,523719,Harghita
CONSTRUCTIA BENEDEK SRL,523735,Harghita
EAST COMERCIAL COMPANY SRL,523786,Harghita
FAMOS SA,523816,Harghita
IMFEREX SRL,523832,Harghita
SERVOPROD NEGO SRL,523883,Harghita
KELY CUKI SRL,523921,Harghita
COF-BAR-HARMONIA SRL,523956,Harghita
RESTAURANT HOVIRAG SRL,523964,Harghita
COMBO SRL,523972,Harghita
AUTIN SRL,523999,Harghita
ATA ODORHEI SA,524137,Harghita
HOPEHELY SRL,524145,Harghita
SUGO-IMPEX SRL,524153,Harghita
AVICOM SA,524170,Harghita
FRIGO-M.V. SRL,524188,Harghita
PRODPLASCOM SRL,524200,Harghita
AGROPRODCOM ODORHEIU SECUIESC SA,524277,Harghita
IZVORUL-FORRAS SRL,524285,Harghita
QKI-PRODINST SRL,524307,Harghita
COMAL HOMOROD SA,524315,Harghita
DEMACO SRL,524447,Harghita
VARGA PROD SRL,524455,Harghita
ODOREST SRL,524471,Harghita
CADPA SRL,524480,Harghita
PATKO SRL,524510,Harghita
IVO SRL,524528,Harghita
COM-AMBUL SRL,524552,Harghita
AGROS SRL,524560,Harghita
PET COMIMPEX SRL,524579,Harghita
FARKAS FOTO SRL,524587,Harghita
IMPAR SRL,524625,Harghita
ROYAL COOL SRL,524633,Harghita
PROD.LEMN TIRNAVA SRL,524641,Harghita
RESTAURANT TABOR SRL,524650,Harghita
PLASTMET SRL,524692,Harghita
POLIPLAST SRL,524706,Harghita
SICULUS SRL,524714,Harghita
FARMACIA TUNDE SRL,524781,Harghita
EUROIMPEX SRL,524803,Harghita
TERFIN SRL,524846,Harghita
SELECT METLEMPLAST SRL,524900,Harghita
COMPLEX CALYPSO SRL,524927,Harghita
ROLLING SERVICE SRL,524935,Harghita
ROZEI SRL,524960,Harghita
METWOPLAST SRL,524994,Harghita
ELECTROINDUSTRIAL SRL,525019,Harghita
MATRITA SA,525027,Harghita
BIRO PRODIMPEX SRL,525086,Harghita
MULTIPROD SRL,525108,Harghita
TEXIM SRL,525116,Harghita
KFT KORALL SRL,525159,Harghita
BANCA COMERCIALA ROMANA BUCURESTI SA SUCURSALA ODORHEIU SECUIESC,525221,Harghita
CITADELLA SRL,525248,Harghita
TELEGLOB SRL,525256,Harghita
MACOPS SRL,525264,Harghita
FARMACIA KOLLA SRL,525272,Harghita
HEIPEL  AUTO SRL,525302,Harghita
AGROSERV SEBESTYEN SRL,525310,Harghita
W.B.I.-DATA SRL,525396,Harghita
PROFI-TRADE SRL,525477,Harghita
P & M AUTO MOBILE SRL,525485,Harghita
PROCOMEL SRL,525515,Harghita
ECOM SRL,525540,Harghita
HARGHITA-TOURS SRL,525639,Harghita
UTIL KALMAN SRL,525701,Harghita
MOBILA SRL,525752,Harghita
LEMNEXIM SRL,525760,Harghita
SPARE SRL,525779,Harghita
CONSTREIN SRL,525787,Harghita
GIND TRANSILVAN - ERDELYI GONDOLAT SRL,525795,Harghita
POLAR SRL,525876,Harghita
COMIMPEX ELECTRON SRL,525906,Harghita
PECIF-IMPEX SRL,525949,Harghita
ATI SRL,526057,Harghita
STYLE SRL,526073,Harghita
KORKER JOZSA SRL,526081,Harghita
REPROAL ANTAL SRL,526090,Harghita
TEXAL FANTAZIA SRL,526138,Harghita
INFOPRESS GROUP SA,526170,Harghita
RESTAURANT FENYES SRL,526227,Harghita
SIGMA SOFT SRL,526251,Harghita
TRICOM-COMPANY SRL,526260,Harghita
NYKO SRL,526286,Harghita
MICOM SRL,526316,Harghita
COMEXP-VASS SRL,526324,Harghita
IMPORT-EXPORT DEMETER COMPANY SRL,526332,Harghita
PROD.IMPEX V.B. SRL,526340,Harghita
ALICOF BOROKA SRL,526375,Harghita
ROGNOZ SRL,526413,Harghita
TRICONF-IMPEX SRL,526529,Harghita
MOBILKER SRL,526545,Harghita
MODE SRL,526588,Harghita
ROSEAL SA,526618,Harghita
HOLLO CSARDA SRL,526634,Harghita
START ND SRL,526642,Harghita
COREX SRL,526650,Harghita
XERO-COM SRL,526685,Harghita
SPARTACUS SRL,526740,Harghita
ACIPEX TIP-TOP SRL,526766,Harghita
PROD COM IMPEX HL SRL,526774,Harghita
IKOS-CONF SA,526790,Harghita
EXE INTERNATIONAL SRL,526812,Harghita
H.J.-ZID-IMPEX SRL,526820,Harghita
RESTAURANT SELECT SRL,526847,Harghita
MATYAR DOOR SRL,526863,Harghita
ART IMPEX SRL,526880,Harghita
PROD.COM.MIXT-AUTO-TRICOTEXT SRL,526928,Harghita
LEV-IMPORT-EXPORT SRL,526960,Harghita
PRESTOS SRL,526979,Harghita
COPCOM SRL,526987,Harghita
SPICUL SRL,527036,Harghita
COLAS SRL,527095,Harghita
PANOS SRL,527133,Harghita
HERDENTAL SRL,527168,Harghita
MOTOR TRADING CO SRL,527176,Harghita
ABC-IMPEX SRL,527184,Harghita
TRICOREX-COMPANY SRL,527206,Harghita
MOLD IMPEX SRL,527222,Harghita
ILUSKA BAR SRL,527290,Harghita
ELECTROCOM-DEAK SRL,527303,Harghita
SIMALEP SRL,527311,Harghita
HIOB ROUMANIE SRL,527362,Harghita
IRIS SERVICE CIUC SA,527397,Harghita
BRADUL ARGINTIU ESPRES SRL,528376,Harghita
HARGITA-LINE SRL,528392,Harghita
A.B.M. SRL,528465,Harghita
ECOCALC SRL,528520,Harghita
ECCO-CRISTUR SRL,528570,Harghita
DENTO SRL,528678,Harghita
OTELURI PENTRU SCULE SA,528724,Harghita
AVICOOPEX SRL,528821,Harghita
AGROMEC CRISTURU-SECUIESC SRL,528910,Harghita
