ANTARES SRL,332492,Hunedoara
LA OLTEANU COM 93 SRL,375019,Hunedoara
ROLUX SRL,1759689,Hunedoara
BORZESCU SRL,1763345,Hunedoara
FARMACIA UIOARA SRL,1769810,Hunedoara
NEFER PROD SRL,1771640,Hunedoara
ANA MARIA SRL,1957406,Hunedoara
FEDERMEN EXIM SRL,2092086,Hunedoara
GRAZIA TAMASAN SRL,2092094,Hunedoara
PLAST PRODCOM SRL,2092108,Hunedoara
FLORA FARM SRL,2092167,Hunedoara
LECONFEX SRL,2092175,Hunedoara
PROD COM NADINA SRL,2092248,Hunedoara
TRATIM IMPEX SRL,2092396,Hunedoara
BOVIS PUI SA,2092485,Hunedoara
VICTORIA CINCIS IMPEX SRL,2092531,Hunedoara
PREST LOTUS SRL,2092574,Hunedoara
COM CLUB 2000 SRL,2092590,Hunedoara
CRISANA PROD COM SRL,2092760,Hunedoara
TEBAN - EX.IMP. SRL,2092787,Hunedoara
VENERA COM SRL,2092850,Hunedoara
UNICOM SRL,2092906,Hunedoara
EXPRESO - ALIM - PATY SRL,2092949,Hunedoara
PRODLEMN SRL,2092965,Hunedoara
ALIMENTAR PREST SRL,2093014,Hunedoara
TURIST PREST R&P SRL,2093065,Hunedoara
FLORA IMPORT EXPORT SRL,2093081,Hunedoara
DIANA COMTUR SRL,2093111,Hunedoara
AGREMENTUL PASCA SRL,2093154,Hunedoara
IMPEX EXCELENT SRL,2093162,Hunedoara
VACANTA SRL,2093170,Hunedoara
TURISM AP BISTRO SRL,2093227,Hunedoara
REPCOOP UNIVERSAL SRL,2093375,Hunedoara
COMSERV SRL,2093502,Hunedoara
COMIMPEX ADRIAN SRL,2093774,Hunedoara
INST FOREST SRL,2093790,Hunedoara
ATELIERELE CENTRALE SA,2093863,Hunedoara
ALEXIM SRL,2093901,Hunedoara
TRANSERVICE SRL,2093960,Hunedoara
COMTURIST ANCUTA SRL,2093987,Hunedoara
AGROMAMS SRL,2094079,Hunedoara
BOIAN COM PACLISA SRL,2094184,Hunedoara
COMFRUCT SA,2102929,Hunedoara
BENO OIL SRL,2111293,Hunedoara
TEHNIC DENTAR SRL,2111340,Hunedoara
METCOM SRL,2111358,Hunedoara
IMPEXCOM HERCZEG SRL,2111366,Hunedoara
ARDEALUL SA DEVA,2111374,Hunedoara
AGREMIN SRL,2111439,Hunedoara
TRANSILVANIA SA,2111463,Hunedoara
KADETT TELECOM SRL,2111498,Hunedoara
DARKO SRL,2111587,Hunedoara
PROD COM TOMES SRL,2111730,Hunedoara
CONSUL SRL,2111765,Hunedoara
TERAMET FAUR C SRL,2111811,Hunedoara
NOVO IMPEX SRL,2112000,Hunedoara
RAVCOMET SRL,2112043,Hunedoara
METATEX IMPORT EXPORT SRL,2112051,Hunedoara
TERRA COM SRL,2112094,Hunedoara
DRUMURI ŞI PODURI SA,2112140,Hunedoara
FINAS COMIMPEX SRL,2112230,Hunedoara
CONSSER SRL,2112256,Hunedoara
AMICAL IMP EX SRL,2112329,Hunedoara
SIRIS COM SRL,2112370,Hunedoara
COMPACT SRL,2112388,Hunedoara
HORTINA SA,2112485,Hunedoara
METALO CARPATI SRL,2112604,Hunedoara
G.B. PRODCOM IMPEX SRL,2112680,Hunedoara
METAL AUTOCOM SA,2112825,Hunedoara
ROL BI COM SRL,2112850,Hunedoara
TRICOMEXIM SRL,2113014,Hunedoara
ALIMENTARA SA,2113049,Hunedoara
BALASESCU & CO SNC,2113278,Hunedoara
B&B ALCONTEX SRL,2113286,Hunedoara
LAURUL COM SRL,2113340,Hunedoara
PRODCOM IMPEX AURORA SRL,2113359,Hunedoara
FORTUNA BAR SRL,2113472,Hunedoara
PRACTIC PROD COM SRL,2113510,Hunedoara
PALAS COMIMPEX SRL,2113529,Hunedoara
IMEX ELEGANT SRL,2113570,Hunedoara
INSTITUTUL DE PROIECTARE HUNEDOARA DEVA SA,2113626,Hunedoara
FORICON SA,2113650,Hunedoara
ULPIA SA,2113740,Hunedoara
MORAR MINPROD SRL,2113774,Hunedoara
TIF M&B COMEX SRL,2113871,Hunedoara
FORESTA PRODEXIM SRL,2113910,Hunedoara
AGREMENT TURISM SRL DEVA,2113944,Hunedoara
MARIMPEX SRL,2113952,Hunedoara
CROILUX SRL,2113960,Hunedoara
VION PRODUCTION SRL,2114001,Hunedoara
SERVICE AUTOCOM IMPEX SRL,2114028,Hunedoara
ALCOM M&D SRL,2114095,Hunedoara
DELTA MULTIPREST SRL,2114125,Hunedoara
COMPANIA DE COMERT TRANSILVANIA PRESS SRL,2114141,Hunedoara
TOP TECH SRL,2114184,Hunedoara
MINEXFOR SA,2114206,Hunedoara
COMTOUR LOWE SRL,2114311,Hunedoara
ALIMENS 22 SRL,2114354,Hunedoara
EDITURA CASA DE COMERT REGINA SRL,2114443,Hunedoara
COMPLEX PRODUCT SRL,2114532,Hunedoara
ALIMTURN SRL,2114672,Hunedoara
EUROVENUS SRL,2114710,Hunedoara
TEHNO - OPTIMED SRL,2114770,Hunedoara
RETEZATUL SA DEVA,2114788,Hunedoara
AUTO MULTIPREST STEIJU SRL,2114869,Hunedoara
SERVICE ELECTROCASNICE SRL,2114931,Hunedoara
BIHARIA INTER SRL,2114982,Hunedoara
APOLLO SA,2115104,Hunedoara
IVA COMPANY SRL,2115163,Hunedoara
FARMACEUTICA REMEDIA SA,2115198,Hunedoara
GALENICA SRL,2115210,Hunedoara
ELECTRONIC INDUSTRY SRL,2115228,Hunedoara
COMTEX SRL,2115368,Hunedoara
COMINST SRL,2115546,Hunedoara
COM ALMA SRL,2115600,Hunedoara
PRACTICOM SRL,2115651,Hunedoara
FELICIA COMP IMPORT EXPORT SRL,2115740,Hunedoara
MEGA PREST SRL,2115821,Hunedoara
TRIMED SRL,2115902,Hunedoara
POLIDAVA SA,2115910,Hunedoara
INGECO SRL,2115953,Hunedoara
UTIL SOFT SRL,2115988,Hunedoara
INTERNATIONAL TURISM ALIMENT INDUSTRIAL IZVORUL RECE SRL,2116002,Hunedoara
SAVA EXIM SRL,2116037,Hunedoara
LACTO PANI IMPEX SRL,2116169,Hunedoara
BANCA COMERCIALA ROMANA SA BUCURESTI SUCURSALA JUDETEANA HUNEDOARA-DEVA,2116207,Hunedoara
TAT DANILA EMANUEL SRL,2116231,Hunedoara
COM EXP SRL,2116274,Hunedoara
CORATRANS SA,2116320,Hunedoara
CROI-COM SRL,2116347,Hunedoara
SICOM SRL,2116355,Hunedoara
COMPAS SRL,2116371,Hunedoara
PANDA CONTEX SRL,2116479,Hunedoara
BRIO PRES SRL,2116509,Hunedoara
STEELCO SRL,2116525,Hunedoara
STAR CONF SRL,2116614,Hunedoara
BENTIX SRL,2116630,Hunedoara
EL IMPEX SRL,2116657,Hunedoara
COMEXSIN SRL,2116690,Hunedoara
FARMACIA ARTEMIS SRL,2116703,Hunedoara
AZUR COMIMPEX SRL,2116720,Hunedoara
ASCONI SRL,2116746,Hunedoara
AGRO COMPANY SRL,2116860,Hunedoara
C.I.F. SA DEVA,2116908,Hunedoara
LURIAN AUTO IMPEX SRL,2116959,Hunedoara
ARTIZANALA SRL,2117091,Hunedoara
METALCHIM SA,2117172,Hunedoara
SARMISMOB SA,2117288,Hunedoara
ALTRACOM CALIN SRL,2117296,Hunedoara
AGORA IMPORT EXPORT SRL,2117326,Hunedoara
ROMAVICOM SRL,2117580,Hunedoara
CONFORT PROIECT SRL,2117598,Hunedoara
EDITURA CORVIN SRL,2117610,Hunedoara
COMPANIA NATIONALA A CUPRULUI AURULUI SI FIERULUI 'MINVEST' SA,2117946,Hunedoara
CAMINICO IMEX SRL,2117970,Hunedoara
CONCHICOM SRL,2117997,Hunedoara
ORLEAN COMIMPEX SRL,2118020,Hunedoara
RACOM PREST SRL,2118038,Hunedoara
ENERGOCONSTRUCTIA SA BUCURESTI SUCURSALA DEVA,2118097,Hunedoara
SILVEXCOM SRL,2118127,Hunedoara
AGROMEC SA,2118135,Hunedoara
INALCOM SRL,2118232,Hunedoara
MIHAI HIDROCON SRL,2118275,Hunedoara
TOUR IMPEX GROUP SRL,2118330,Hunedoara
AGROELECTROSERVICE SRL,2118429,Hunedoara
TEHNO MEDCOM SRL,2118607,Hunedoara
CORAMEX SRL,2118623,Hunedoara
SANDI COM SRL,2118666,Hunedoara
FARMACIA IRIS SRL,2118690,Hunedoara
DEZVOLTARE DOCUMENTARE LOGICA D.D.L. SRL,2118747,Hunedoara
A.D.E. AUTOMATIZARE DEZVOLTARE ELECTRONICA SRL,2118755,Hunedoara
ASTOM SRL,2118780,Hunedoara
LIRA COMPREST SRL,2118828,Hunedoara
HAGAU & COMP SNC,2118836,Hunedoara
PROSIMCO SRL,2118887,Hunedoara
INDPRODCOM SRL,2118933,Hunedoara
STOMADRIA - EX - COM SRL,2119017,Hunedoara
GENU IMPEX SRL,2119092,Hunedoara
VIAFARM PLURISERV SRL,2119165,Hunedoara
DAN TUR EXPORT IMPORT SRL,2119297,Hunedoara
MATELOT CAFE SRL,2123921,Hunedoara
PRODARTCOM SRL,2124013,Hunedoara
MARBENCOM SRL,2124021,Hunedoara
CORVIN SHOES SRL,2124072,Hunedoara
TEHNO OPTICA SRL,2124129,Hunedoara
MERIDIAN METAL SRL,2124226,Hunedoara
SOFTIMPEX SRL,2124323,Hunedoara
ELECTROCOM SRL,2124331,Hunedoara
PETRIC & COMP SNC,2124412,Hunedoara
NICOM IMPEX SRL,2124463,Hunedoara
TOMAS EXIM SRL,2124536,Hunedoara
DIANA RETEGAN SRL,2124552,Hunedoara
COM TUR SRL,2124560,Hunedoara
COMIMPREST INTERNATIONAL SRL,2124609,Hunedoara
AUTO COLA SRL,2124633,Hunedoara
COMCRIN SRL,2124706,Hunedoara
STOMACOM SRL,2124749,Hunedoara
PROSERVDAN SRL,2124811,Hunedoara
ML-CAFE SRL,2124820,Hunedoara
COMALEXIM ADRIANA SRL,2124897,Hunedoara
TOTAL SERVICE IMPORT EXPORT SRL,2125094,Hunedoara
SERVICE ELECTRON SRL,2125140,Hunedoara
BAES SI GOGOASA SNC,2125329,Hunedoara
TOMIS IFRIM SCS,2125434,Hunedoara
HYS COMMUNAL SRL,2125450,Hunedoara
REMEDICA COM SRL,2125477,Hunedoara
FIBROPLAST SRL,2125558,Hunedoara
AUTO TRANS IMPEX TUR MEDA AND 7 SRL,2125582,Hunedoara
ALEX SZABO SRL,2125728,Hunedoara
MICRO MEGA HD SA,2125809,Hunedoara
DONA IMPEX SRL,2125884,Hunedoara
SPOT SRL,2125914,Hunedoara
TEHNOMED SRL,2125973,Hunedoara
DAVAMAL COMSERVICE SRL,2126090,Hunedoara
SILVANA SA,2126243,Hunedoara
I.C.S.H. SA,2126260,Hunedoara
INTERCOM SRL,2126278,Hunedoara
DD CHIM SRL,2126332,Hunedoara
COMBAT SRL,2126340,Hunedoara
INTERSERVICE SRL,2126405,Hunedoara
CIPO PREST ACTIV SRL,2126480,Hunedoara
IMPEX WICOR SRL,2126510,Hunedoara
PIRVULESCU B.I. SNC,2126529,Hunedoara
COMPOTRANS EUROPA  IMPEX SRL,2126553,Hunedoara
AUTOMATIC SERVICE COMTEX SRL,2126634,Hunedoara
SERPICO SRL,2126723,Hunedoara
ALCON SRL,2126740,Hunedoara
MIMIGA COM SRL,2126812,Hunedoara
ARCELORMITTAL HUNEDOARA SA,2126855,Hunedoara
COMSOLTA SRL,2126952,Hunedoara
FARMACIA ALFA COM SRL,2127036,Hunedoara
NOVELLO EC SRL,2127265,Hunedoara
PROD COM GENERAL SRL,2127362,Hunedoara
MAVICOM SRL,2127443,Hunedoara
ADEDA IMPEX SRL,2127494,Hunedoara
LEON CONFEX SRL,2127540,Hunedoara
HD STIL HARABAGIU SNC,2127605,Hunedoara
COM PRESTIMPEX SRL,2127648,Hunedoara
LANTUL METALO TRANS COM SRL,2127656,Hunedoara
CAR DIV NH SRL,2133054,Hunedoara
IMSERVAL SRL,2133089,Hunedoara
SUPER TRANS COM SRL,2133100,Hunedoara
ELECTRO STAR IMPORT EXPORT SRL,2133127,Hunedoara
PORTASE COMEX SRL,2133143,Hunedoara
COMSLUNEC IMPEX SRL,2133240,Hunedoara
MELTEX IMPEX SRL,2133321,Hunedoara
COM TRANS ROM ORIENT IMPORT EXPORT SRL SOC. ROM.- IORDANIANA,2133330,Hunedoara
TAMARIN IMPEX SRL,2133348,Hunedoara
ANNA IMPEX SRL,2133461,Hunedoara
BROCON SRL,2133496,Hunedoara
ROBO COM SRL,2133690,Hunedoara
ALIMCOM SIONEL SRL,2133780,Hunedoara
DECIS IMPEX SRL,2133801,Hunedoara
DANC SERV COM SRL,2133950,Hunedoara
DAKTA COM AP SRL,2133968,Hunedoara
COFETARIA SPORTUL SRL,2134050,Hunedoara
COMERT SERVICII SRL,2134173,Hunedoara
PETTRANS IMPEX SRL,2134351,Hunedoara
UNIVERSAL CERC PROIECT SRL,2134394,Hunedoara
B.M.V. - LUX IMPEX SRL,2134521,Hunedoara
HIV IMPEX SRL,2134572,Hunedoara
S.V.F.N. COMIMPEX SRL,2134599,Hunedoara
CEPI IMPEX SRL,2134696,Hunedoara
POPA & COMP SNC,2134700,Hunedoara
ABBY COMIMPEX SRL,2134734,Hunedoara
OPTIMED COM AP SRL,2134785,Hunedoara
PATIAL SRL,2134874,Hunedoara
CLUB'90 SRL,2134971,Hunedoara
ZENIT TUR SRL,2135012,Hunedoara
COMPANIA NATIONALA A HUILEI SA,2135187,Hunedoara
REALCOM SA,2135233,Hunedoara
CIP TRANS CO IMPEX SRL,2135314,Hunedoara
VIO IMPEX SRL,2135357,Hunedoara
IRINEL IMPEX SRL,2135519,Hunedoara
DACO ROM IMPEX SRL,2135543,Hunedoara
ANDORA COMIMPEX SRL,2135586,Hunedoara
METEOR IMPEX SRL,2135608,Hunedoara
VOLEC TULIPAN COM TUR SRL,2135640,Hunedoara
ANTCON DINU SRL,2135675,Hunedoara
CONSERV COM SRL,2138388,Hunedoara
INDAL COM SRL,2138418,Hunedoara
TUTTI COM SRL,2138787,Hunedoara
MERCUR SA,2138809,Hunedoara
COM AGROSELENA SRL,2138841,Hunedoara
OBOR COMEX SRL,2138850,Hunedoara
TRANS TRAIAN SRL,2138868,Hunedoara
CRISBUS SA BRAD,2138876,Hunedoara
COMIMPEX KARMA SRL,2138884,Hunedoara
