CASIT PRODIMPEX SRL,450870,Iași
ALBERTVAL SNC,714573,Iași
MECANIC PRODUCT SA,829034,Iași
MIHAELA STAR SRL,830470,Iași
CLASS INVEST SRL,837754,Iași
UBEMAR SA,1356627,Iași
NAFI SRL,1935394,Iași
FANGIO SRL,1935416,Iași
BRUTIM CONS SRL,1935424,Iași
COMSAT TOPILE SRL,1935432,Iași
TOMA & CO SNC,1935440,Iași
ARCOM INTERNATIONAL COMPANY SRL,1935467,Iași
PESCARUL AMATOR SRL,1935491,Iași
RADU SRL,1935530,Iași
IANA SRL,1935599,Iași
DUMITRIU SRL,1935661,Iași
FAMILIA SRL,1935688,Iași
STEF VIITORUL SRL,1935734,Iași
LEGUME FRUCTE SA,1936578,Iași
TIMEX SRL,1936616,Iași
AGROMEC MOVILENI SA,1936683,Iași
VICODD SRL,1936691,Iași
FLORIS SRL,1936705,Iași
CIP TOMESTI SA,1936810,Iași
DIAMIR SRL,1936829,Iași
MAGIC TEXTIL SRL,1936845,Iași
MACOMI SRL,1936888,Iași
OMENI SRL,1936900,Iași
AGROMIXT SA,1936934,Iași
COZMA & CO SRL,1936977,Iași
AGRICOLA MIROSLAVA SA,1936993,Iași
DOI BRAZI SRL,1939809,Iași
SPICUL 2000 SRL,1939906,Iași
VA MODERN SRL,1940978,Iași
OLMA SRL,1941442,Iași
LUDMIN SRL,1941892,Iași
DUSTAS SRL,1942120,Iași
AGRO INDUSTRIAL CERES SRL,1942707,Iași
ANA COMERT SERVICII SRL,1943311,Iași
AGROIND CIUREA SA,1944171,Iași
TOCAR SRL,1945363,Iași
DOI PRIETENI SRL,1945380,Iași
MARCEL SRL,1945398,Iași
BACIU SRL,1945991,Iași
ENIGMAS SRL,1946040,Iași
CORADO SRL,1946091,Iași
IZVORAS SRL,1946830,Iași
ANCA COMTEX SRL,1948203,Iași
AGROMEC BELCESTI SA,1949390,Iași
LACTOVERMIR VERSENI SA,1949411,Iași
LEO SRL,1950530,Iași
OANA VEST SRL,1951128,Iași
GIROM SRL,1951195,Iași
APIMOND SRL,1952506,Iași
MAGNIUS IMPEX SRL,1952751,Iași
CAEC SRL,1952786,Iași
MECOP VET SRL,1953250,Iași
AVIN PETROS SRL,1953269,Iași
ARCASUL SRL,1953358,Iași
ABIL SRL,1953404,Iași
IULIAN SRL,1953501,Iași
CONDA SRL,1953587,Iași
COMETA SRL,1953676,Iași
SPINU SRL,1953684,Iași
