TRANSPORTURI AUTO TEI SA,213,Ilfov
BIOTEHNOS SA,523,Ilfov
COMATCO SA,760,Ilfov
CONSTRUCTII CONTRACT SRL,2060,Ilfov
EMY ALEX COM PROD SERV SRL,4398,Ilfov
CRELAN SRL,4509,Ilfov
UNIVERSAL MICA SRL,6984,Ilfov
IGNATESCO SRL,7874,Ilfov
INTERNATIONAL ROMEXPRESS SERVICE LTD SRL,8250,Ilfov
BABY FLORIS IMPORT EXPORT SRL,9654,Ilfov
IVANTI PROD COM SRL,12919,Ilfov
GD TOTAL SERVICE SRL,13434,Ilfov
MACOMI EX SRL,16295,Ilfov
ALCOM R X R SRL,16309,Ilfov
GRISMID IMPEX SRL,17312,Ilfov
ERNI - AS SRL,17991,Ilfov
MAVIS UNIVERSAL SRL,18008,Ilfov
TRADE FOR ALL SRL,18490,Ilfov
INTERMIDO IMPEX SRL,19453,Ilfov
ARGESEL IMPEX SRL,20369,Ilfov
ELSACOM SRL,22122,Ilfov
FIDES PROD COM SRL,22394,Ilfov
A.T.P. EXCLUSIV CONSULTING  SRL,23675,Ilfov
IZOTERA SRL,23756,Ilfov
SPECTRA SOFT  SRL,26329,Ilfov
COMERT SERVICII MERY VAS IMPEX SRL,26523,Ilfov
DIOTIS AGROTRANS SRL,27006,Ilfov
ECOENERG SRL,33962,Ilfov
ECOPLAST SRL,34356,Ilfov
SECOM ONIX IMPEX SRL,34844,Ilfov
CLAUET-COM SRL,37611,Ilfov
FURNICA PROD '92 SRL,38285,Ilfov
NEGO PROD IMPEX SRL,39353,Ilfov
SAGA TRADE SRL,41671,Ilfov
MIVAS EXIM SRL,42812,Ilfov
MAROLI REPRO SRL,43109,Ilfov
DANYROX IMPEX SRL,44368,Ilfov
CALIPSO SRL,45274,Ilfov
CATALIN COMIMPEX SRL,46369,Ilfov
I Q MANAGEMENT SRL,199311,Ilfov
MUNTENIA IMPEX SRL,214322,Ilfov
TIMPURI NOI SA,326717,Ilfov
MIXT GLOBUS INDUSTRIAL PROD SRL,326776,Ilfov
VIPEX PROD SRL,329691,Ilfov
EVIDENT LAW SOLUTIONS SRL,332301,Ilfov
GEROVITAL COSMETICS SA,334493,Ilfov
TRI - VENUS SRL,334604,Ilfov
A.P.I. CONSTRUCTII - INVESTITII  SRL,335502,Ilfov
TUDOR IMPEX SRL,340320,Ilfov
FADOS IMPORT EXPORT SRL,341059,Ilfov
EXACT PROD SRL,344039,Ilfov
PESTISORUL DE AUR IMPORT EXPORT SRL,348200,Ilfov
EGONIC INVEST IMPEX SRL,349281,Ilfov
EURO PET CARE SRL,351516,Ilfov
ANVER IMPEX SRL,353584,Ilfov
BETA PROIECT SRL,354393,Ilfov
TOTAL AUTO GROUP SRL,355453,Ilfov
MACO PRODIMPEX SRL,355984,Ilfov
BELLE MOUSTACHE EXIM SRL,356750,Ilfov
ROMLIV & L PRODIMPEX SRL,358255,Ilfov
PROD COM ROBERTO IMPEX SRL,362124,Ilfov
GLOBE GROUND ROMANIA SRL,364214,Ilfov
ALEMMO TRADING WORK SRL,364303,Ilfov
M.V.K. IMPORT EXPORT SRL,364630,Ilfov
ROMVITA IMPEX SRL,365503,Ilfov
ALUNIS SA,369645,Ilfov
PLATOS SRL,371416,Ilfov
MARMURA PANTELIMON SRL,376510,Ilfov
COMPANY DACO PRESS SRL,379550,Ilfov
S.V.A. BUSINESS CONSULTING SRL,381037,Ilfov
SAM-TRADI SRL,381223,Ilfov
PRECON SRL,382733,Ilfov
UTTIS SRL,383011,Ilfov
PREDA PRODCOM SRL,385110,Ilfov
TETIS IMPEX SRL,387986,Ilfov
DIVERCOM SRL,393872,Ilfov
MIOTUR SRL,394070,Ilfov
DINS COM IMPEX SRL,395822,Ilfov
MOVIMAR & TRADE CO. SRL,398683,Ilfov
POLIFONIC MEDIA SRL,398926,Ilfov
MARCHAND MEAT & BP SRL,403453,Ilfov
SIMULTEC SRL,406093,Ilfov
EDITURA CORUŢ PAVEL SRL,408175,Ilfov
INOX SA,409430,Ilfov
BUENO - PANDURI SA,410876,Ilfov
ADI COM IMPEX 95 SRL,411073,Ilfov
MARCHAND SRL,425257,Ilfov
IONEX COM SRL,426082,Ilfov
TROPIKANA SA,427843,Ilfov
M.E.T. SRL,427983,Ilfov
MELLON IMPORT - EXPORT INDUSTRY SRL,428806,Ilfov
HORION PRODEXIM SRL,434034,Ilfov
TOTAL TRADING SRL,436272,Ilfov
COMP TORPEDO ALIMENT SRL,436698,Ilfov
TRICOTUN SRL,437103,Ilfov
FOTO SERVICE SRL,437650,Ilfov
ACEF CONSTRUCT IMPEX SRL,452154,Ilfov
LORA MODESIGN SRL,453664,Ilfov
LA AUREL CONSIGNATIE SRL,456296,Ilfov
DIC IMPEX SRL,458696,Ilfov
ALCO ENTERTAINMENT CLUB SRL,468630,Ilfov
ARIS COMPRES IMPEX SRL,468886,Ilfov
TINERETULUI RESIDENCE MILITARI SRL,469032,Ilfov
ALADIN COM IMPEX SRL,471806,Ilfov
RAMURI COM SRL,471911,Ilfov
MEDIA ROM INTERNATIONAL SRL,477264,Ilfov
QUATRO PRODCOM SRL,477540,Ilfov
GIRUETA SA,477558,Ilfov
ZAGAN ELCOM SRL,477620,Ilfov
COMPANIA NATIONALA DE TRANSPORTURI AERIENE ROMANE TAROM SA,477647,Ilfov
GEO-EURO-TOURS-MG SRL,477698,Ilfov
INTIM SPECIAL EXPRES TRIO FRATELO PRODUCTIE SI SERVICII SRL,477701,Ilfov
ILFOVEANA SA,477710,Ilfov
AGROMEC MOGOSOAIA SA,477760,Ilfov
CHERCIU COM SRL,477779,Ilfov
CATI ELENA PRODCOM SRL,477787,Ilfov
ADKA TRANS SRL,477795,Ilfov
AMIRAL SRL,477868,Ilfov
FORTUNA PROD COM SRL,477922,Ilfov
NAG PROD COM SRL,477930,Ilfov
I.U.B. SA,477949,Ilfov
IPIC BUCURESTI - SOCIETATE DE PRODUCTIE INDUSTRIALA SA,477965,Ilfov
CONDAX SA,477973,Ilfov
DANUBIANA SA,478081,Ilfov
FARMACIA DENIS SRL,478111,Ilfov
AGROCOM TROPICAL SRL,478235,Ilfov
INTREPRINDEREA MIXTA DE PRODUCTIE INDUSTRIALA SI PRESTARI SERVICII SAFTICA SRL,478260,Ilfov
VISCOFIL SA,478308,Ilfov
ICLEANU CO SRL,478316,Ilfov
SECOM SA,478340,Ilfov
CELI COM SRL,478359,Ilfov
SAFE SRL,478448,Ilfov
IORDAN COM SERV SRL,478456,Ilfov
COM IMPEX CENCA SRL,478510,Ilfov
TEXUL SRL,478529,Ilfov
PAN RIZ IMPEX SRL,478561,Ilfov
MARYFARM SRL,478570,Ilfov
F.ENCULESCU COM SRL,478600,Ilfov
ROMAG COMIMPEX SRL,478634,Ilfov
AROM IMPORT SRL,478642,Ilfov
AGROFARM SRL,478804,Ilfov
PRODCOM FELNIC SRL,478910,Ilfov
MOGO PLAST SRL,478928,Ilfov
ROMES SA,478952,Ilfov
DO & DO SRL,478987,Ilfov
SEAS SRL,478995,Ilfov
PROGRESUL SA,479001,Ilfov
AUGUSTIN SRL,479028,Ilfov
DUCATEX SRL,479036,Ilfov
UNIVERS PRODCOM SRL,479044,Ilfov
MARFURI-INVESTITII-TRANSPORTURI M.I.T. SRL,479052,Ilfov
FARMACIA ALICE SRL,479133,Ilfov
"HELEN-PRESTARI,TRANSPORT,COMERCIALIZARE,EXECUTARE. IMPEX SRL",479150,Ilfov
ELTEM SRL,479176,Ilfov
INSTITUTUL DE TESTARE CERCETARE-DEZVOLTARE PENTRU MECANIZAREA AGRICULTURII ROMATEST SA,479338,Ilfov
UTREC SA,479346,Ilfov
I.V.M. DIVERSCOM SRL,479451,Ilfov
ALINA PROD SERV COM SRL,479460,Ilfov
ALCRIV SRL,479486,Ilfov
MARMO G&C SRL,479508,Ilfov
MAGO RO COMP SRL,479524,Ilfov
E.M.A.T. SA,479532,Ilfov
PIELOREX SA,479559,Ilfov
MECOMPREST EXIM SRL,479583,Ilfov
CONSTRUCTORUL MOGOSOAIA SRL,479605,Ilfov
ARTIMPRES NORA SRL,479613,Ilfov
MARY ANN IMPEX SRL,479621,Ilfov
REAL COMERT SRL,479630,Ilfov
AVICOLA VOLUNTARI SA,479729,Ilfov
SAIC BRAGADIRU SA,479761,Ilfov
RUDBIN RUDENI SA,479788,Ilfov
FI-BA BALOTESTI SA,479850,Ilfov
AGRICOLA BERCENI BOLOCAN I.CRISTEA SCS,479907,Ilfov
FAURAR SRL,479940,Ilfov
AURA IMPEX SRL,479958,Ilfov
SAM PRODCOM SRL,479990,Ilfov
ADRIANA PROD COM SRL,480006,Ilfov
AGROLEMN SRL,480219,Ilfov
PREDCOM SRL,480260,Ilfov
CEREM IMPORT EXPORT SRL,480337,Ilfov
MARGET PROD CONF IMPEX SRL,480340,Ilfov
BUMBACARIA ROMANEASCA SA,480359,Ilfov
SOCIETATE DE PRODUCTIE INDUSTRIALA CORUC BUCURESTI SRL,480421,Ilfov
GRIG KAVI IMPEX SRL,480480,Ilfov
PROMAC SA,480499,Ilfov
AGROPOL POPESTI-LEORDENI SA,480634,Ilfov
BREAZU COM TRANS SRL,480642,Ilfov
GRANADA COM SRL,480715,Ilfov
FOR LECA SRL,480758,Ilfov
LEONA MARMURA GRANIT SRL,480774,Ilfov
COMAICO SRL,480855,Ilfov
ARTECA JILAVA SA,480871,Ilfov
ALMADA PREST SRL,480936,Ilfov
PRODCOM MINI DOICA SRL,480987,Ilfov
PRODBAC SRL,481079,Ilfov
NOROCEL 17 COMIMPEX SRL,481117,Ilfov
SAICONF SRL,481184,Ilfov
CISCOM EXPO 92 SRL,481206,Ilfov
NICOROM PRODCOM SRL,481265,Ilfov
VEGRAS SA,481320,Ilfov
LUXCON CARPATI SRL,481338,Ilfov
PATRON IMPEX SRL,481346,Ilfov
COMPANY UNIVERSAL IMPORT EXPORT SRL,481400,Ilfov
NUCLEAR & VACUUM SA,481419,Ilfov
VOLAN TOTAL SERVICE AUTO SRL,481559,Ilfov
SARMIT AGROSERV SA,481567,Ilfov
MALVIN IMPEX SRL,481648,Ilfov
CARO COM SRL,481672,Ilfov
PENA COM SRL,481699,Ilfov
ALFAX IMPEX SRL,481737,Ilfov
AGROMEC PERIS SA,481834,Ilfov
FARMACIA DOMNESTI SRL,481869,Ilfov
ELY IMPEX SRL,481893,Ilfov
FLORIAN COMPEX SRL,481923,Ilfov
GLINA SA,481974,Ilfov
GRUND-CHIMPREST SRL,481982,Ilfov
AGROMEC POPESTI LEORDENI SA,482023,Ilfov
AMADA IMPEX SRL,482066,Ilfov
REGITAS IMPEX SRL,482090,Ilfov
TAMPLARIE DANUT SRL,482155,Ilfov
FILIP IMPEX SRL,482252,Ilfov
AGROIND-ALEX SRL,482287,Ilfov
COMPANIA LUCIANA IMPEX SRL,482295,Ilfov
5 MINUTE BALOTESTI SRL,482368,Ilfov
ROMVAC COMPANY SA,482384,Ilfov
CARRE Q COM SRL,482554,Ilfov
GEMENII COMEXIM SRL,482678,Ilfov
CIOTOIANU COMERT SI SERVICII SRL,482686,Ilfov
BICOM P A IMPEX SRL,482708,Ilfov
