COMUNIUNEA NATIUNILOR CRESTINE PRODUCTIE COMERT SERVICII SRL,225666,Maramureș
UNIO SA,645899,Maramureș
PLASCON SRL,685362,Maramureș
PROIECT M.G.H. SRL,1107421,Maramureș
CUPOLA PROIECT SRL,1578607,Maramureș
SOMESUL SRL,2191926,Maramureș
INCALTAMINTE P.A. SRL,2191950,Maramureș
CENTRAL-A.B SRL,2192000,Maramureș
CRESIDA SRL,2192190,Maramureș
ROMARTA-ROYAL SRL,2192204,Maramureș
ILARION SRL,2192212,Maramureș
ELMED SRL,2192263,Maramureș
CORESERV SRL,2192298,Maramureș
BREVET SRL,2192379,Maramureș
PHYTAL FARMACIE SRL,2192387,Maramureș
COMPLEX CRINUL SRL,2192468,Maramureș
PROPSZ SNC,2192514,Maramureș
LOTUS SRL,2192549,Maramureș
MAL GRUP SRL,2192654,Maramureș
INTERCOM SRL,2192875,Maramureș
ROZINTOX SRL,2193196,Maramureș
INDUSTRIAL COM SA,2193226,Maramureș
METALUMIN SRL,2193374,Maramureș
SOLO SRL,2193552,Maramureș
MAGUS SRL,2193609,Maramureș
BILARDI SRL,2193749,Maramureș
MARA-LIBRIS SA,2193765,Maramureș
CONSTRUCTII-PROIECT SRL,2193803,Maramureș
SIROMEX SRL,2193811,Maramureș
C.D.P. ARIS SA,2193862,Maramureș
BOEMA SRL,2193889,Maramureș
NICOLS SRL,2194060,Maramureș
MADONA SRL,2194116,Maramureș
PRACTIC-EXFLEX SRL,2194124,Maramureș
OTELU-CM SRL,2194280,Maramureș
IOVA SRL,2194329,Maramureș
ALPIN SRL,2194361,Maramureș
METACOMERCIAL SRL,2194418,Maramureș
RODIMEX SRL,2194434,Maramureș
STUPINA SRL,2194477,Maramureș
HOTEA TRANS SRL,2194515,Maramureș
CREMONA-BEST SERVICE CO. SRL,2194574,Maramureș
DOMINO-S SILAGHI SRL,2194582,Maramureș
MODA IN PIELE SRL,2194620,Maramureș
GALERIILE-TINERETULUI-LUX SRL,2194701,Maramureș
GALERIILE-TINERETULUI-PERLA SRL,2194710,Maramureș
CEPRONEF SA,2194760,Maramureș
BALLEMN SRL,2194930,Maramureș
EXPRES DURA SRL,2195170,Maramureș
GOSPODINA 2 SRL,2195189,Maramureș
COMPACT SRL,2195286,Maramureș
ARHIMEDES SRL,2195316,Maramureș
SIMATEC SA,2195499,Maramureș
TUDOR SRL,2195545,Maramureș
EDITURA-GUTINUL SRL,2195618,Maramureș
INTERVALCO SA,2195626,Maramureș
IMAGINE-SUNET-MUZICA SRL,2195693,Maramureș
ROMITAL GRUP SRL,2195723,Maramureș
GETAX SA,2195847,Maramureș
LACRIMIOARA SRL,2195952,Maramureș
COMAT MARAMURES SA,2195987,Maramureș
TIPOMAR SA,2196036,Maramureș
COMAR SA,2196087,Maramureș
ROMINA-MUGUR SNC,2196109,Maramureș
LOLY SRL,2196133,Maramureș
ANTREPRIZA MONTAJ INSTALATII SA,2196150,Maramureș
BIJUTERIA-ELYSSE SRL,2196575,Maramureș
VEVA SRL,2196664,Maramureș
GIVT SRL,2196737,Maramureș
C.M.C SRL,2196745,Maramureș
AGROTRANSPORT SA,2196923,Maramureș
PRELUCANA - V.F.SRL,2196966,Maramureș
CISAGIVE TRADE SRL,2196974,Maramureș
MISAROS SNC,2197040,Maramureș
MARIES SRL,2197139,Maramureș
ATELIER-PIN SRL,2197147,Maramureș
CRONOS SNC,2197171,Maramureș
COMPLEX BULEVARD SRL,2197198,Maramureș
APAN-COM SRL,2197260,Maramureș
ATENA-LUX SRL,2197341,Maramureș
TABACARIA IOSIF SRL,2197406,Maramureș
ADA SRL,2197414,Maramureș
HOFER-H.I. SRL,2197490,Maramureș
ILIE SNC,2197511,Maramureș
BUFET SALCIA SRL,2197538,Maramureș
DRAGAN A SRL,2197554,Maramureș
GRAIUL MARAMURESULUI SRL,2197627,Maramureș
BRINDUSA SRL,2197759,Maramureș
LINA DE AUR-B SRL,2197872,Maramureș
MARISIA SRL,2198150,Maramureș
DIESEL SERVICE SRL,2198231,Maramureș
PESCARUL SRL,2198240,Maramureș
SIMPLEX SRL,2198258,Maramureș
CARMANGERIA TUDOR-LUNG SRL,2198363,Maramureș
DUNAMIS-B.B SRL,2198371,Maramureș
HELENA SRL,2198401,Maramureș
COSMUR SRL,2198550,Maramureș
TRANSPORT BALAJ SRL,2198576,Maramureș
SALAMANDRA ADELIN SRL,2198630,Maramureș
MEK-MATEI SRL,2198690,Maramureș
VIOLIN SRL,2198789,Maramureș
MALUS PLUS SRL,2198860,Maramureș
ATLAS-S SRL,2198916,Maramureș
GOSPODINA RODICA SRL,2199016,Maramureș
HOUSE OF HIRSCH SRL,2199067,Maramureș
UNIVER PRODUCT SRL,2199105,Maramureș
OSANUL SRL,2199164,Maramureș
BOGDAN VODA SRL,2199172,Maramureș
TERA-I.P. SRL,2199199,Maramureș
GENIUS SRL,2199210,Maramureș
CERNA SRL,2199300,Maramureș
DORIS SRL,2199342,Maramureș
FELIX SRL,2199350,Maramureș
CADAR WURZEL BAU SRL,2199377,Maramureș
OMEGA-IMPEX SRL,2199385,Maramureș
LIANA SRL,2199393,Maramureș
BURZO-CONSTRUCT SRL,2199415,Maramureș
NARCISA SRL,2199466,Maramureș
POMVAL-COM SRL,2199563,Maramureș
INDUCTORUL SRL,2199601,Maramureș
FRULEGMAR SA,2199644,Maramureș
PENTA SRL,2199660,Maramureș
RODNA SRL,2199709,Maramureș
CITA MARAC SRL,2199954,Maramureș
IMPAL SRL,2199970,Maramureș
ATLAS-PRESS SRL,2199997,Maramureș
FIDELIO-'92 SRL,2200013,Maramureș
DENTAUR SRL,2200048,Maramureș
RELTON STAR SRL,2200056,Maramureș
SABAU FIBRO SNC,2200226,Maramureș
ROYAL I.V. SRL,2200234,Maramureș
ROYAL-R SRL,2200250,Maramureș
TEHNIC-TERMO-INST SRL,2200277,Maramureș
FRATII MERLUSE SNC,2200285,Maramureș
CABINET STOMATOLOGIC TITIRCA SNC,2200323,Maramureș
GIOCONDA SRL,2200358,Maramureș
CARMANGERIA-DALIA SRL,2200390,Maramureș
MONICA SRL,2200420,Maramureș
SEPTIMA SRL,2200455,Maramureș
A.M. MADAR SNC,2200471,Maramureș
APEL-ALFA SRL,2200706,Maramureș
1000&1 ARTICOLE SRL,2200749,Maramureș
MARATEX SA,2200773,Maramureș
TRICOMAR SA,2200927,Maramureș
OLAR-ROTAX SRL,2200994,Maramureș
