M&D'S GOLDEN DRAGON IMPEX SRL,465502,Mehedinți
GISTAR SRL,1600950,Mehedinți
MIRCEA SRL,1600984,Mehedinți
SORT BETON SRL,1601050,Mehedinți
GERONIC TRANS SRL,1601092,Mehedinți
ADRIATICA ALIMENTATIE PUBLICA COMERT SRL,1601114,Mehedinți
AGROPROD CA TARNITA SRL,1601211,Mehedinți
AGROTRANSPORT VINJU MARE SRL,1601440,Mehedinți
MODERN SRL,1603662,Mehedinți
DANFLOR SRL,1604072,Mehedinți
OVIDIA VILCEANU SNC,1604218,Mehedinți
ROMSUINTEST PERIS SA SUCURSALA HINOVA,1604234,Mehedinți
MIHAIL COM SRL,1604340,Mehedinți
PENA COM SRL,1604412,Mehedinți
DALIA VLADULESCU VD SNC,1604471,Mehedinți
COMPLEX COM SRL,1604501,Mehedinți
MIREL FILIPESCU CD SNC,1604579,Mehedinți
HANDAN SRL,1604641,Mehedinți
PATEX SRL,1604684,Mehedinți
VULCAN SRL,1604846,Mehedinți
BIANCA PAN CONSING SRL,1604870,Mehedinți
MIULESCU CONSTRUCTII SRL,1604889,Mehedinți
PACO EDITURA & TIPOGRAFIE SRL BUCURESTI FILIALA BREZNITA DE MOTRU,1604994,Mehedinți
AGROMEC BALACITA SA,1605078,Mehedinți
COMTRANS CORLAN SRL,1605124,Mehedinți
CESKY KRAJANEK SRL,1605205,Mehedinți
SAGEVIMA SRL,1605370,Mehedinți
CONTACT SRL,1605426,Mehedinți
UNIVERSAL SERVICE SA,1605442,Mehedinți
MECANOENERGETICA SA,1605469,Mehedinți
SOCIETATEA PENTRU EXPLOATARE PORTUARĂ DROBETA SA,1605558,Mehedinți
"SOCIETATEA DE PRODUCERE A ENERGIEI ELECTRICE IN HIDROCENTRALE ""HIDROELECTRICA"" BUCUREŞTI SA SUCURSALA HIDROCENTRALE PORŢILE DE FIER",1605574,Mehedinți
ASTRA SA,1605604,Mehedinți
EUROTIRE PLANT SA,1605655,Mehedinți
LAMDRO SA,1605671,Mehedinți
DROBETA COMB SA,1605680,Mehedinți
BRD - GROUPE SOCIETE GENERALE SA BUCUREŞTI - SUCURSALA DROBETA TURNU SEVERIN,1605760,Mehedinți
INDUSTRIALIZAREA LAPTELUI SA,1605795,Mehedinți
SMC PREFABRICATE PENTRU CONSTRUCŢII SA BUCUREŞTI-SUCURSALA DROBETA TURNU SEVERIN,1605809,Mehedinți
CICERO SA,1605868,Mehedinți
PROIECT MEHEDINTI SA,1605876,Mehedinți
SECOM SA,1605884,Mehedinți
CRONOS SRL,1605930,Mehedinți
APROMAT BOR 2009 SRL,1605949,Mehedinți
LIBRIS SA,1606006,Mehedinți
SEVERNAV SA,1606030,Mehedinți
CILDRO SA,1606081,Mehedinți
METEXCOM SRL,1606111,Mehedinți
SEVAM SA,1606170,Mehedinți
ENERGO DROBETA SA,1606219,Mehedinți
FANIDOR SRL,1606332,Mehedinți
FAVORIT SRL,1606340,Mehedinți
FRATIA SIMIARV 92 SRL,1606413,Mehedinți
FAEC SRL,1606430,Mehedinți
VAMIS PARA & CO SNC,1606740,Mehedinți
COM TRANS PONOR SRL,1607958,Mehedinți
LIDIA SRL,1608147,Mehedinți
BINUS SRL,1608260,Mehedinți
RALEX GHITA & BALOI SNC,1608287,Mehedinți
CRIZANTEMA SRL,1608511,Mehedinți
MARGO FARM SRL,1608520,Mehedinți
MONACO COMERT SERVICII SRL,1608554,Mehedinți
ARBICATO SRL,1608880,Mehedinți
AGROMEC GOGOSU SA,1609169,Mehedinți
ROVENTA IMPEX SERV SRL,1609339,Mehedinți
SM BIRCE & CO SNC,1609460,Mehedinți
RUBINUL NEGRU SRL,1609479,Mehedinți
PIPA C.T.V. SRL,1609509,Mehedinți
NAVETA SRL,1609541,Mehedinți
DANUBE LINE SRL,1609606,Mehedinți
PATICOM SRL,1609649,Mehedinți
IKA SRL,1609673,Mehedinți
LOYAL SRL,1609690,Mehedinți
MANEA SRL,1609924,Mehedinți
BANADUC SRL,1609932,Mehedinți
OANA PETROL SRL,1609991,Mehedinți
DIANA PROD SRL,1610228,Mehedinți
SORIS SRL,1610341,Mehedinți
NORI SI BABI SRL,1610775,Mehedinți
LEOMAR TAEREL SNC,1610805,Mehedinți
DALIA COM SRL,1610813,Mehedinți
MATAROM SRL,1610902,Mehedinți
LA PETRICA SRL,1610945,Mehedinți
POPAS TURISTIC CRUCEA SUD VEST SRL,1611045,Mehedinți
DANY COMB SRL,1611975,Mehedinți
VICTOR COM SRL,1612296,Mehedinți
TOPAZ SRL,1612423,Mehedinți
ELFISH IMPEX SRL,1612555,Mehedinți
LOSITOURS SRL,1612741,Mehedinți
LETSOC SRL,1612890,Mehedinți
LIANA SRL,1612946,Mehedinți
LUCEAFARUL COM SRL,1612954,Mehedinți
LA DELIU SRL,1612989,Mehedinți
HINDA SRL,1613097,Mehedinți
CRINUL SRL,1613410,Mehedinți
MINO MIXT SRL,1613429,Mehedinți
LOREMAD BADESCU SI ROSCA SNC,1613445,Mehedinți
MARYLEEN SRL,1613550,Mehedinți
MIDO COMERT SERVICII SRL,1613640,Mehedinți
MAGIC EYE SRL,1613755,Mehedinți
MISTER ALBU & CO SNC,1613798,Mehedinți
GEORGIANA COM MIXT SRL,1613917,Mehedinți
GENEX SRL,1613925,Mehedinți
GRECU SRL,1613950,Mehedinți
COBRA SRL,1614190,Mehedinți
POPOVICI & CO ROYAL SRL,1614203,Mehedinți
ONIX CLUB SERVICE SRL,1614211,Mehedinți
CONTRANS ALION SRL,1614270,Mehedinți
DANUBIUS CARE SRL,1614467,Mehedinți
NICGROS SRL,1614645,Mehedinți
SERVCON SRL,1614653,Mehedinți
GABI S SRL,1614696,Mehedinți
GOLF TRADE SA,1614726,Mehedinți
SANTIERUL NAVAL ORSOVA SA,1614734,Mehedinți
