NEXIM MIXT SRL,145710,Olt
RAMADA TRADING SRL,405454,Olt
SIM RAM SRL,1220276,Olt
GISARO SRL,1486260,Olt
INTERFLORA SRL,1509542,Olt
PĂDURARU CONSTRUCT SRL,1509577,Olt
A.C.IND OLT SRL,1509585,Olt
ADELA SRL,1509615,Olt
TERAPIA SRL,1509690,Olt
NICULESCU SNC,1509704,Olt
SERENA SA,1509747,Olt
TIPOLEG SRL,1509801,Olt
SESAM SRL,1509879,Olt
METALPLAST SRL,1509887,Olt
CONCAS SRL,1510032,Olt
COM NARCISA SRL,1510091,Olt
CABINET STOMATOLOGIC DR. BADEA SRL,1510105,Olt
ORCOM DIVERS SRL,1510156,Olt
STROICA SRL,1510199,Olt
DUPLEX SRL,1510237,Olt
BRANDY SRL,1510253,Olt
SANTE FARM SRL,1510989,Olt
CARMEN-COM SRL,1511020,Olt
COMANESCU-LUMAR C.T. SNC,1511054,Olt
OPTIMA SRL,1511151,Olt
EL-PREDA SRL,1511160,Olt
DOBRE M & S SRL,1511178,Olt
CATELUTA SRL,1511186,Olt
COM-LUMINA SRL,1511208,Olt
CÂRSTEA DISCO TIN SRL,1511224,Olt
OPREA UNIVERS SALON SNC,1511399,Olt
BALSCOM SA,1511429,Olt
COM FAVORIT SRL,1511437,Olt
CORAL SRL,1511461,Olt
VIFAB-PRODCOM SRL,1511526,Olt
14 INSTALATII SRL,1511542,Olt
BUMAR SRL,1511585,Olt
SORA-GILA BIG SERVICE SRL,1511607,Olt
LARRY SRL,1511623,Olt
ANTONIO LUIS SRL,1511631,Olt
COM-BICA SRL,1511895,Olt
CORNELIA COM PROD SRL,1511950,Olt
COLOR CHIM SRL,1512025,Olt
RIVIERA SRL,1512084,Olt
GANEA-AROMATIC SNC,1512092,Olt
CUPTORUL DE AUR SRL,1512246,Olt
CRACIUN-PITURU SNC,1512270,Olt
FELIX SRL,1512297,Olt
S.C.A.D.T. SA,1512351,Olt
OLTCONS SA,1512360,Olt
METRONOM SRL,1512424,Olt
DR.TOMA ANTON SRL,1512432,Olt
CONSTANTIN SRL,1512440,Olt
COSTACOM SRL,1512513,Olt
MAT CAS SRL,1512580,Olt
AUTOSERVICE VOLANUL DE AUR SRL,1512718,Olt
MIN-D.V. SRL,1512831,Olt
NIRAM SRL,1512874,Olt
CON-COM SRL,1513047,Olt
DALY LIDA SRL,1513268,Olt
MOBIL SA,1513284,Olt
ANASTASESCU SRL,1513292,Olt
ALIMENTARA SA,1513357,Olt
SELENA SRL,1513438,Olt
PASCULESCU SNC,1513454,Olt
STANCU SNC,1513489,Olt
CRISTIANA COM SRL,1513551,Olt
MIRAJ SRL,1513748,Olt
MED-COM SRL,1513918,Olt
LUCIMEX-COM SRL,1514000,Olt
TEHNI-DENT SRL,1514050,Olt
SIBO SRL,1514069,Olt
ALIM-VISAN SRL,1514107,Olt
ŞERBĂNOIU COM SRL,1514174,Olt
ACETI SRL,1514255,Olt
OLTSTAR SRL,1514301,Olt
FLORIN-COM SRL,1514409,Olt
RAICU-COM SNC,1514417,Olt
MINERVA-TEO SRL,1514476,Olt
MARCO SRL,1514506,Olt
BURTEA FACO-MOD SNC,1514743,Olt
EXCELSIOR SRL,1514760,Olt
EXPRES SRL,1514778,Olt
MALAGEANU SRL,1514808,Olt
A.B.C. 4X4 SRL,1514859,Olt
PRICOPE SRL,1515030,Olt
TRIUMF COM SRL,1515242,Olt
IONESCU ALEX SRL,1515340,Olt
ALRO SA,1515374,Olt
MIGA SRL,1515412,Olt
RIOTRANS SRL,1515463,Olt
AGROPROD OLT SLATINA SRL,1515536,Olt
MATEI & CO SNC,1515552,Olt
STIUCA LILI SRL,1515650,Olt
BACHUS SA,1515668,Olt
FAMILIAL-COM SRL,1515749,Olt
BANCU RAZVAN SNC,1515820,Olt
S.A. NICKERS SRL,1515951,Olt
OLT LIBRIS SA,1515960,Olt
STEFAN SRL,1516000,Olt
NEGRARU NICK SNC,1516027,Olt
MANDA-ULTRA SNC,1516051,Olt
DACIANA SRL,1516108,Olt
SANTHEO SRL,1516299,Olt
FOTO VENUS SRL,1516345,Olt
MARICESCU SRL,1516450,Olt
CAPATARU SNC,1516469,Olt
MIXTA SRL,1516540,Olt
POTCOAVA DE AUR SRL,1516566,Olt
SPICUL SRL,1516680,Olt
INNES SRL,1516760,Olt
AMIGO SRL,1516795,Olt
PUSCA SRL,1516825,Olt
SIRINA SRL,1516892,Olt
PS MIXT SRL,1516914,Olt
ZAHAR CORABIA SA,1516981,Olt
LOCTRANS SA,1517006,Olt
G.AD.LIBITUM SRL,1517030,Olt
DRĂGHIA MEGAROM SNC,1517057,Olt
M.I.-PREST-COM SRL,1517103,Olt
OMNIS SRL,1517120,Olt
COMAGRIMEX SA,1517189,Olt
PADIMPEX SRL,1517340,Olt
FARMACOR 100 SRL,1517383,Olt
MARICOM SRL,1517456,Olt
AUTO-TRANS-COM SRL,1517588,Olt
MARINA & M SRL,1517596,Olt
ROMAGRO-CERES SRL,1517626,Olt
GLOBUS SRL,1517880,Olt
GAMA SA,1518001,Olt
LILA SRL,1518125,Olt
DINAMIC SISTEM SRL,1518176,Olt
SERVI-COM SRL,1518460,Olt
MORARUL SRL,1518478,Olt
PARC SA,1518540,Olt
VALCELEANU CARDINAL SNC,1518559,Olt
BUCURESTI-BABICIU SRL,1518630,Olt
NEDAC SRL,1518648,Olt
FARMACIA HELIOS SRL,1518753,Olt
KARACALLA E.T.(K.E.T.) SRL,1518800,Olt
GILNOBER SRL,1518842,Olt
LUXOR SRL,1518907,Olt
COMIGI SRL,1518923,Olt
JUMATE KRAFT SNC,1518982,Olt
BUNGIU SRL,1519040,Olt
DINCULESCU REGENT SNC,1519058,Olt
ALCON SRL,1519090,Olt
AGROMEC VISINA SA,1519120,Olt
BAUER SRL,1519228,Olt
PINUL PRODCOM SRL,1519236,Olt
SUPER-CRAFT SRL,1519244,Olt
PLAFAR LORENA SRL,1519309,Olt
FARMACIA GIULEA SRL,1519643,Olt
DITOIU & CO SRL,1519724,Olt
BOGDAN COMPANY SRL,1519821,Olt
ELECTRO-MEGA SRL,1519961,Olt
NIOKA IMPORT-EXPORT SRL,1519970,Olt
LAMIITA SRL,1520079,Olt
RISTEA SRL,1520095,Olt
ILIN-CRINUL SNC,1520133,Olt
SANITAS SRL,1520184,Olt
IORDAN UNIVERS A SNC,1520230,Olt
ALTUR SA,1520249,Olt
M & M CILIENI SRL,1520257,Olt
COMREM SA,1520591,Olt
FRATII ROSCA SRL,1520680,Olt
AGROMEC GANEASA SA,1520699,Olt
BIRJEGA OZON PROCOS SNC,1520702,Olt
MARINESCU TRANS-EUROPA SNC,1520869,Olt
PROD-NICO SRL,1520907,Olt
PRYSMIAN CABLURI ŞI SISTEME SA,1520931,Olt
MIRA SRL,1521015,Olt
UTALIM SA,1521066,Olt
STOMA SRL,1521201,Olt
VICTORIA L.C. SRL,1521317,Olt
FLORES SRL,1521325,Olt
ROM-HANS-NICK SRL,1521341,Olt
NAE-LUCORA SNC,1521384,Olt
OLTINA SA,1521597,Olt
MARCONF SRL,1521716,Olt
TRANSBUZ SA,1521732,Olt
ANDRUŞCA SRL,1521864,Olt
DUMITRESCU PREDA-DANDOR SNC,1521880,Olt
MI-NI SRL,1522401,Olt
ANOTIMP SRL,1522436,Olt
NEGREANU SNC,1522576,Olt
ALUTUS SA,1522630,Olt
ROMCOM MIXT SA,1522649,Olt
ENE-ENDI SNC,1522703,Olt
SCALA SRL,1522754,Olt
DURONI SRL,1522878,Olt
GHEORGHE ARINA SNC,1522924,Olt
VENUS SRL,1522940,Olt
