MH MECANICA SRL,68740,Satu Mare
EURO PERFECT INVEST CONSULT SRL,364257,Satu Mare
CAPCO SRL,638352,Satu Mare
ROTHROSE SRL,638409,Satu Mare
PLEIADE SRL,638425,Satu Mare
ROYAL IMPEX SRL,638433,Satu Mare
ŞERBĂNESCU ASIGURĂRI SRL,638450,Satu Mare
16 DECEMBRIE SRL,638484,Satu Mare
CRISUL SRL,638603,Satu Mare
GLOBUL DE AUR SRL,638611,Satu Mare
MAGNOLIA TRANSPORT IMPEX SA,638697,Satu Mare
DANTEX SA,638859,Satu Mare
FANMOB 2015 SRL,638948,Satu Mare
MECAF SRL,638956,Satu Mare
AN. GROUP ROMANIA SRL,638964,Satu Mare
AUTONOVA SA,639110,Satu Mare
KOVACS SRL,639153,Satu Mare
BAZSA E SNC,639250,Satu Mare
ODETTE SRL,639269,Satu Mare
BENTOFLUX SA,639307,Satu Mare
SOLAR SRL,639374,Satu Mare
ZBONA GR SRL,639382,Satu Mare
HERRA SRL,639404,Satu Mare
SATURN SA,639412,Satu Mare
SUTA SRL,639684,Satu Mare
AGROZOOCOM DECEBAL SA,639714,Satu Mare
ROMAGRA SA SUCURSALA SATU MARE,639730,Satu Mare
ROLIMEX SRL,639749,Satu Mare
HIPOCRAT SRL,639838,Satu Mare
NORD STAR SRL,639900,Satu Mare
KISS CONF SRL,639927,Satu Mare
UNIC SRL,639978,Satu Mare
VENUS ISABEL SRL,640026,Satu Mare
POP AUREL GHEORGHE SI POP RODICA SNC,640077,Satu Mare
ALFA ROM SRL,640174,Satu Mare
NORD TAXI SA,640204,Satu Mare
COLOUR WORLDS SRL,640212,Satu Mare
SCHMIEDT RO SRL,640220,Satu Mare
AGROMEC MARTINESTI SA,640239,Satu Mare
CONSTRUCTII MONTAJ SA,640255,Satu Mare
PRINTUL SRL,640298,Satu Mare
PRODLEMN CHI ROSS SRL,640301,Satu Mare
BULEVARD SRL,640417,Satu Mare
SAMPAX SRL,640492,Satu Mare
EURO PRINT SRL,640581,Satu Mare
SAMANI SRL,640603,Satu Mare
SPICUL AURIT SRL,640735,Satu Mare
FLORA COMP SRL,640786,Satu Mare
INEDIT SRL,640808,Satu Mare
TIP TOP BOB SRL,640859,Satu Mare
METECOM SA,640867,Satu Mare
CLIO SRL,640921,Satu Mare
AUTO PREST COM SRL,640972,Satu Mare
SOFERUL AMATOR SRL,641030,Satu Mare
GENERAL PROIECT SRL,641200,Satu Mare
SAMLEF SA,641226,Satu Mare
ESKIMO SRL,641269,Satu Mare
CASTRUM CORPORATION SRL,641366,Satu Mare
SILUET SRL,641552,Satu Mare
SAVANT SRL,641757,Satu Mare
BOSS S SRL FILIALA SATU MARE,641781,Satu Mare
COROLA SRL,641811,Satu Mare
BRD - GROUPE SOCIETE GENERALE SA SUCURSALA SATU MARE,642000,Satu Mare
IMOBILPREST SRL,642019,Satu Mare
FENO SRL,642086,Satu Mare
VALNOVA SRL,642094,Satu Mare
ISZAK SRL,642191,Satu Mare
VIA NORBERIK SRL,642272,Satu Mare
AUTORING SRL,642329,Satu Mare
VASVARY E SNC,642345,Satu Mare
GLOBAL SRL,642388,Satu Mare
CAFE BAR SANDY SRL,642396,Satu Mare
AMPER SRL,642531,Satu Mare
PRAGOCOM SRL,642566,Satu Mare
SCHWAB SRL,642582,Satu Mare
ZOLTAN NAGY SNC,642590,Satu Mare
FABIAN SRL,642655,Satu Mare
ADEC SRL,642663,Satu Mare
SAMCIF SA,642906,Satu Mare
PLASTICA SRL,642922,Satu Mare
TIPOP SRL,642949,Satu Mare
ORIZONT SA,642973,Satu Mare
BUDVAS SRL,642981,Satu Mare
CEPROM SA,642990,Satu Mare
MOBIPAN SA,643120,Satu Mare
TRICOMET SRL,643189,Satu Mare
VARIU VD SRL,643219,Satu Mare
GIORGIO TRANS SRL,643243,Satu Mare
PHOENIX SRL,643251,Satu Mare
REMAT SA,643260,Satu Mare
FARTEX SRL,643286,Satu Mare
SOMIR SRL,643324,Satu Mare
HANNA SRL,643430,Satu Mare
CRISTAL SRL,643480,Satu Mare
GALEX SRL,643537,Satu Mare
ERGOLEMN SA,643626,Satu Mare
DAVID SRL,643669,Satu Mare
CONS CRISTAL SRL,643766,Satu Mare
SALCIMUL SRL,643812,Satu Mare
SOMETA SA,643898,Satu Mare
