LIVRA SRL,775961,Sibiu
TORCATORIE MIERCUREA SRL,776070,Sibiu
DIVERTIS BAZNA SRL,776207,Sibiu
LA TROITA SRL,776312,Sibiu
VALEX SRL,776584,Sibiu
SUZY INSTAL SRL,776606,Sibiu
ARCO NAGY SRL,776827,Sibiu
PORSIB SRL,776908,Sibiu
MONA C SRL,777229,Sibiu
DRAGO PAN SRL,777288,Sibiu
BUILDING GROUP SRL,777369,Sibiu
ORLATEX SA,777580,Sibiu
TOMA & CO SNC,777857,Sibiu
IUGESTI SRL,777997,Sibiu
LED COMMUNICATIONS SRL,778003,Sibiu
AUTOMECANICA PARC INDUSTRIAL SRL,778011,Sibiu
PANDORA SOFT SRL,778062,Sibiu
EXPRESS SERVICE SRL,778100,Sibiu
ŞTEFANY-TRANS-INVEST SRL,778127,Sibiu
AUTO KEISER SRL,778380,Sibiu
METALUL GURA RIULUI SRL,778607,Sibiu
VLADEXIM SRL,778941,Sibiu
PICKY SRL,779351,Sibiu
D & C SRL,779432,Sibiu
AGROMEC MIERCUREA SIBIULUI SA,779602,Sibiu
RECA SRL,779629,Sibiu
IMPERIAL COM SRL,779947,Sibiu
SAMUEL SRL,780003,Sibiu
MARSAL SA SALISTE,780046,Sibiu
GEO SIB SRL,780100,Sibiu
DISPENSAR MEDICAL DR.SERBU GHE. SRL,780160,Sibiu
M & S SRL,780224,Sibiu
TRANSORLAT SRL,780313,Sibiu
STANDARD SRL,780410,Sibiu
SINTEZIS SRL,780585,Sibiu
BRAT-COM   SRL,780860,Sibiu
MIC BAN SRL,780925,Sibiu
VATRA MARGINIMII SRL,781068,Sibiu
EURO OFFICE CONSULTING SRL,781807,Sibiu
COMTUR SRL,782055,Sibiu
CAPRIOARA-SIB SRL,782268,Sibiu
AGROVIA SRL,782314,Sibiu
STANESCU COM SRL,782349,Sibiu
BEST SRL,782500,Sibiu
NATURA SRL,782632,Sibiu
ATELEANA SRL,782667,Sibiu
WALMARY SRL,782810,Sibiu
LACTOFARM SRL,782845,Sibiu
BRATICOM SRL,782896,Sibiu
AGROMEC SIBIU SA,783018,Sibiu
VLAD SERVICE  SRL,783107,Sibiu
AUTOSERVICE MIHAI BOAR SRL,783123,Sibiu
