ROMHIS IMPORT EXPORT SRL,237059,Suceava
SINCRON TUR SRL,617848,Suceava
ANCA SRL,712050,Suceava
SMART SRL,712106,Suceava
DACIA FELIX SRL,712130,Suceava
ALISA SRL,712149,Suceava
ZAMCA SRL,712220,Suceava
DUNAREA SRL,712238,Suceava
AUTO NAHARNEAC SRL,712254,Suceava
CARPATIS SRL,712360,Suceava
BRADET SRL,712416,Suceava
GHEPARD COMPANY SRL,712424,Suceava
GENIUS SRL,712459,Suceava
FEROLUX-GHETES SRL,712505,Suceava
ROMANTA SRL,712556,Suceava
NUFARUL ALB SRL,712700,Suceava
BUCURESTI SRL,712718,Suceava
SUMEC SA,712904,Suceava
CON BUCOVINA SA,712912,Suceava
SOCIM SA,712939,Suceava
MIREX & CO SRL,713047,Suceava
FLORA BUCOVINEI SRL,713098,Suceava
JUNIOR GABRIEL 79 SRL,713110,Suceava
OLMASIL IMPEX SRL,713179,Suceava
CLIO COM SRL,713187,Suceava
MPO SRL,713284,Suceava
HAVANA-LUCHIAN SRL,713322,Suceava
COMSERVICE SRL,713438,Suceava
CATALUCI COM SRL,713446,Suceava
PRESCON SA,713500,Suceava
ACET SA,713519,Suceava
COMAT SA,713551,Suceava
COMSUTEXIN SA,713560,Suceava
BRD - GROUPE SOCIETE GENERALE SA BUCUREŞTI  - SUCURSALA SUCEAVA,713578,Suceava
SEDCOMLIBRIS SA,713586,Suceava
OVI VALI SRL,713640,Suceava
DATA SERVICE SRL,713691,Suceava
B+B SRL,713705,Suceava
GENKO MED GROUP SA,713730,Suceava
SERVAGROMEC SA,713764,Suceava
MAGAZIN PIESE AUTO UNICA SRL,713799,Suceava
RADIO-TOP'91 SRL,713810,Suceava
CONSUL SRL,713829,Suceava
COMIMEX SRL,713837,Suceava
EUROSERVICE SRL,713900,Suceava
CIPRIAN SRL,713977,Suceava
SEL SRL,714093,Suceava
CRISTIAN SRL,714107,Suceava
FACOS SA,714123,Suceava
AUTO-IMPEX SRL,714158,Suceava
BI-COM SRL,714166,Suceava
LUMIAX SRL,714182,Suceava
STEFAN CEL MARE SRL,714204,Suceava
CORA SRL,714220,Suceava
IMEX COM SRL,714255,Suceava
MARINEX SRL,714263,Suceava
GABI SRL,714310,Suceava
WERTA PRODCOM SRL,714506,Suceava
CAMINUL SRL,714603,Suceava
MICS SRL,714662,Suceava
M-TOTAL-M SRL,714778,Suceava
PIGMAS SRL,714786,Suceava
BENAR SRL,714794,Suceava
TAVI SRL,715013,Suceava
MEDICAL TECHNOLOGIE TRANSFER SRL,715056,Suceava
ARHING PROIECT SRL,715072,Suceava
PASTEL COM SRL,715188,Suceava
GLADIOLA SRL,715200,Suceava
ZAMBILA SRL,715218,Suceava
ROMA SRL,715358,Suceava
PRIMADONNA SRL,715366,Suceava
STAR SRL,715439,Suceava
GAMA COM PREST SRL,715498,Suceava
HIDROTERRA SA,715617,Suceava
C.I.M. SRL,715722,Suceava
ANISOARA SRL,715757,Suceava
NOUTATI SRL,715790,Suceava
ANDREI JUNIOR SRL,715811,Suceava
MARICOL SRL,715862,Suceava
ROMJO SRL,715870,Suceava
MASI SRL,715919,Suceava
DR.GUTT SRL,715935,Suceava
MIA SRL,715951,Suceava
ZOOCOM MANOLACHE SRL,715960,Suceava
CONFEX-TRICOT LUMEA COPIILOR SRL,716019,Suceava
ELMAS SRL,716035,Suceava
MINA SRL,716205,Suceava
ALTUS COM SRL,716213,Suceava
H SRL,716248,Suceava
PEC-STOLERU SNC,716264,Suceava
SEVAS SRL,716337,Suceava
SĂGEATA-LAZĂR SRL,716450,Suceava
RODISTROM COMIMPEX SRL,716469,Suceava
KAZONE SRL,716485,Suceava
SUBLIM SRL,716507,Suceava
NORD FORESTA SRL,716540,Suceava
SPORT TURISM SRL,716574,Suceava
CONEX IMPEX SRL,716639,Suceava
SELECT SRL,716744,Suceava
22 DECEMBRIE SRL,716809,Suceava
GAMA SRL,716817,Suceava
LA IRIMICIUC SNC,716884,Suceava
CUPIDON SERVCOM SRL,716892,Suceava
LALEAUA SRL,716914,Suceava
CREATIV PROD SRL,716981,Suceava
M-SYSTEM SRL,716990,Suceava
BUCOVINA SA,717030,Suceava
CINA COMIMPEX SRL,717146,Suceava
