IULVIDANA COM SRL,672621,Sălaj
SILCAR PROD SRL,672885,Sălaj
VINALCOOL SILVANIA SA,673015,Sălaj
AGRINA PROD SRL,673112,Sălaj
PAGICOM SRL,673333,Sălaj
ELECTROFIN SRL,673708,Sălaj
HEXAROM SRL,673740,Sălaj
UNIVERSAL SA,673910,Sălaj
FORES COM SRL,673945,Sălaj
PROD COM DORIS SRL,673953,Sălaj
COMFRIG SRL,674452,Sălaj
MOLDTRANS SRL,674479,Sălaj
FOTOCOM SRL,674720,Sălaj
CADAR SRL,674851,Sălaj
AGROPROD SRL,674932,Sălaj
ADIPOL SRL,675210,Sălaj
CONSINIT SRL,675237,Sălaj
AGROMAR SRL,675393,Sălaj
RAME - OANTA SRL,675407,Sălaj
FORTUNA-SA ZALAU,675482,Sălaj
PRO-SOL SA,675547,Sălaj
FIBROCOM SRL,675555,Sălaj
I.G.PROIECT-SRL,675776,Sălaj
EMIX MAR SRL,675814,Sălaj
PRODAS SRL,675822,Sălaj
BIANCA DALINA PRODCOM SRL,675920,Sălaj
DENTOMAX SRL,675946,Sălaj
VIOLETA SRL,676003,Sălaj
ALEX-PROIECT SRL,676011,Sălaj
VAIDA - DENT SRL,676070,Sălaj
AGRO-GIHAS SRL,676097,Sălaj
AUTOSERVICE STAN SRL,676119,Sălaj
ROTISERIE SRL,676151,Sălaj
ROBIROM SRL,676178,Sălaj
PROD VET COM SRL,676232,Sălaj
BIT SRL,676364,Sălaj
MURESAN-COM SRL,676453,Sălaj
PROD COM G.T.SRL,676500,Sălaj
DELIA SRL,676682,Sălaj
TIS - IMPEX SRL,676720,Sălaj
MARGARITAR SRL,676747,Sălaj
SIMIRA TOOLS SRL,676798,Sălaj
DIAFIR SRL,676909,Sălaj
SCALA  SRL,676933,Sălaj
SONA-IMPEX SRL,676950,Sălaj
FARMACIA GALLENUS SRL,677149,Sălaj
UTIL MATCON SRL,677238,Sălaj
AGROTRANSPORT SA,677270,Sălaj
EURO-ACTIV SRL,677289,Sălaj
SMOCHY-COM SRL,677530,Sălaj
ESTELLA CHIS IMPEX SRL,677610,Sălaj
ELIANA - IMPEX SRL,677696,Sălaj
ELMEX IMP SRL,677750,Sălaj
MERCUR POP SNC,678055,Sălaj
REMAT SALAJ SA,678268,Sălaj
TALOS SRL,678446,Sălaj
KLARK IMPEX SRL,678454,Sălaj
M - M SERVICE CO SRL,678462,Sălaj
REMATEX SRL,678489,Sălaj
PANIE UTILAJE SRL,678632,Sălaj
COMPPIL SA SUCURSALA SALAJ,678659,Sălaj
COMIMPEX-ROYAL SRL,678705,Sălaj
CITY GROUP SRL,678870,Sălaj
ROYAL SRL,678926,Sălaj
STARDENT SRL,678977,Sălaj
SARMIS SA,679026,Sălaj
BROTHERS-MOBIL SRL,679069,Sălaj
ANALOG - DIGITAL SRL,679093,Sălaj
LOTUS SRL,679174,Sălaj
VERO-ZAL SRL,679310,Sălaj
SAND NEL TRANS SRL,679352,Sălaj
BACARA SRL,679433,Sălaj
UNIC ZAGOR BODA SNC,679506,Sălaj
TRANS SALAJ SA,679590,Sălaj
LAVINIA-SRL,679662,Sălaj
MECANICA - C.D. SRL,679760,Sălaj
PROELECTRO SRL,679778,Sălaj
SELENA IMPEX SRL,679980,Sălaj
CRISTAL-IMPEX SRL,680055,Sălaj
PRONET SRL,680063,Sălaj
VEGA CIUPE CHIS SRL,680101,Sălaj
DUMBRAVITA COM PROD SRL,680128,Sălaj
GALIŞ AMA SRL,680160,Sălaj
AG TOUR SRL,680179,Sălaj
HANUL DRUMETILOR SRL,680209,Sălaj
TRANSLILIAC SZUCS SRL,680357,Sălaj
MULTIPROD SA,680764,Sălaj
ATLAS T.R. SRL,680888,Sălaj
PROD MIXT COM  SRL,680977,Sălaj
BANCA COMERCIALA ROMANA SA BUCURESTI SUCURSALA JUDETEANA SALAJ,681050,Sălaj
VECOM SRL,681069,Sălaj
CIPRICOM SRL,681301,Sălaj
TUNYOGI SRL,681360,Sălaj
NEK-COM SRL,681450,Sălaj
BAC SRL,681476,Sălaj
AROMIS SRL,681670,Sălaj
TERA COM SRL,681867,Sălaj
ROMACON-SRL,682170,Sălaj
FERMO SANODENT SRL,682226,Sălaj
IOANA COM SRL,682315,Sălaj
ANDREEA COM SRL,682510,Sălaj
BIRIS TRANS SNC,682579,Sălaj
FORTEC SRL,682730,Sălaj
TIP TOP AP COM SRL,682781,Sălaj
MESEŞAN-DAN SRL,682838,Sălaj
CROLUX SRL,682846,Sălaj
BRINDUSA IMPEX SRL,682889,Sălaj
RAPSODIA COM PROD SRL,682994,Sălaj
MIRAJ SRL,683191,Sălaj
ECHINOX PROD COM SRL,683230,Sălaj
BERCEAN IMPEX SRL,683345,Sălaj
ADY COM SRL,683507,Sălaj
KULCSARCONF SRL,683779,Sălaj
INTIM CENTBAR SRL,684294,Sălaj
FARMACIA DIANA SRL,684308,Sălaj
PORUMB-COLINA SNC,684553,Sălaj
MARCUT IMPORT EXPORT SNC,685141,Sălaj
CONTRAST SRL,686112,Sălaj
LOTUS-IMPORT-EXPORT SRL,686155,Sălaj
CERES 91 SRL,686350,Sălaj
COMET SRL,686368,Sălaj
SAMTEX SA,686457,Sălaj
TRESTIAN TRANS SRL,686520,Sălaj
TINCA SRL,686724,Sălaj
AGROMEC JIBOU SA,686759,Sălaj
REINBOLD SNC,686929,Sălaj
NIC PANDURU SRL,686970,Sălaj
PAEONIA COM SRL,687002,Sălaj
ALEX-COMERT SI SERVICII SRL,687134,Sălaj
CONFECTII JIBOU SA,687215,Sălaj
INDUSTRIE MICA PRESTARI SERVICII SRL JIBOU,687258,Sălaj
PIERRE-TRANS SRL,687398,Sălaj
