LIDAS PROD SRL,380449,Teleorman
S.P.C. GEMA SRL,405063,Teleorman
RAV SERVICE SRL,422919,Teleorman
GES  SERVICE SRL,470177,Teleorman
CRETULESCU SRL,1284954,Teleorman
PRIMA SRL,1379752,Teleorman
DOMINO COM SRL,1379817,Teleorman
MORILE VLASCA SRL,1380048,Teleorman
DUAL SERV INSTALAŢII SRL,1380102,Teleorman
COMRADO SRL,1380366,Teleorman
DIANA MOM SRL,1380463,Teleorman
MEDICORX SA,1380501,Teleorman
EUROCONSTRUCT SRL,1380536,Teleorman
LATEXCOM SRL,1380560,Teleorman
TRICOCHIM LUX SRL,1380676,Teleorman
MEDIPRO SNC,1380838,Teleorman
S.I.M.COMALIND SRL,1380846,Teleorman
IAGAR SRL,1381132,Teleorman
TRALEX SRL,1381183,Teleorman
ALCIS SRL,1381310,Teleorman
BAR MIRI SRL,1381477,Teleorman
PIP SRL,1381620,Teleorman
AGECOMSERVIS SRL,1381698,Teleorman
PHARMA SIG SRL,1381744,Teleorman
CONIM SRL,1381868,Teleorman
COMIS SRL,1381914,Teleorman
PIPERMAN SRL,1381930,Teleorman
ALIN IMPEX  SRL,1381957,Teleorman
PAPIRUS SRL,1382057,Teleorman
PIGALEX SA,1382065,Teleorman
NEATA  SCS,1382073,Teleorman
SANVA IMPEX SRL,1382090,Teleorman
ROTRIX SRL,1382103,Teleorman
UNIDENTA SRL,1382235,Teleorman
MINNEX IMPORT EXPORT SRL,1382278,Teleorman
SIMCA SA,1382316,Teleorman
GEDAFARM SRL,1382456,Teleorman
EVSTAR COMPUTERS SRL,1382596,Teleorman
ELENIS SRL,1382731,Teleorman
STAR 91 SRL,1382740,Teleorman
FINAL IMPEX  SRL,1382979,Teleorman
ORIZONT SRL,1383001,Teleorman
COMALSIF SRL,1383176,Teleorman
MIXT COMERCIAL SRL,1383206,Teleorman
AGRO IVĂNUŞ SRL,1383338,Teleorman
SCORPIONS COM SRL,1383923,Teleorman
ISLAZ SA,1384015,Teleorman
HAITA & HAITA SRL,1384074,Teleorman
DOVA & PORUŢ SRL,1384112,Teleorman
FRANCO ROM SRL,1384155,Teleorman
ALEX-TELL SA,1384198,Teleorman
ROFAL SRL,1384201,Teleorman
SERITEL SRL,1384236,Teleorman
STIX SRL,1384244,Teleorman
SINCRON IMPORT EXPORT JURUBITA SNC,1384333,Teleorman
AUTOSERVICE NICA SRL,1384414,Teleorman
VEDEA SRL,1384422,Teleorman
ELECTROTEL SA,1384430,Teleorman
EXPRICOM SRL,1384635,Teleorman
COM-TEL SRL,1384694,Teleorman
MARCOM SRL,1384708,Teleorman
EXCLUSIV SRL,1384724,Teleorman
COMALEX SA,1384767,Teleorman
BANCA COMERCIALĂ ROMÂNĂ SA BUCUREŞTI SUCURSALA TELEORMAN,1385045,Teleorman
BEST MARKETING RESEARCH SRL,1385215,Teleorman
COMEXIN SRL,1385304,Teleorman
GRIGORIO SRL,1385339,Teleorman
COM DANOTI SRL,1385401,Teleorman
SICOMEX SRL,1385436,Teleorman
MADRITA PROD SRL,1385924,Teleorman
DINASCOM SRL,1385932,Teleorman
ALFA COM SRL,1386695,Teleorman
MOTO PROD SRL,1387038,Teleorman
BOBY STAR SRL,1387143,Teleorman
NICOMAR IMPEX SRL,1387267,Teleorman
METROPOL SRL,1387402,Teleorman
IMPERIAL SA,1387470,Teleorman
BIŢOI MARIAN SRL,1387569,Teleorman
MADIROM IMPEX SERVICE SRL,1387607,Teleorman
BITT SRL,1387780,Teleorman
PRODAPUBLIC SRL,1387925,Teleorman
LICECOM SRL,1387992,Teleorman
INCOM SRL,1388009,Teleorman
CRISTAL NOVIS SRL,1388017,Teleorman
ATRIS SRL,1388033,Teleorman
FIESTA COM SRL,1388386,Teleorman
VENUS-SERV SRL,1388459,Teleorman
BUMERANG IMPEX SRL,1388491,Teleorman
EXOTIC-PROD SRL,1388610,Teleorman
EUROPA EST SRL,1388645,Teleorman
INTEXCOM SRL,1388874,Teleorman
BURCIN & CO SNC,1388963,Teleorman
VIOMAR SRL,1389004,Teleorman
TRANSALUTUS SA,1389241,Teleorman
NEDECOM SRL,1389730,Teleorman
ZEFIR SRL,1389810,Teleorman
CELCOM SRL,1389926,Teleorman
SILVA SRL,1389934,Teleorman
PANAIT COM SRL,1390246,Teleorman
MANICA SRL,1390700,Teleorman
SIETCOM  SRL,1390734,Teleorman
I M F SRL,1391020,Teleorman
UNICOM SRL,1391152,Teleorman
COMNIRO SRL,1391551,Teleorman
TRANSROMAR SA,1391594,Teleorman
TERASA STRAND SRL,1391616,Teleorman
PROMEX SRL,1391624,Teleorman
GUŞĂ CCIE SRL,1391667,Teleorman
RO-COM-TEL SRL,1391683,Teleorman
RESTAURANT DUNAREA SRL,1391705,Teleorman
SPICUL SA,1391799,Teleorman
