DOCHIMEX SRL,819502,Vaslui
AGROSAND SRL,819898,Vaslui
STEF SRL,820248,Vaslui
ELECTRONO-IMPACT SRL,820868,Vaslui
DRAGONUL SRL,821430,Vaslui
CUVAS SRL,821456,Vaslui
SAFIR SRL,822044,Vaslui
PROBITAS SRL,823627,Vaslui
ASKLEPIOS SRL,824487,Vaslui
MOLDOVA SA,824550,Vaslui
ROTRANS SA,824762,Vaslui
FILIALA VASLUI  A SC COMPANIA DE TURISM PENTRU TINERET SA,824878,Vaslui
SCORPION SRL,825040,Vaslui
AUROCOR SRL,825113,Vaslui
BERARIA AMBRONO SRL,825121,Vaslui
ASTORIA SRL,825148,Vaslui
AMBIENT SRL,825180,Vaslui
PROFIROM SRL,825458,Vaslui
MAGNOLIA SRL,825482,Vaslui
UNI-SFERA SRL,825547,Vaslui
FLORIANA SRL,825571,Vaslui
FILIALA VASLUI A SC CAROMTEX SRL TG.NEAMT,825580,Vaslui
SANDA SRL,825644,Vaslui
CONSPREST SA,825687,Vaslui
TEXTIL NETWORK SRL,825695,Vaslui
CRIZANTEMA-VERONICA SRL,825733,Vaslui
CLUB SRL,825784,Vaslui
AGECOM SA,825920,Vaslui
TRIOLIT SRL,825938,Vaslui
HOMER SRL,825970,Vaslui
RA SRL,826097,Vaslui
ETERNITATEA SRL,826127,Vaslui
PRACTIC SRL,826178,Vaslui
SHOPU SRL,826208,Vaslui
BEATRICE SRL,826410,Vaslui
CRISTIMPEX SRL,826534,Vaslui
VASTEX SA,826569,Vaslui
LILAVAS SRL,826631,Vaslui
MINION' 91 SRL,826640,Vaslui
FARMAB SRL,826690,Vaslui
UNISERV SRL,826720,Vaslui
KADOR SRL,826739,Vaslui
ALEX SRL,826984,Vaslui
CONFECTII VASLUI SA,826992,Vaslui
GIROVEX SRL,827025,Vaslui
TOTAL IMPEX SRL,827033,Vaslui
PRODIMEX SRL,827041,Vaslui
PORUMBELUL ALB SRL,827050,Vaslui
PUCO SRL,827092,Vaslui
MARGARETA SRL,827203,Vaslui
DA SRL,827262,Vaslui
MOBILSERCO  SRL,827297,Vaslui
SOLEX SRL,827319,Vaslui
COMIREX SRL,827424,Vaslui
BRD - GROUPE SOCIÉTÉ GÉNÉRALE SA BUCUREŞTI SUCURSALA VASLUI,827459,Vaslui
IOMARI SRL,827467,Vaslui
NIVA SRL,827491,Vaslui
BICO SRL,827513,Vaslui
CRISTIAN SRL,827521,Vaslui
MIVAS SRL,827661,Vaslui
VOLANUL SRL,827688,Vaslui
SOCIETATEA DE SERVICII INFORMATICE SA,827718,Vaslui
SUSTUDIO SRL,827750,Vaslui
COREVAS SA,827866,Vaslui
BENECOM SRL,827939,Vaslui
MARVAS SRL,828004,Vaslui
TAVIANY SRL,828080,Vaslui
TRIUMF-3 SRL,828217,Vaslui
PANDA SRL,828250,Vaslui
PIAR SRL,828322,Vaslui
VLADIMON SRL,828403,Vaslui
FORTUNA SA,828411,Vaslui
IZOP SRL,828462,Vaslui
GLOBUS SRL,828489,Vaslui
ARCO SRL,828519,Vaslui
ELLA SRL,828527,Vaslui
BANCA COMERCIALA ROMANA SA BUCURESTI SUCURSALA VASLUI,828535,Vaslui
VENUS-CV SRL,828560,Vaslui
DIXON SRL,828659,Vaslui
