ACTIVCOM SRL,621776,Vrancea
LAZA COM SRL,1415618,Vrancea
MOTEL LA KM 25 SRL,1415979,Vrancea
LOV TEHNIC SRL,1416141,Vrancea
MARICOM SRL,1416664,Vrancea
MAGAZIN MIXT KM 21 SRL,1416818,Vrancea
AGRIMPROD SRL,1416915,Vrancea
PALPROD SRL,1417279,Vrancea
ELFA SRL,1418223,Vrancea
PRODALIS SRL,1418401,Vrancea
PANIBRUT SRL,1418592,Vrancea
LA BAIATU PRESTCOM SRL,1419113,Vrancea
LABORATOR TEHNICA DENTARA SRL,1419733,Vrancea
INCOM PREST SRL,1419792,Vrancea
EMI CLUB SRL,1419890,Vrancea
SINCRON SRL,1420193,Vrancea
AVRAM SNC,1420215,Vrancea
SMIRNA IMPEX SRL,1422909,Vrancea
COMPLEX SERVICE SRL,1422976,Vrancea
PINOLA  SRL,1423610,Vrancea
MIFANCOM SRL,1423980,Vrancea
MINAEXPO SRL,1424730,Vrancea
PLAIURI VRINCENE SRL,1424870,Vrancea
TOMINA COST IMPORT EXPORT SRL,1424896,Vrancea
RC IMPEX SRL,1425433,Vrancea
IMPEX PETROSU SRL,1425530,Vrancea
ZABALA SRL,1425573,Vrancea
STEFY IMPEX SRL,1425638,Vrancea
MAGAZIN MIXT STEJARUL SRL,1425697,Vrancea
GY-MI CONF SRL,1425743,Vrancea
CAMIL COM SRL,1426277,Vrancea
MECANO TEXTILA SRL,1426366,Vrancea
MITO IMPEX SRL,1427000,Vrancea
AGROMEC SIHLEA SA,1427655,Vrancea
SIND ROMANIA SRL BUCURESTI SUCURSALA SOVEJA,1429095,Vrancea
FAGUL SRL,1429540,Vrancea
KRONOS IMPEX SRL,1429770,Vrancea
DIVERSE SRL,1430448,Vrancea
IVACOM SERV SRL,1430545,Vrancea
RESTAURANT CINA T & M SRL,1430782,Vrancea
MONTANA SRL,1431788,Vrancea
GHERGHINA TVF SNC,1432694,Vrancea
PLASTMET JVS SRL,1432848,Vrancea
PLAST MITO SRL,1433207,Vrancea
PRUNA ROM SRL,1434229,Vrancea
FELI COMAN SRL,1434377,Vrancea
AGROCOOM TI SRL,1435372,Vrancea
BLANARIA CAPRIOARA SRL,1435518,Vrancea
PRODECOM SRL,1435534,Vrancea
CORA LUCI COM  SRL,1435763,Vrancea
COMLEMN SRL,1435852,Vrancea
APRO MILCOV SA,1436653,Vrancea
SARMIT SRL,1436688,Vrancea
PROLIV SRL,1436700,Vrancea
TIMPLARUL SRL,1436807,Vrancea
AVIPUTNA SRL,1436882,Vrancea
ALINEX SRL,1436939,Vrancea
DMF POLIPLAST SRL,1437144,Vrancea
CONBETA SRL,1437292,Vrancea
FAVORIT CONFECT SRL,1437349,Vrancea
AVICOLA FOCSANI SA,1437373,Vrancea
COMIS SRL,1437403,Vrancea
ELECTRONICA PROFESIONALA SERVICE SRL,1437527,Vrancea
DADA MUSIC SRL,1437535,Vrancea
FARMED SRL,1437624,Vrancea
UNION SRL,1437918,Vrancea
EUR PRODIMPEX SRL,1437942,Vrancea
EFECTOFIL SA,1437977,Vrancea
TOP TERRA TRADE SRL,1438077,Vrancea
NAN COMPREST SRL,1438441,Vrancea
DANCE CLUB SRL,1438450,Vrancea
ITA SA,1438476,Vrancea
LARIS PRODUCTIONS SRL,1438492,Vrancea
LOGICONT SRL,1438581,Vrancea
ANDREI COMIMPEX   SRL,1438590,Vrancea
MIDCO SRL,1438786,Vrancea
CAPSA SRL,1438808,Vrancea
PRESTARI SERVICII MARCO SRL,1438816,Vrancea
BANCA COMERCIALA ROMANA SA SUCURSALA VRANCEA,1438883,Vrancea
PANI SRL,1438891,Vrancea
PROMEDICA SRL,1438921,Vrancea
TEHNODENT SRL,1439277,Vrancea
SFINX SRL,1440298,Vrancea
TU SRL,1440301,Vrancea
CEPROINV SA,1440484,Vrancea
PRODCOOP SRL,1440662,Vrancea
MOBI SEV SRL,1440816,Vrancea
QUATTRO IMPEX SRL,1440840,Vrancea
ONIX ELECTRIC SRL,1440867,Vrancea
OCTAVIDENT SRL,1440883,Vrancea
ALIANCE SRL,1440921,Vrancea
COMBIVRA SA,1440948,Vrancea
INTERCOMERT SRL,1440964,Vrancea
AMAGICOM SI SRL,1440999,Vrancea
ARBOCOM DESIGN  SRL,1441005,Vrancea
VINEXPORT TRADE-MARK SA,1441072,Vrancea
MONUM CONF LA COZMA SRL,1441161,Vrancea
CORADO PATISERIE SRL,1441218,Vrancea
RITMIC SERV SRL,1441242,Vrancea
DENTOSAN STANCU SRL,1441277,Vrancea
METEX SA,1441374,Vrancea
MEDICAL GISANA IMPEX SRL,1441501,Vrancea
CRISTIAN SRL,1441536,Vrancea
MODEX SRL,1441609,Vrancea
FLORITEX SRL,1441633,Vrancea
MODERN SRL,1441641,Vrancea
UNIVERS NORD SRL,1441650,Vrancea
SANODENT SRL,1441676,Vrancea
MARCONF SRL,1441714,Vrancea
MIALORY SRL,1441722,Vrancea
CISCOM SRL,1441749,Vrancea
MIELUL BLIND SRL,1441781,Vrancea
BEST CONSTRUCT SRL,1441846,Vrancea
CRINUL ALB SRL,1441854,Vrancea
TRIDENTA SRL,1442922,Vrancea
LUX SRL,1443014,Vrancea
NEC AUTO 91 SRL,1443022,Vrancea
RESTAURANT ROMANTA SRL,1443090,Vrancea
MERCUR OBOR SRL,1443138,Vrancea
MIORITA SRL,1443154,Vrancea
COMPANIA DE UTILITATI PUBLICE SA,1443170,Vrancea
EXPRES SERVICE SRL,1443189,Vrancea
AGROIND FOCSANI SA,1443588,Vrancea
COMPIL IMEX SRL,1443944,Vrancea
CINECOM SRL,1444010,Vrancea
GENERAL ELECTRONIC SERVICE SRL,1444060,Vrancea
VEF SA,1444079,Vrancea
ALPIN SRL,1444168,Vrancea
UNITCOM SRL,1444192,Vrancea
PRIMEX SRL,1444230,Vrancea
EMG SEBI SRL,1444494,Vrancea
STELA COM SRL,1444524,Vrancea
VRINCEANA COM SRL,1444532,Vrancea
OVICOR SRL,1444583,Vrancea
RAY COM MODE  SRL,1444745,Vrancea
ALMA CONSULTING SRL,1444788,Vrancea
CORAL SRL,1444877,Vrancea
HARIONS DATA SRL,1444907,Vrancea
COMPLEX COM SRL,1444923,Vrancea
ALEXANDER'S SRL,1444990,Vrancea
UNIVERSAL IMPEX SRL,1445031,Vrancea
DACIA COMPLEX SRL,1445058,Vrancea
BELLA AUDIO VIDEO SRL,1445066,Vrancea
INTERPLAN SRL,1445074,Vrancea
FARMACIA ALCOR SRL,1445082,Vrancea
CROMATIC SRL,1445333,Vrancea
APIMEX SRL,1445350,Vrancea
ESAN SRL,1445368,Vrancea
CONDORUL SRL,1445490,Vrancea
MILCOVUL SA,1445503,Vrancea
MULTIFARM SRL,1445511,Vrancea
VRANLACT SA,1445546,Vrancea
MAGIC IMPEX SRL,1445716,Vrancea
MOBILUX SRL,1445724,Vrancea
ZANFIR SNC,1445759,Vrancea
MARINESCU & CO SNC,1445864,Vrancea
FARMEC COM SRL,1445872,Vrancea
GENERAL CONSTRUCT SA,1446045,Vrancea
ELISAM IMPEX SRL,1446193,Vrancea
MONA SRL,1446282,Vrancea
CONFORT SRL,1446320,Vrancea
DOUBLE DEUCE IMPORT  EXPORT SRL,1446355,Vrancea
ONASIS SA,1446460,Vrancea
G.B. SERVICE SRL,1446479,Vrancea
CIOCÎRLIA SRL,1446509,Vrancea
EVELYN  SRL,1446517,Vrancea
GERNICOM SRL,1446541,Vrancea
ANDRO COM SRL,1446568,Vrancea
CARPATING SRL,1446789,Vrancea
SIBAREX SA,1446908,Vrancea
COROX SRL,1447121,Vrancea
VRANCEA PROIECT SA,1447210,Vrancea
ORION SRL,1447245,Vrancea
SUD FARM SRL,1447253,Vrancea
MARSAT COM SRL,1447326,Vrancea
COMUNIVERS 912 SRL,1447334,Vrancea
NEPTUN IMPEX SRL,1447393,Vrancea
EXPERTINA SRL,1447431,Vrancea
COMANDOR IMPEX SRL,1447474,Vrancea
CONTERRA SA,1447490,Vrancea
ROM-TOTAL SRL,1447520,Vrancea
IMPROCOM M.M. SRL,1447717,Vrancea
ELECTRIC SRL,1447920,Vrancea
PRIMAT SRL,1448291,Vrancea
ZEF SRL,1448380,Vrancea
AFRODITA SRL,1448488,Vrancea
PEGAS TRANS SERVICE SRL,1448550,Vrancea
INSTA ELECTRIC SA,1448879,Vrancea
MATEUTA SNC,1448968,Vrancea
SEMROM MOLDOVA SA BACAU COMPLEX AGROSEM VRANCEA,1449009,Vrancea
CERTIMPEX SRL,1449130,Vrancea
ROMGETIS PREST SRL,1449408,Vrancea
BETA COM PREST SRL,1449491,Vrancea
ECOU IMPEX  SRL,1449670,Vrancea
MAGAZINUL STELUTA SRL,1449890,Vrancea
AUTO BAR LIBERTATEA SRL,1450178,Vrancea
HELIOS COM SRL,1450224,Vrancea
ORIGINAL EXPRES SRL,1450291,Vrancea
METROM SRL,1450526,Vrancea
PATI BAR SCHILLACI SRL,1451610,Vrancea
NEGREA SI PARVANA SNC,1452276,Vrancea
ROMCOM PUIU SRL,1452322,Vrancea
ARTECOM SRL,1452730,Vrancea
MATCONS SRL,1452748,Vrancea
CRAMELE ODOBESTI SA,1452799,Vrancea
MATERNA SRL,1452870,Vrancea
STOMFARM SRL,1452950,Vrancea
SEPROM SRL,1453182,Vrancea
AGROCOM HOLDING SRL,1453239,Vrancea
ELTRANS SRL,1453247,Vrancea
COCORUL COMPLEX SRL,1453549,Vrancea
MET SRL,1453727,Vrancea
LIRA IMPEX SRL,1453840,Vrancea
GURGU GH. SI GURGU A. SNC,1454269,Vrancea
STEFARIAN PROD SRL,1454579,Vrancea
ALSELECTIN  SRL,1454617,Vrancea
ASTORIA PROD COM SRL,1454641,Vrancea
VASCOMA SRL,1454650,Vrancea
IONELA SRL,1454684,Vrancea
MIXTCOM SRL,1454765,Vrancea
A.B.C.-I.G. SRL,1454803,Vrancea
VRANCART SA,1454846,Vrancea
PATIMAG ANALINA SRL,1454978,Vrancea
MAGAZINUL GENERAL GLORIA SRL,1454986,Vrancea
KANDIA COM SRL,1454994,Vrancea
CLASS COM SRL,1455000,Vrancea
FAMIR SRL,1455019,Vrancea
SAVIN CONEX SRL,1455043,Vrancea
APOLLO SRL,1455051,Vrancea
COMCHIM SRL,1455124,Vrancea
AURA COM SRL,1455132,Vrancea
METCON SRL,1455159,Vrancea
CALCOM SRL,1455213,Vrancea
GECOM SRL,1455221,Vrancea
COLT DE RAI SRL,1455329,Vrancea
ROVA COMEX SRL,1455353,Vrancea
IVAROMICOM SRL,1455388,Vrancea
MAGAZIN IDEAL SRL,1455590,Vrancea
APOTERM SA,1455655,Vrancea
MIGAMAR SRL,1455671,Vrancea
GILL SRL,1455698,Vrancea
MODENT SRL,1455752,Vrancea
COMPLEX MAGAZIN ACUL DE AUR SRL,1455779,Vrancea
ATLANTIC TRANS SRL,1455850,Vrancea
ROSILCOM SRL,1455892,Vrancea
DANIO COM AIDA SRL,1455973,Vrancea
PETERGOLD SERVICE SRL,1455990,Vrancea
MAGAZINUL EXTRA SRL,1456030,Vrancea
MAGAZINUL MADALINA SRL,1456049,Vrancea
SIRTROT SA,1456103,Vrancea
ARVOM SRL,1456413,Vrancea
TEREMI COM SRL,1457648,Vrancea
INTREPRINDEREA DE BERE SI PRESTARI SERVICII SRL,1457702,Vrancea
CONTRAST SRL,1457915,Vrancea
CROITORIA CORINA SRL,1457923,Vrancea
HACOPEX SRL,1457931,Vrancea
MADALINA SERVICII SRL,1457940,Vrancea
COMAR GR SRL,1458180,Vrancea
IULIANA COM SRL,1458376,Vrancea
FARMACIA ORTANSA SRL,1458635,Vrancea
GENERAL TRANS SRL,1460058,Vrancea
DRAGSPIC SRL,1460236,Vrancea
CERAMICA SRL,1460430,Vrancea
ALBATROS IMPEX SRL,1460473,Vrancea
ASCLEPYOS FARM SRL,1460520,Vrancea
DISCOM SRL,1460686,Vrancea
LA TREI CASTANI RESTAURANT SRL,1460694,Vrancea
S.M.I.T. SRL,1460945,Vrancea
COM TIC SRL,1460961,Vrancea
MAGAZINUL EMA SRL,1460988,Vrancea
ARGO LINEX SRL,1460996,Vrancea
VERITAS PANCIU SA,1461002,Vrancea
AGROMEC PANCIU SA,1461088,Vrancea
COLI SERVICE SRL,1461100,Vrancea
ANION SRL,1461118,Vrancea
FARMOPAN SRL,1461142,Vrancea
DANY IMPEX SRL,1461150,Vrancea
COMNIC SRL,1461185,Vrancea
GLOBUS SRL,1461479,Vrancea
RAZOARE IMPEX SRL,1461592,Vrancea
SERENA SRL,1461614,Vrancea
RONI VIN SA,1462318,Vrancea
ACROLIT SRL,1462539,Vrancea
CARDIO CENTER SRL,1462563,Vrancea
TESSILCONTROL SRL,1596387,Vrancea
GABIVI COM SRL,2378909,Vrancea
RELIMEX SRL,2379041,Vrancea
VICENTIU COM SERV SRL,2379050,Vrancea
EUROVITIS SRL,2379092,Vrancea
MIINI DE AUR SRL,2379203,Vrancea
TITPET IMPEX SRL,2379327,Vrancea
PIELOMAR SRL,2379335,Vrancea
MED ESCULAP SRL,2379360,Vrancea
ONEST COMEX SRL,2379483,Vrancea
KINELL TRANS SRL,2379645,Vrancea
PROD-MARK SRL,2379700,Vrancea
ORIZONT COM SRL,2379718,Vrancea
FARMACIA IRIS SRL,2379726,Vrancea
SAVA PROD COM IMPEX SRL,2379742,Vrancea
CONF-SPORT SRL,2379750,Vrancea
PROMATEX SRL,2379777,Vrancea
ARCO PROIECT SRL,2379807,Vrancea
TICU FLORA SNC,2379840,Vrancea
