FLORMED SRL,570966,Vâlcea
TORA SISTEM TOTAL SRL,1116730,Vâlcea
IORV-FAVORIT SRL,1465071,Vâlcea
COMAT VALCEA SA,1465152,Vâlcea
TEHNICO MEDICAL INELCO SRL,1465187,Vâlcea
PROIECT VALCEA SA,1465209,Vâlcea
STELI SRL,1465454,Vâlcea
UZINA MECANICA RAMNICU VALCEA SA,1465560,Vâlcea
UNIVERSAL-AUTOSERVICE BULACU  SRL,1465624,Vâlcea
PANSELUTA SRL,1465640,Vâlcea
LOVISTEA SRL,1465675,Vâlcea
LADY LUX SRL,1465691,Vâlcea
AGROIND SA,1465756,Vâlcea
ELECTRA RADU   SRL,1465977,Vâlcea
ROTAREXIM SA,1465985,Vâlcea
CONFEX SRL,1465993,Vâlcea
BOMIS SRL,1466042,Vâlcea
INTERTRANS SRL,1466093,Vâlcea
AL-MA SRL,1466204,Vâlcea
KALI'S SRL,1466484,Vâlcea
FRATIA SRL,1466590,Vâlcea
ANTOMAR EXIM SRL,1466611,Vâlcea
CAROTA SRL,1466670,Vâlcea
SETRUVIL SA,1466689,Vâlcea
MALIA SRL,1466697,Vâlcea
AGROTRANSPORT SA,1466751,Vâlcea
VLADY SRL,1466778,Vâlcea
COZIA  SRL,1466786,Vâlcea
CAMELIA SRL,1466891,Vâlcea
ALBATROS SRL,1466913,Vâlcea
ASPRO SRL,1466972,Vâlcea
MELBA SRL,1467080,Vâlcea
CURIER  SRL,1467340,Vâlcea
VALLON SRL,1467471,Vâlcea
MODAVIL SRL,1467480,Vâlcea
TADIEX SRL,1467552,Vâlcea
STYL SRL,1467595,Vâlcea
FARVIL SRL,1467609,Vâlcea
METROPOL FLORESCU SNC,1467773,Vâlcea
HORIZON SRL,1467919,Vâlcea
ALMAROM SRL,1467960,Vâlcea
SAVYOLT SRL,1468116,Vâlcea
NEPTUN  SRL,1468248,Vâlcea
SCAVIL SA,1468418,Vâlcea
ROBEX SRL,1468469,Vâlcea
LEVANT SRL,1468485,Vâlcea
SOCER SRL,1468558,Vâlcea
GORANU SRL,1468671,Vâlcea
COZARA SRL,1468744,Vâlcea
POCO SRL,1468760,Vâlcea
ALMO SRL,1468817,Vâlcea
GOSPODARUL SRL,1468868,Vâlcea
MINIUNIVERS SRL,1468906,Vâlcea
UNIVERS SA,1469006,Vâlcea
URSULETUL SRL,1469057,Vâlcea
MIORITA DOBRITOIU SRL,1469065,Vâlcea
MINEX SRL,1469162,Vâlcea
RODION SRL,1469227,Vâlcea
MAROLA SRL,1469294,Vâlcea
CONTEX SRL,1469324,Vâlcea
TERMOREP SRL,1469332,Vâlcea
BELLADONNA SRL,1469359,Vâlcea
S.I.T.E.C. SRL,1469421,Vâlcea
DAVIDOR SRL,1469448,Vâlcea
ROMIFLOR  SRL,1469480,Vâlcea
TRAIAN COM SRL,1469588,Vâlcea
ARMF-RIZ SRL,1469618,Vâlcea
UNITATEA DE TRANSPORT AUTO SRL,1469626,Vâlcea
COMTRANS SA,1469723,Vâlcea
TRANS CARBONE SRL,1469782,Vâlcea
ETALON SRL,1469790,Vâlcea
BARACUDA SRL,1469928,Vâlcea
DINESCU & CO SRL,1469936,Vâlcea
CAROM SRL,1469944,Vâlcea
NIROS SRL,1469995,Vâlcea
DIVERSVIL SRL,1470000,Vâlcea
SUPCA SRL,1470132,Vâlcea
GOLDEN SRL,1470230,Vâlcea
GLADIOLA SRL,1470310,Vâlcea
