cif,year,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
775961,2023,,,,,,,,,,,,,,,,,,,,
776070,2023,,,,,,,,,,,,,,,,,,,,
776207,2023,,,,,,,,,,,,,,,,,,,,
776312,2023,,,,,,,,,,,,,,,,,,,,
776584,2023,,,,,,,,,,,,,,,,,,,,
776606,2023,,,,,,,,,,,,,,,,,,,,
776827,2023,,,,,,,,,,,,,,,,,,,,
776908,2023,,,,,,,,,,,,,,,,,,,,
777229,2023,,,,,,,,,,,,,,,,,,,,
777288,2023,,,,,,,,,,,,,,,,,,,,
777369,2023,,,,,,,,,,,,,,,,,,,,
777580,2023,,,,,,,,,,,,,,,,,,,,
777857,2023,,,,,,,,,,,,,,,,,,,,
777997,2023,,,,,,,,,,,,,,,,,,,,
778003,2023,,,,,,,,,,,,,,,,,,,,
778011,2023,,,,,,,,,,,,,,,,,,,,
778062,2023,,,,,,,,,,,,,,,,,,,,
778100,2023,,,,,,,,,,,,,,,,,,,,
778127,2023,,,,,,,,,,,,,,,,,,,,
778380,2023,,,,,,,,,,,,,,,,,,,,
778607,2023,,,,,,,,,,,,,,,,,,,,
778941,2023,,,,,,,,,,,,,,,,,,,,
779351,2023,,,,,,,,,,,,,,,,,,,,
779432,2023,,,,,,,,,,,,,,,,,,,,
779602,2023,,,,,,,,,,,,,,,,,,,,
779629,2023,,,,,,,,,,,,,,,,,,,,
779947,2023,,,,,,,,,,,,,,,,,,,,
780003,2023,,,,,,,,,,,,,,,,,,,,
780046,2023,,,,,,,,,,,,,,,,,,,,
780100,2023,,,,,,,,,,,,,,,,,,,,
780160,2023,,,,,,,,,,,,,,,,,,,,
780224,2023,,,,,,,,,,,,,,,,,,,,
780313,2023,,,,,,,,,,,,,,,,,,,,
780410,2023,,,,,,,,,,,,,,,,,,,,
780585,2023,,,,,,,,,,,,,,,,,,,,
780860,2023,,,,,,,,,,,,,,,,,,,,
780925,2023,,,,,,,,,,,,,,,,,,,,
781068,2023,,,,,,,,,,,,,,,,,,,,
781807,2023,,,,,,,,,,,,,,,,,,,,
782055,2023,,,,,,,,,,,,,,,,,,,,
782268,2023,,,,,,,,,,,,,,,,,,,,
782314,2023,,,,,,,,,,,,,,,,,,,,
782349,2023,,,,,,,,,,,,,,,,,,,,
782500,2023,,,,,,,,,,,,,,,,,,,,
782632,2023,,,,,,,,,,,,,,,,,,,,
782667,2023,,,,,,,,,,,,,,,,,,,,
782810,2023,,,,,,,,,,,,,,,,,,,,
782845,2023,,,,,,,,,,,,,,,,,,,,
782896,2023,,,,,,,,,,,,,,,,,,,,
783018,2023,,,,,,,,,,,,,,,,,,,,
783107,2023,,,,,,,,,,,,,,,,,,,,
783123,2023,,,,,,,,,,,,,,,,,,,,
783239,2023,,,,,,,,,,,,,,,,,,,,
783336,2023,,,,,,,,,,,,,,,,,,,,
783379,2023,,,,,,,,,,,,,,,,,,,,
783425,2023,,,,,,,,,,,,,,,,,,,,
783433,2023,,,,,,,,,,,,,,,,,,,,
783468,2023,,,,,,,,,,,,,,,,,,,,
783492,2023,,,,,,,,,,,,,,,,,,,,
783530,2023,,,,,,,,,,,,,,,,,,,,
783573,2023,,,,,,,,,,,,,,,,,,,,
783638,2023,,,,,,,,,,,,,,,,,,,,
783662,2023,,,,,,,,,,,,,,,,,,,,
783859,2023,,,,,,,,,,,,,,,,,,,,
784005,2023,,,,,,,,,,,,,,,,,,,,
784064,2023,,,,,,,,,,,,,,,,,,,,
784099,2023,,,,,,,,,,,,,,,,,,,,
784102,2023,,,,,,,,,,,,,,,,,,,,
784269,2023,,,,,,,,,,,,,,,,,,,,
784285,2023,,,,,,,,,,,,,,,,,,,,
784404,2023,,,,,,,,,,,,,,,,,,,,
784439,2023,,,,,,,,,,,,,,,,,,,,
784552,2023,,,,,,,,,,,,,,,,,,,,
784560,2023,,,,,,,,,,,,,,,,,,,,
